"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570636138-1-no-macsec-1500-dstat.csv",,,,"Date:","09 Oct 2019 17:54:36 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.657,4.883,91.643,1.817,0,149654.375,57772.214,0,0,0,0,2495.634,1682.199
1.183,6.509,92.308,0,0,0,0,301352,122217356,0,0,4728,479
0.578,6.936,92.486,0,0,0,0,284130,123332946,0,0,4388,434
1.183,5.325,93.491,0,0,0,0,298270,123396702,0,0,4760,478
1.183,3.550,94.083,1.183,0,0,57344,286720,123334464,0,0,4423,459
1.156,6.358,92.486,0,0,0,0,299390,123433134,0,0,4691,485
1.765,5.882,92.353,0,0,0,0,303730,123380004,0,0,4764,497
0.585,4.678,94.737,0,0,0,4096,299040,123314730,0,0,4646,436
1.705,3.409,94.886,0,0,0,0,300440,123427062,0,0,4667,442
1.149,3.448,95.402,0,0,0,0,284830,123323838,0,0,4317,446
1.190,4.167,94.048,0.595,0,0,12288,293580,123407328,0,0,4554,497
