"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570636709-1-macsec-aes-gcm-we-jumbo-Ethernet-dstat.csv",,,,"Date:","09 Oct 2019 18:06:35 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.818,9.787,86.107,1.288,0,116954.096,61781.587,0,0,0,0,2711.895,1443.986
2.010,47.236,50.754,0,0,0,0,168012,63428068,0,0,1851,438
1.515,48.485,50,0,0,0,0,170660,65430438,0,0,1785,388
1.538,50.256,40.513,7.692,0,0,163840,173416,65043352,0,0,5490,376
0,56.818,43.182,0,0,0,0,174688,65596434,0,0,4545,309
1.143,57.143,41.714,0,0,0,0,165042,65483332,0,0,4362,394
0,57.471,42.529,0,0,0,0,164618,65456222,0,0,4335,371
1.515,49.495,48.990,0,0,0,0,166208,64990080,0,0,1991,424
1.070,52.406,43.316,3.209,0,0,45056,165784,65095106,0,0,8031,360
0.568,56.818,42.614,0,0,0,0,175748,65462624,0,0,4481,317
1.695,56.497,41.808,0,0,0,0,168752,65436410,0,0,4393,360
