"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570636709-1-macsec-aesgcm-e-jumbo-Ethernet-dstat.csv",,,,"Date:","09 Oct 2019 18:06:15 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.828,9.556,86.312,1.305,0,118538.745,62498.690,0,0,0,0,2653.711,1459.362
1.163,53.488,45.349,0,0,0,0,51836,36564860,0,0,16668,347
0.559,55.866,43.575,0,0,0,0,44944,38426892,0,0,15623,378
0.503,49.749,49.749,0,0,0,0,41976,38892558,0,0,1420,394
0.500,49.500,50,0,0,0,0,42188,38873324,0,0,1368,398
0.543,54.348,45.109,0,0,0,0,43460,38493714,0,0,12129,344
0.571,57.143,41.714,0.571,0,0,61440,42612,38558286,0,0,18215,342
1.695,56.497,41.808,0,0,0,0,42294,38625108,0,0,18149,350
0.571,57.143,42.286,0,0,0,0,42188,38671728,0,0,18122,332
0.571,57.143,42.286,0,0,0,0,42188,38587974,0,0,18276,322
0.571,57.143,42.286,0,0,0,0,42082,38700558,0,0,18226,341
