"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570636709-1-macsec-aesgcm-we-frag-jumbo-dstat.csv",,,,"Date:","09 Oct 2019 18:05:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.786,9.311,86.583,1.320,0,120675.997,62487.238,0,0,0,0,2670.057,1478.182
0.541,52.432,47.027,0,0,0,0,76958,64948668,0,0,4298,386
1.005,49.246,49.749,0,0,0,12288,73564,67185204,0,0,2301,389
1,49.500,49.500,0,0,0,0,73564,67111710,0,0,2318,374
1.005,48.744,50.251,0,0,0,0,73670,67140908,0,0,2344,408
1.036,50.777,48.187,0,0,0,0,73882,66784876,0,0,4561,339
1.081,54.595,43.243,1.081,0,0,81920,74730,67266976,0,0,4520,339
1.099,54.396,35.165,9.341,0,0,135168,74094,67081056,0,0,4528,316
0.546,54.645,44.809,0,0,0,0,73564,67251644,0,0,4508,321
1.630,53.804,44.565,0,0,0,0,73670,67263562,0,0,4512,344
0.546,54.645,44.809,0,0,0,0,73564,67283098,0,0,4497,309
