"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570636709-1-macsec-aesgcm-we-jumbo-dstat.csv",,,,"Date:","09 Oct 2019 18:05:01 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.743,8.825,87.073,1.358,0,124645.191,63309.431,0,0,0,0,2715.470,1514.331
1.685,52.809,45.506,0,0,0,0,125294,62821410,0,0,7983,396
0.556,55.556,43.889,0,0,0,0,174900,65349454,0,0,4496,318
1.657,54.696,43.646,0,0,0,0,175112,65379938,0,0,4521,353
0.552,55.249,44.199,0,0,0,0,173204,65343510,0,0,4500,338
0.532,53.191,46.277,0,0,0,0,176172,64934976,0,0,3527,353
2.500,48,49,0.500,0,0,61440,174264,64770034,0,0,1743,413
2.010,48.241,49.749,0,0,0,0,175430,64747300,0,0,1727,389
3.483,47.264,49.254,0,0,0,0,175112,64744994,0,0,1733,403
2.488,47.761,49.751,0,0,0,0,174794,64762578,0,0,1735,388
2.513,47.739,49.749,0,0,0,0,172250,64781840,0,0,1695,381
