"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570637557-100-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","10 Oct 2019 01:00:06 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.827,37.096,60.802,0.275,0,6807.167,25928.323,0,0,0,0,6045.069,889.075
1.087,52.174,46.739,0,0,0,0,99218,39120500,0,0,5119,349
0.543,53.804,45.652,0,0,0,0,109816,40495238,0,0,5441,301
1.075,53.763,45.161,0,0,0,0,112360,40429372,0,0,5447,339
0.541,54.054,45.405,0,0,0,0,113102,40361154,0,0,5315,333
1.075,53.763,45.161,0,0,0,0,109180,40357376,0,0,5446,318
0.543,54.348,44.565,0.543,0,0,65536,102502,40498754,0,0,5677,339
1,50,49,0,0,0,4096,77062,40345256,0,0,1779,330
0,50,50,0,0,0,0,59466,40568950,0,0,1303,334
1,49.500,49.500,0,0,0,0,57982,40518468,0,0,1303,352
0,50.251,49.749,0,0,0,0,55332,40527308,0,0,1295,331
1.070,44.385,52.941,1.604,0,0,12288,90208,31597811,0,0,4211,382
0.538,53.763,45.699,0,0,0,1241088,68158,40461284,0,0,5412,350
0.541,54.054,45.405,0,0,0,0,63070,40489448,0,0,5366,318
1.075,53.763,45.161,0,0,0,0,104516,40560172,0,0,5301,337
0.541,54.054,45.405,0,0,0,0,104940,40535102,0,0,5452,331
0.526,52.105,46.842,0.526,0,0,53248,68052,40290136,0,0,3602,354
0.524,52.356,47.120,0,0,0,0,55226,40429008,0,0,3897,323
1.070,53.476,45.455,0,0,0,0,53424,40666348,0,0,5317,322
0,54.054,45.946,0,0,0,0,54060,40625714,0,0,5448,328
1.604,53.476,44.920,0,0,0,0,53318,40605374,0,0,5403,334
2.139,42.781,54.011,1.070,0,0,12288,78965,31205511,0,0,4097,398
0.541,54.054,45.405,0,0,0,0,89570,40408028,0,0,5342,329
0.538,53.763,45.699,0,0,0,0,59572,40461276,0,0,5397,320
1.070,54.011,44.920,0,0,0,0,57346,40463568,0,0,5361,347
0,54.054,45.946,0,0,0,0,56604,40500470,0,0,5202,309
1.562,51.562,45.833,1.042,0,0,45056,55332,40237626,0,0,3826,369
0.498,49.751,49.751,0,0,0,0,55226,40179210,0,0,1337,342
1,49.500,49.500,0,0,0,0,55120,40222610,0,0,1370,346
0,50,50,0,0,0,0,52894,40213770,0,0,1385,347
1.990,48.259,49.751,0,0,0,0,52894,40152372,0,0,1360,348
2.073,41.969,55.440,0.518,0,0,12288,61147,30828073,0,0,2478,417
0,54.054,45.946,0,0,0,36864,62964,40727742,0,0,5435,333
1.081,53.514,45.405,0,0,0,0,55650,40681254,0,0,5246,324
0.538,53.763,45.699,0,0,0,0,60208,40636524,0,0,5263,365
0,54.348,45.652,0,0,0,0,58936,40747662,0,0,5353,322
2.116,52.910,43.915,1.058,0,0,61440,57134,40609686,0,0,5220,351
0.538,53.763,40.860,4.839,0,0,77824,56498,40512398,0,0,5345,328
1.070,53.476,45.455,0,0,0,0,58300,40612028,0,0,5359,326
0.538,53.763,45.699,0,0,0,0,56816,40693716,0,0,5231,321
0.541,54.054,45.405,0,0,0,0,56498,40554146,0,0,5307,329
4.188,42.408,52.356,1.047,0,0,12288,61478,31171642,0,0,4229,381
0,54.348,45.652,0,0,0,0,104622,40503558,0,0,5276,342
0.538,53.763,45.699,0,0,0,0,102714,40618690,0,0,5328,335
0.510,51.020,48.469,0,0,0,0,71656,40386836,0,0,2500,359
0.505,49.495,50,0,0,0,0,58724,40545200,0,0,1327,345
1,49.500,49,0.500,0,0,45056,61374,40521450,0,0,1339,369
1,49.500,49.500,0,0,0,0,61374,40505316,0,0,1322,368
0.498,49.751,49.751,0,0,0,0,58406,40506540,0,0,1346,368
1.005,49.246,49.749,0,0,0,0,58512,40512504,0,0,1359,387
0,50.251,49.749,0,0,0,0,58512,40503452,0,0,1349,356
2.475,44.059,52.475,0.990,0,0,12288,53303,35947210,0,0,1290,402
1.075,48.925,50,0,0,0,0,49090,35762977,0,0,4813,374
0,51.832,48.168,0,0,0,0,48230,40211906,0,0,3298,319
0.503,49.749,49.749,0,0,0,0,46322,40440936,0,0,1360,354
1.485,49.010,49.505,0,0,0,0,45686,40440936,0,0,1340,357
0.526,52.632,46.316,0.526,0,0,45056,48336,40291302,0,0,4187,352
0.538,53.226,46.237,0,0,0,0,46004,40179260,0,0,5323,319
0.538,53.763,45.699,0,0,0,0,45368,40458828,0,0,5429,307
1.070,53.476,45.455,0,0,0,0,46534,40505210,0,0,5271,335
0.538,53.763,45.699,0,0,0,0,44626,40407388,0,0,5396,341
1.070,53.476,44.920,0.535,0,0,12288,44944,40431990,0,0,5247,361
1.604,43.850,54.545,0,0,0,0,44728,31289437,0,0,4229,350
0.538,53.763,45.699,0,0,0,4096,45262,40525656,0,0,5350,310
1.070,53.476,45.455,0,0,0,0,45474,40363192,0,0,5347,339
0.541,54.054,45.405,0,0,0,0,46322,40409252,0,0,5406,308
1.070,53.476,44.385,1.070,0,0,45056,45474,40284114,0,0,5484,329
0.532,53.191,46.277,0,0,0,0,47382,40264252,0,0,4787,319
1.005,49.246,49.749,0,0,0,0,45792,40309194,0,0,1354,343
0.995,49.254,49.751,0,0,0,0,46216,40315158,0,0,1359,369
0.503,49.749,49.749,0,0,0,0,45368,40272186,0,0,1367,363
0.995,49.751,48.756,0.498,0,0,12288,45156,40261482,0,0,1371,380
1.058,41.270,57.672,0,0,0,0,73031,30828757,0,0,2873,394
0.541,54.054,45.405,0,0,0,40960,104834,40306106,0,0,5339,321
1.070,53.476,45.455,0,0,0,0,82150,40309088,0,0,5384,334
0,54.348,45.652,0,0,0,0,61162,40175004,0,0,5466,343
2.488,48.756,47.761,0.995,0,0,49152,59678,39979416,0,0,1645,391
0.503,49.749,49.749,0,0,0,0,59360,40243590,0,0,1372,369
0.995,49.254,49.751,0,0,0,40960,58830,40203066,0,0,1362,352
1.005,49.246,49.749,0,0,0,0,60420,40220958,0,0,1381,364
1,49.500,49.500,0,0,0,0,57134,40221492,0,0,1373,356
0.500,49.500,49,1,0,0,12288,57770,40210682,0,0,1397,374
2.051,42.564,55.385,0,0,0,0,48546,31743507,0,0,2216,373
0.538,53.763,45.699,0,0,0,0,45898,40415110,0,0,5220,349
0.538,53.226,46.237,0,0,0,0,48018,39925150,0,0,5105,344
0.532,53.191,46.277,0,0,0,0,52470,39965730,0,0,4853,329
1.064,53.191,44.681,1.064,0,0,45056,46958,40427250,0,0,5329,343
0,54.054,45.946,0,0,0,0,46852,40394342,0,0,5361,319
