"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570637557-100-macsec-aesgcm-e-dstat.csv",,,,"Date:","09 Oct 2019 21:25:31 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.863,29.513,68.274,0.350,0,13258.511,28880.539,0,0,0,0,4917.286,963.246
1.149,55.172,43.678,0,0,0,0,79926,36702868,0,0,16804,371
0.571,57.143,42.286,0,0,0,0,66780,38240362,0,0,18157,329
1.143,57.143,41.714,0,0,0,0,69324,38210246,0,0,18016,351
1.714,57.143,37.143,4,0,0,1536000,67734,38205692,0,0,18085,387
0,57.471,42.529,0,0,0,0,66780,38213282,0,0,18144,332
1.705,56.818,41.477,0,0,0,0,64236,38226944,0,0,18100,368
0,57.803,42.197,0,0,0,0,71020,38143454,0,0,18078,330
0.578,57.225,42.197,0,0,0,0,68582,38148008,0,0,18188,348
0.575,57.471,41.954,0,0,0,0,68900,38160396,0,0,18132,331
1.143,57.143,41.143,0.571,0,0,12288,67946,38114612,0,0,18139,342
2.247,46.067,51.685,0,0,0,0,61055,29863748,0,0,13805,387
0.575,57.471,41.954,0,0,0,0,68794,38167742,0,0,18149,335
0.562,56.180,43.258,0,0,0,0,71444,37940530,0,0,15872,340
0.503,49.749,49.749,0,0,0,0,65296,38426832,0,0,1252,436
0.995,49.254,48.756,0.995,0,0,40960,67098,38410378,0,0,1213,438
1.005,49.246,49.749,0,0,0,0,65190,38404062,0,0,1252,446
0.500,49.500,50,0,0,0,0,63282,38402788,0,0,1240,422
1.010,48.990,50,0,0,0,0,65402,38437458,0,0,1199,419
1,49.500,49.500,0,0,0,0,64766,38426832,0,0,1219,438
1,49,49.500,0.500,0,0,12288,63388,38455674,0,0,1217,437
2.732,42.623,54.645,0,0,0,0,64446,29315611,0,0,9246,451
1.143,57.143,41.714,0,0,0,0,68794,38166224,0,0,18056,328
0.575,57.471,41.954,0,0,0,0,68370,38164950,0,0,17962,345
0.575,57.471,41.954,0,0,0,0,69642,38073626,0,0,18034,340
0.575,57.471,41.379,0.575,0,0,40960,68794,38066280,0,0,18098,360
0.575,57.471,41.954,0,0,0,0,68794,38101194,0,0,18122,364
0.575,57.471,41.954,0,0,0,0,68688,38116130,0,0,18063,336
0.571,57.143,42.286,0,0,0,0,68582,38105748,0,0,18114,332
1.705,56.818,41.477,0,0,0,0,70914,38129792,0,0,18160,347
0.578,57.803,41.040,0.578,0,0,12288,69430,38139144,0,0,17995,348
1.613,43.548,54.839,0,0,0,0,59462,29819153,0,0,9087,429
0.500,49.500,50,0,0,0,0,68582,38270722,0,0,1280,430
0,50.251,49.749,0,0,0,0,71126,38301082,0,0,1240,402
0.546,54.645,44.809,0,0,0,36864,70808,38014912,0,0,12255,371
0.571,57.143,41.143,1.143,0,0,40960,69642,38151288,0,0,18094,344
1.143,57.143,41.714,0,0,0,0,68158,38128030,0,0,18128,357
0,57.803,42.197,0,0,0,0,71020,38099676,0,0,18166,329
1.579,51.579,46.842,0,0,0,0,75684,37917760,0,0,7673,370
1,49,50,0,0,0,4096,64554,38201138,0,0,1240,400
1.124,56.180,41.573,1.124,0,0,12288,72610,37863112,0,0,15273,367
2.235,45.251,52.514,0,0,0,0,69746,29365759,0,0,13458,405
0.575,57.471,41.954,0,0,0,0,69006,38004286,0,0,17967,337
1.026,49.744,49.231,0,0,0,0,70914,38041992,0,0,3661,393
1.500,49,49.500,0,0,0,32768,65508,38347896,0,0,1214,419
0.500,49.500,49,1,0,0,49152,63600,38342068,0,0,1251,403
0.503,49.749,49.749,0,0,0,0,65190,38335996,0,0,1280,418
2,48.500,49.500,0,0,0,0,64342,38331442,0,0,1260,396
0.500,49.500,50,0,0,0,0,65826,38332960,0,0,1233,398
0.503,49.749,49.749,0,0,0,0,65826,38332960,0,0,1252,410
1,49,49,1,0,0,12288,65932,38325370,0,0,1262,394
0.505,45.455,54.040,0,0,0,0,61140,34660920,0,0,1182,398
2.247,51.124,46.629,0,0,0,0,73796,33206626,0,0,15542,394
0,57.803,42.197,0,0,0,0,72186,38046546,0,0,18029,334
1.149,56.897,41.954,0,0,0,0,71974,37994934,0,0,17974,346
1.143,57.143,41.143,0.571,0,0,40960,72398,38029848,0,0,18016,348
1.143,57.143,41.714,0,0,0,0,69642,38069316,0,0,18028,368
0.575,57.471,41.954,0,0,0,0,69324,38079942,0,0,17939,325
0.575,57.471,41.954,0,0,0,0,71656,38120928,0,0,17876,323
1.705,56.818,41.477,0,0,0,0,71232,38108540,0,0,17966,352
0.575,57.471,41.379,0.575,0,0,12288,69006,38069316,0,0,17975,344
0.565,56.497,42.938,0,0,0,0,75472,37888918,0,0,15744,350
2.186,43.169,54.645,0,0,0,0,68262,28854414,0,0,10787,402
0,57.803,42.197,0,0,0,0,72716,38052618,0,0,18012,324
0,57.803,42.197,0,0,0,0,71020,38081460,0,0,18068,355
1.143,57.143,41.143,0.571,0,0,77824,68900,38013150,0,0,17970,359
1.143,57.143,41.714,0,0,0,0,70808,37973926,0,0,17841,360
0.575,57.471,41.954,0,0,0,0,67098,38002524,0,0,17904,349
1.143,57.143,41.714,0,0,0,0,69430,37973926,0,0,17896,334
1.143,57.143,41.714,0,0,0,0,71868,37972164,0,0,17933,338
0.513,50.769,48.205,0.513,0,0,20480,75154,37925350,0,0,3938,405
1,49.500,49.500,0,0,0,0,65190,38255786,0,0,1252,417
3.175,40.741,56.085,0,0,0,0,69321,29096531,0,0,7277,425
0,57.471,42.529,0,0,0,0,71550,38140662,0,0,18075,329
0.575,57.471,41.954,0,0,0,0,69430,38053892,0,0,18005,357
1.149,56.897,40.805,1.149,0,0,45056,70278,38079942,0,0,18104,355
1.143,57.143,41.714,0,0,0,0,68582,38061726,0,0,18051,372
0.575,57.471,41.954,0,0,0,0,72716,38114856,0,0,17961,337
0,57.803,42.197,0,0,0,0,69960,38066280,0,0,17998,332
0.575,57.471,41.954,0,0,0,0,72080,38070834,0,0,17977,342
1.143,57.143,41.143,0.571,0,0,12288,74412,37993416,0,0,17918,353
1.143,57.143,41.714,0,0,0,0,65826,38008596,0,0,17930,328
1.093,44.809,54.098,0,0,0,0,61902,29524203,0,0,10730,398
0.500,49.500,50,0,0,0,0,67628,38355730,0,0,1273,402
1,49.500,49.500,0,0,0,0,64660,38326888,0,0,1265,431
1.005,49.246,49.246,0.503,0,0,81920,64766,38325370,0,0,1273,423
1.508,48.744,49.749,0,0,0,0,65402,38345104,0,0,1279,439
0.503,49.749,49.749,0,0,0,0,69854,38307154,0,0,1258,429
0,50,50,0,0,0,0,64130,38360284,0,0,1226,420
1.005,49.246,49.749,0,0,0,0,64978,38395198,0,0,1200,421
0.503,49.749,48.744,1.005,0,0,20480,66674,38381536,0,0,1218,413
0.500,49.500,50,0,0,0,0,67098,38353968,0,0,1203,425
2.010,41.206,56.784,0,0,0,0,55222,30055052,0,0,1131,463
0.505,48.485,51.010,0,0,0,0,71444,37764632,0,0,1325,429
0.500,50,49.500,0,0,0,0,63918,38220872,0,0,1252,419
1.500,48.500,49,1,0,0,40960,66674,38178368,0,0,1243,433
1.005,49.246,49.749,0,0,0,0,70278,38164706,0,0,1245,413
1,49,50,0,0,0,0,67310,38193548,0,0,1245,429
0.503,49.749,49.749,0,0,0,0,65402,38222390,0,0,1232,408
0.503,49.749,49.749,0,0,0,0,66674,38239088,0,0,1250,419
0.500,50,49,0.500,0,0,12288,69748,38196584,0,0,1252,443
0,51.832,48.168,0,0,0,4096,74730,37911688,0,0,6130,379
1.081,52.432,46.486,0,0,0,0,72399,36814793,0,0,11339,368
1.685,46.067,52.247,0,0,0,0,68791,30228091,0,0,13633,415
1.143,57.143,41.714,0,0,0,0,72504,37952674,0,0,18006,353
1.143,57.143,40.571,1.143,0,0,40960,72716,38032884,0,0,17960,349
1.143,57.143,41.714,0,0,0,36864,71762,38045028,0,0,18041,363
0.575,57.471,41.954,0,0,0,0,73458,38029848,0,0,17953,358
1.143,57.143,41.714,0,0,0,0,71550,37994934,0,0,18079,336
0.571,57.143,42.286,0,0,0,0,66886,38027056,0,0,18064,336
1.136,57.386,40.341,1.136,0,0,12288,67946,38048064,0,0,18078,360
1.036,50.777,48.187,0,0,0,0,73458,37981272,0,0,5388,385
0.503,49.749,49.749,0,0,0,0,65720,38269448,0,0,1237,411
