"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570637557-100-macsec-aesgcm-e-frag-dstat.csv",,,,"Date:","09 Oct 2019 22:07:59 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.827,31.976,65.871,0.326,0,11147.516,28000.484,0,0,0,0,5199.287,940.430
0,56.471,43.529,0,0,0,0,97416,34365840,0,0,16300,365
1.149,57.471,41.379,0,0,0,0,78758,35462658,0,0,17261,360
0.581,58.140,41.279,0,0,0,0,80030,35459446,0,0,17226,351
0,58.382,41.618,0,0,0,0,80242,35451416,0,0,17183,344
1.493,48.756,48.756,0.995,0,0,61440,77910,35840178,0,0,1683,437
1.500,49,49.500,0,0,0,0,74518,35933436,0,0,1531,441
0.503,49.749,49.749,0,0,0,0,75048,35953456,0,0,1497,432
1,49,50,0,0,0,0,74624,35929278,0,0,1574,430
1.500,49,49.500,0,0,0,0,75048,35948638,0,0,1489,423
1.005,49.246,49.749,0,0,0,0,74730,35951850,0,0,1470,427
2.778,46.111,50.556,0.556,0,0,12288,79075,27770176,0,0,12952,412
0,58.480,41.520,0,0,0,0,83316,35478718,0,0,17091,348
1.714,57.143,41.143,0,0,0,0,80772,35491566,0,0,17254,362
0.578,58.382,41.040,0,0,0,0,83846,35509232,0,0,17089,345
1.149,57.471,41.379,0,0,0,0,79076,35489960,0,0,17198,344
1.124,56.180,42.135,0.562,0,0,40960,86814,35451416,0,0,14435,388
1.005,49.246,49.749,0,0,0,0,75048,35929366,0,0,1663,442
1,49,50,0,0,0,0,74942,35924548,0,0,1574,433
1.990,48.756,49.254,0,0,0,0,75048,35918124,0,0,1579,416
1.508,48.744,49.749,0,0,0,761856,74624,35873156,0,0,1678,417
2.717,43.478,52.717,1.087,0,0,20480,76739,27619759,0,0,9318,420
0,57.386,42.614,0,0,0,0,88298,35275504,0,0,15132,338
1.005,49.246,49.749,0,0,0,0,74730,35951850,0,0,1576,434
1.523,49.746,48.731,0,0,0,0,82256,35699598,0,0,3354,407
0.575,58.046,41.379,0,0,0,0,79924,35401630,0,0,17126,345
1.015,49.746,48.731,0.508,0,0,40960,79394,35665872,0,0,2727,422
1.531,50,48.469,0,0,0,0,80984,35739000,0,0,3921,412
0.581,58.140,41.279,0,0,0,0,83316,35501202,0,0,17204,363
