"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570637557-100-macsec-aesgcm-we-dstat.csv",,,,"Date:","09 Oct 2019 21:46:24 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.840,30.884,66.939,0.337,0,12128.996,28356.375,0,0,0,0,5316.585,952.143
2.538,45.685,51.777,0,0,0,0,103140,63484366,0,0,1763,432
2.513,48.744,48.744,0,0,0,0,103986,65779396,0,0,3687,391
1.639,54.645,43.716,0,0,0,0,100700,66482772,0,0,4512,359
0.549,54.945,41.758,2.747,0,0,1814528,98898,66423326,0,0,4538,394
0.552,55.249,44.199,0,0,0,0,98792,66403836,0,0,4507,337
1.093,54.645,44.262,0,0,0,0,97944,66508334,0,0,4503,332
0,55.556,44.444,0,0,0,0,97732,66508334,0,0,4511,359
1.093,54.645,44.262,0,0,0,0,97202,66306928,0,0,4480,332
0.500,49.500,50,0,0,0,0,94976,66069090,0,0,1772,407
0.505,49.495,45.960,4.040,0,0,81920,91266,66453930,0,0,1803,423
2.162,43.784,54.054,0,0,0,0,80878,50805577,0,0,4764,412
0,55.249,44.751,0,0,0,0,95612,66222408,0,0,4954,341
0.552,55.249,44.199,0,0,0,0,98686,66229510,0,0,4480,345
1.099,54.945,43.956,0,0,0,0,98156,66093134,0,0,4491,347
0,55.556,43.889,0.556,0,0,45056,95718,66190042,0,0,4514,347
1.630,54.348,44.022,0,0,0,0,97944,66040248,0,0,4495,328
1.099,54.945,43.956,0,0,0,0,96566,66102242,0,0,4509,357
1.075,53.226,45.699,0,0,0,0,100488,65703740,0,0,3928,348
2,48.500,49.500,0,0,0,0,96036,66064292,0,0,1799,433
0.524,52.356,45.550,1.571,0,0,12288,98580,65718676,0,0,4829,365
2.577,40.722,56.701,0,0,0,0,84902,51439157,0,0,2208,419
2,48.500,49.500,0,0,0,0,100064,65758144,0,0,1861,422
2,48.500,49.500,0,0,0,0,101230,65888692,0,0,1804,397
1.005,48.744,50.251,0,0,0,0,100382,65831008,0,0,1854,406
1.493,49.254,48.756,0.498,0,0,40960,100382,65862642,0,0,1812,399
1.020,49.490,49.490,0,0,0,0,102714,65493714,0,0,2540,384
1.630,54.348,44.022,0,0,0,0,98580,66434196,0,0,4511,348
0.552,55.249,44.199,0,0,0,0,98368,66428124,0,0,4504,321
2.162,54.054,43.784,0,0,0,0,94234,66553630,0,0,4509,329
1.099,54.945,43.407,0.549,0,0,12288,97202,66382584,0,0,4512,350
1.099,44.505,54.396,0,0,0,0,81510,51131735,0,0,3644,406
0.549,54.945,44.505,0,0,0,0,101866,66080990,0,0,4510,320
0.552,55.249,44.199,0,0,0,0,97520,66049356,0,0,4482,335
0.549,54.945,44.505,0,0,0,0,97308,66085544,0,0,4479,338
2.162,54.054,42.703,1.081,0,0,73728,99534,66082508,0,0,4484,352
0.552,55.249,44.199,0,0,0,0,103668,66128048,0,0,4477,352
2.174,54.348,43.478,0,0,0,0,99746,65902598,0,0,4988,354
0.505,50,49.495,0,0,0,0,101336,65553702,0,0,1992,396
