"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570716684-100-macsec-aesgcm-e-frag-jumbo-dstat.csv",,,,"Date:","10 Oct 2019 21:31:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.436,32.619,65.661,0.284,0,7762.222,22297.028,0,0,0,0,5810.257,788.763
0.565,54.802,44.633,0,0,0,0,49186,37786082,0,0,12681,328
1.117,55.866,41.899,1.117,0,0,65536,44732,38821034,0,0,13219,353
0,56.742,43.258,0,0,0,0,43566,38908328,0,0,13243,310
0,56.497,43.503,0,0,0,0,43248,38864758,0,0,13224,314
0.562,56.180,43.258,0,0,0,0,43142,38857878,0,0,13233,301
0.562,56.180,43.258,0,0,0,0,43036,38854598,0,0,13218,306
0.559,55.866,42.458,1.117,0,0,12288,43354,38838866,0,0,13232,354
0.562,56.180,43.258,0,0,0,0,43672,38876574,0,0,13214,319
0.562,56.180,43.258,0,0,0,0,42824,38868842,0,0,13204,328
0.562,56.180,43.258,0,0,0,0,42930,38814674,0,0,13202,343
2.010,41.709,56.281,0,0,0,0,39538,30773367,0,0,1575,419
1.500,49,49,0.500,0,0,45056,43036,38946104,0,0,1585,428
0,50.500,49.500,0,0,0,0,42930,38911918,0,0,1587,405
0,50,50,0,0,0,0,43036,38906942,0,0,1541,393
2.500,48.500,49,0,0,0,0,47064,38698976,0,0,2325,381
0,56.497,43.503,0,0,0,0,43248,38883048,0,0,13208,311
0.538,53.763,44.624,1.075,0,0,12288,46216,38659562,0,0,8788,356
1,49.500,49.500,0,0,0,0,43990,38935924,0,0,1523,383
0.995,49.254,49.751,0,0,0,0,43036,38999384,0,0,1571,393
1.500,49,49.500,0,0,0,0,43354,38951294,0,0,1598,379
1.081,43.784,55.135,0,0,0,0,41444,30048848,0,0,7086,377
2.674,52.941,43.850,0.535,0,0,40960,44944,38522432,0,0,9960,355
1,49.500,49.500,0,0,0,0,43142,38783496,0,0,1583,385
1.093,54.098,44.809,0,0,0,0,45792,38551306,0,0,10562,325
1.117,55.866,43.017,0,0,0,0,43672,38721816,0,0,13158,300
0,56.497,43.503,0,0,0,0,43248,38779306,0,0,13182,306
0.562,56.180,42.697,0.562,0,0,266240,43566,38728196,0,0,13196,360
0.559,56.425,43.017,0,0,0,0,43460,38703612,0,0,13173,299
1.117,55.866,43.017,0,0,0,0,42930,38736258,0,0,13189,323
1.667,55.556,42.778,0,0,0,0,43672,38718886,0,0,13198,337
2.198,44.505,53.297,0,0,0,0,47697,29679481,0,0,9804,388
0.562,56.180,39.326,3.933,0,0,131072,43036,38745464,0,0,13223,329
1.538,50.769,47.692,0,0,0,0,47170,38679652,0,0,4444,360
1.005,49.749,49.246,0,0,0,0,45474,38661996,0,0,2153,420
0.562,56.180,43.258,0,0,0,0,43672,38808838,0,0,13168,314
0,56.497,43.503,0,0,0,0,43248,38793820,0,0,13186,307
1.093,54.098,44.262,0.546,0,0,36864,46216,38617714,0,0,9995,377
1.493,48.756,49.751,0,0,0,0,43460,38923114,0,0,1585,389
1.005,49.246,49.749,0,0,0,0,43142,38978950,0,0,1562,399
1,49.500,49.500,0,0,0,0,44308,38978402,0,0,1628,410
1.508,41.709,56.784,0,0,0,0,40702,30688494,0,0,1377,390
1.005,49.246,48.744,1.005,0,0,40960,43672,38962556,0,0,1615,422
0.500,49.500,50,0,0,0,0,43248,38981048,0,0,1552,376
1,49.500,49.500,0,0,0,0,43884,38950628,0,0,1616,385
0.995,49.751,49.254,0,0,0,0,44096,38968796,0,0,1536,357
0.498,49.751,49.751,0,0,0,0,44096,38970056,0,0,1608,383
1,49,49,1,0,0,12288,43672,38953194,0,0,1622,423
0.500,50,49.500,0,0,0,0,43566,38951574,0,0,1596,386
1,49.500,49.500,0,0,0,0,43672,38950936,0,0,1606,410
0.995,49.254,49.751,0,0,0,0,43778,38965830,0,0,1581,385
0.503,46.231,53.266,0,0,0,0,41027,36193960,0,0,1503,372
1.523,45.178,53.299,0,0,0,12288,41651,33731075,0,0,1449,450
1.500,49,49.500,0,0,0,0,43142,38979294,0,0,1560,377
1,49.500,49.500,0,0,0,0,43036,39017948,0,0,1576,402
0.990,49.505,49.505,0,0,0,0,42930,39027050,0,0,1561,374
0.559,54.749,44.693,0,0,0,0,44838,38475566,0,0,11851,314
0.565,56.497,42.938,0,0,0,0,43142,38748238,0,0,13167,340
1.508,49.246,48.744,0.503,0,0,40960,45474,38610730,0,0,2799,392
0.503,49.749,49.749,0,0,0,0,43354,38823696,0,0,1589,404
1,49.500,49.500,0,0,0,0,43248,38824764,0,0,1566,390
0.535,52.941,46.524,0,0,0,0,46322,38640074,0,0,8041,343
1.657,45.304,53.039,0,0,0,0,40065,30182045,0,0,10096,381
0,52.632,46.842,0.526,0,0,45056,46428,38557530,0,0,6057,360
1.980,48.515,49.505,0,0,0,0,43354,38793876,0,0,1641,369
0.552,54.696,44.751,0,0,0,0,45156,38607644,0,0,11018,310
0,56.497,43.503,0,0,0,0,42824,38731864,0,0,13192,308
0.562,56.180,43.258,0,0,0,0,43248,38763086,0,0,13222,330
1.648,54.945,40.659,2.747,0,0,61440,44732,38520518,0,0,11779,316
0.995,49.751,49.254,0,0,0,0,42824,38783904,0,0,1576,358
0.503,49.749,49.749,0,0,0,0,43354,38789188,0,0,1614,379
0.549,54.396,45.055,0,0,0,0,44944,38595776,0,0,10448,314
1.562,43.750,54.688,0,0,0,0,39323,30577239,0,0,5133,399
0,54.945,43.407,1.648,0,0,81920,45156,38706854,0,0,10889,361
1.081,54.054,44.865,0,0,0,0,45898,38633330,0,0,9949,356
1.005,49.246,49.749,0,0,0,0,43884,39002154,0,0,1548,388
0.503,49.246,50.251,0,0,0,0,43460,39004720,0,0,1550,372
1.081,54.054,44.865,0,0,0,0,46216,38670394,0,0,9938,340
0,56.497,42.373,1.130,0,0,20480,43990,38841658,0,0,12869,331
1.111,55.556,43.333,0,0,0,0,43672,38868738,0,0,11734,330
0.549,54.945,44.505,0,0,0,0,44944,38620654,0,0,10865,328
0.559,55.866,43.575,0,0,0,0,46958,38658962,0,0,12880,319
1.613,45.161,53.226,0,0,0,0,39323,30807527,0,0,8072,386
0,55.249,44.199,0.552,0,0,40960,46216,38608112,0,0,10701,328
1.117,55.866,43.017,0,0,0,0,43354,38805668,0,0,13153,330
0.562,56.180,43.258,0,0,0,0,43566,38813596,0,0,13167,315
0,56.497,43.503,0,0,0,0,43566,38802874,0,0,13182,323
2.210,55.249,42.541,0,0,0,0,43672,38822094,0,0,13219,344
0.565,56.497,42.373,0.565,0,0,12288,43778,38787652,0,0,13212,321
0.562,56.180,43.258,0,0,0,0,43460,38815818,0,0,13225,332
0.559,56.425,43.017,0,0,0,0,43778,38826782,0,0,13210,330
0.562,56.180,43.258,0,0,0,0,43778,38834576,0,0,13187,318
0.552,46.409,53.039,0,0,0,0,36778,30573827,0,0,10404,362
1.124,55.618,42.697,0.562,0,0,40960,56074,38252132,0,0,12990,318
0.562,56.180,43.258,0,0,0,8192,43990,38792204,0,0,13219,340
0,56.497,43.503,0,0,0,0,43778,38775204,0,0,13178,302
0.559,55.866,43.575,0,0,0,0,43248,38769996,0,0,12523,308
1.117,55.866,43.017,0,0,0,0,43142,38823176,0,0,13210,333
1.667,55.556,42.778,0,0,0,0,43354,38808786,0,0,13206,322
1.117,55.866,41.899,1.117,0,0,20480,43354,38816442,0,0,13209,357
0.562,56.180,43.258,0,0,0,0,43036,38817368,0,0,13225,311
0,56.742,43.258,0,0,0,0,43354,38845766,0,0,13234,318
1.117,55.866,43.017,0,0,0,0,43036,38794424,0,0,13202,325
0.559,46.927,52.514,0,0,0,0,41232,30642192,0,0,10434,352
4.020,50.251,44.221,1.508,0,0,81920,44520,38664190,0,0,13621,510
4.500,50,45.500,0,0,0,0,43990,38659670,0,0,13608,511
4.040,50.505,45.455,0,0,0,0,47806,38665758,0,0,13600,505
5,50,45,0,0,0,0,45580,38679392,0,0,13587,559
4.975,49.751,45.274,0,0,0,0,43990,38674132,0,0,13589,536
5,50,44,1,0,0,12288,44838,38699478,0,0,13596,533
4.500,50,45.500,0,0,0,0,43990,38691788,0,0,13601,524
4.040,50.505,45.455,0,0,0,0,43778,38681924,0,0,13588,512
5.473,49.751,44.776,0,0,0,0,45580,38707478,0,0,13601,539
1.613,45.161,53.226,0,0,0,0,42080,30401600,0,0,10359,398
0.562,56.180,42.697,0.562,0,0,77824,43142,38803578,0,0,12825,355
0.562,56.180,43.258,0,0,0,0,43142,38849622,0,0,13225,309
0.562,56.180,43.258,0,0,0,0,42930,38787056,0,0,13197,326
0.565,56.497,42.938,0,0,0,0,43142,38802302,0,0,13200,314
1.485,49.010,49.505,0,0,0,0,44414,38823186,0,0,1794,382
1.117,55.866,41.899,1.117,0,0,20480,46216,38615064,0,0,12708,338
0.562,56.180,43.258,0,0,0,0,43142,38708796,0,0,13190,325
0.562,56.180,43.258,0,0,0,0,43354,38726022,0,0,13186,310
0.562,56.180,43.258,0,0,0,0,43566,38763224,0,0,13195,324
1.105,46.409,52.486,0,0,0,0,41762,30767314,0,0,10536,361
1.047,52.356,46.073,0.524,0,0,40960,44732,38663470,0,0,6399,360
0.500,49.500,50,0,0,0,0,42930,38998964,0,0,1556,372
1,49.500,49.500,0,0,0,0,43248,39007330,0,0,1586,389
1.064,53.191,45.745,0,0,0,0,46958,38713286,0,0,8626,357
0,56.497,43.503,0,0,0,0,43248,38807660,0,0,13227,307
