"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570716684-100-macsec-aesgcm-we-frag-dstat.csv",,,,"Date:","10 Oct 2019 20:27:02 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.371,29.891,68.439,0.298,0,9319.676,22165.937,0,0,0,0,5262.338,788.920
1.163,56.395,42.442,0,0,0,0,153596,55087338,0,0,18265,374
1.163,58.140,40.698,0,0,0,0,151686,56546974,0,0,19008,357
1.724,56.897,41.379,0,0,0,0,148188,56104172,0,0,17555,308
1.163,58.140,39.535,1.163,0,0,65536,152746,56600830,0,0,19039,375
1.163,57.558,41.279,0,0,0,0,152216,56470686,0,0,18965,319
1.163,58.140,40.698,0,0,0,0,150414,56668444,0,0,19000,369
2.874,58.046,36.782,2.299,0,0,69632,151050,56462604,0,0,19002,455
1.163,58.140,40.698,0,0,0,0,147552,56550290,0,0,19018,321
1.163,58.140,40.698,0,0,0,0,148824,56425718,0,0,19043,351
0.585,58.480,40.936,0,0,0,0,147870,56467422,0,0,18937,329
2.247,47.191,50.562,0,0,0,0,122853,44555885,0,0,14841,388
2.312,56.069,41.618,0,0,0,0,153806,55819318,0,0,18561,321
1.579,51.579,45.789,1.053,0,0,53248,150414,56592800,0,0,7567,419
2.956,47.783,49.261,0,0,0,0,142464,57118124,0,0,2058,458
1.005,49.246,49.749,0,0,0,0,138648,57200192,0,0,2038,418
1.508,48.744,49.749,0,0,0,0,143206,57171928,0,0,2068,437
1.990,48.259,49.751,0,0,0,0,141510,57181668,0,0,2085,413
1.990,48.259,48.259,1.493,0,0,12288,137270,57214646,0,0,2101,416
2.010,48.241,49.749,0,0,0,0,137906,57192858,0,0,2079,450
2.500,48,49.500,0,0,0,0,143418,57190452,0,0,2072,411
2.222,44.444,53.333,0,0,0,0,127620,44716551,0,0,11359,406
0.585,58.480,40.936,0,0,0,0,150838,56505966,0,0,18943,319
1.170,57.895,40.351,0.585,0,0,40960,152322,56338448,0,0,18792,329
1.163,58.140,40.698,0,0,0,0,147764,56129502,0,0,18740,356
0.581,58.140,41.279,0,0,0,4096,143948,56406550,0,0,18893,324
1.734,57.803,40.462,0,0,0,0,149354,56540602,0,0,18993,360
1.170,57.895,40.936,0,0,0,0,151580,56632950,0,0,19036,339
0.581,58.140,40.116,1.163,0,0,12288,149990,56569400,0,0,18984,335
1.163,58.140,40.698,0,0,0,0,145538,56546974,0,0,19014,355
2.762,54.144,43.094,0,0,0,98304,146386,56645028,0,0,14427,372
4.233,41.270,54.497,0,0,0,0,120412,44554983,0,0,7498,434
0.585,58.480,40.936,0,0,0,0,152004,56630486,0,0,18986,304
1.163,57.558,40.698,0.581,0,0,49152,166844,55682922,0,0,18629,350
1.734,57.803,40.462,0,0,0,0,149884,56467422,0,0,18982,352
1.587,51.323,44.444,2.646,0,0,131072,145220,56619296,0,0,7959,391
2.985,47.264,49.751,0,0,0,0,139920,57118928,0,0,2070,426
1.508,48.744,49.749,0,0,0,0,140344,57157526,0,0,2080,424
2.151,52.151,44.624,1.075,0,0,20480,152852,56473150,0,0,10114,386
1.163,58.140,40.698,0,0,0,0,150626,56160566,0,0,18928,367
1.724,57.471,40.805,0,0,0,8192,146916,56278714,0,0,18992,375
2.222,45.556,52.222,0,0,0,0,118929,44433838,0,0,12688,373
2,48.500,49.500,0,0,0,0,133666,57566574,0,0,2071,466
3.500,47,48.500,1,0,0,40960,136952,57614646,0,0,2062,441
1.508,48.744,49.749,0,0,0,0,133560,57734300,0,0,2108,422
1.093,54.098,44.809,0,0,0,0,151898,56584818,0,0,12307,335
1.163,58.140,40.698,0,0,0,0,151262,56451362,0,0,18995,339
0.581,58.140,41.279,0,0,0,0,152322,56309088,0,0,18991,321
1.075,53.763,44.086,1.075,0,0,12288,146386,56853882,0,0,10870,377
2,48.500,49.500,0,0,0,0,138330,57652394,0,0,2085,425
1.630,53.261,45.109,0,0,0,0,153594,56691514,0,0,11936,364
1.149,50,48.851,0,0,0,0,132589,47985844,0,0,16302,368
0.585,55.556,43.860,0,0,0,0,153923,51885581,0,0,17319,345
1.538,49.744,47.692,1.026,0,0,40960,139178,57339860,0,0,4788,422
3,47.500,49.500,0,0,0,0,142040,57626646,0,0,2088,425
0,58.480,41.520,0,0,0,0,159000,56064954,0,0,18565,330
2.062,50,47.938,0,0,0,0,140768,57342274,0,0,5619,413
1.093,54.098,44.809,0,0,0,0,152958,56738946,0,0,12296,385
1.734,57.803,39.306,1.156,0,0,12288,152004,56545368,0,0,19036,366
0.585,58.480,40.936,0,0,0,0,152746,56441726,0,0,18941,326
1.163,58.140,40.698,0,0,0,0,151156,56328500,0,0,18938,334
0.581,58.140,41.279,0,0,0,0,149248,56164470,0,0,18928,351
2.030,41.624,56.345,0,0,0,0,116809,44986624,0,0,2813,421
0.503,49.749,48.744,1.005,0,0,40960,143100,57435422,0,0,2092,419
1.500,48.500,50,0,0,0,0,138648,57389596,0,0,2099,434
1.990,48.756,49.254,0,0,0,0,141934,57342326,0,0,2078,407
2.010,48.241,49.749,0,0,0,0,139602,57433920,0,0,2115,423
2.475,48.020,49.505,0,0,0,0,143100,57359082,0,0,2140,417
2.010,48.744,48.241,1.005,0,0,12288,140132,57339078,0,0,2128,428
2,48,50,0,0,0,0,137058,57355922,0,0,2093,424
2.500,48,49.500,0,0,0,0,144690,57374306,0,0,2125,398
2.525,47.475,50,0,0,0,40960,140238,57389752,0,0,2127,425
3.261,42.935,53.804,0,0,0,0,131966,44410851,0,0,10142,430
0.585,58.480,39.766,1.170,0,0,45056,151368,56657040,0,0,18957,351
1.163,58.140,40.698,0,0,0,0,150838,56545368,0,0,18999,340
1.163,57.558,41.279,0,0,0,0,152110,56464048,0,0,18489,322
1.163,58.140,40.698,0,0,0,40960,149672,56727044,0,0,18957,365
0.585,58.480,40.936,0,0,0,0,149248,56470634,0,0,18946,333
0,58.480,40.351,1.170,0,0,20480,147446,56620850,0,0,18995,336
1.734,57.803,40.462,0,0,0,0,148930,56650616,0,0,18918,352
0,58.824,41.176,0,0,0,0,153064,56684342,0,0,19058,324
1.156,57.803,41.040,0,0,0,0,148506,56681130,0,0,19005,364
2.825,47.458,49.718,0,0,0,0,136631,45133364,0,0,15112,381
0.585,57.895,39.766,1.754,0,0,40960,149884,56407084,0,0,18933,349
1.734,57.803,40.462,0,0,0,0,146280,56425666,0,0,18987,369
0.585,58.480,40.936,0,0,0,0,151156,56374274,0,0,18982,325
0.515,51.031,48.454,0,0,0,0,149778,56819246,0,0,5310,412
1.500,49,49.500,0,0,0,0,137694,57343880,0,0,2054,421
1.508,48.744,48.744,1.005,0,0,12288,139496,57346198,0,0,2107,439
