"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570716684-100-orig-dstat.csv",,,,"Date:","10 Oct 2019 17:15:09 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.966,4.582,94.043,0.409,0,24539.054,20194.589,0,0,0,0,2776.809,768.895
0.581,54.651,44.767,0,0,0,0,62120,36202238,0,0,16917,344
0.568,57.386,42.045,0,0,0,0,59976,37893128,0,0,18104,321
0,57.225,42.775,0,0,0,0,59262,37910026,0,0,18122,312
1.136,57.386,41.477,0,0,0,0,58344,37921894,0,0,18101,337
0.571,57.143,37.714,4.571,0,0,1814528,58752,37900698,0,0,17939,372
0.571,57.143,42.286,0,0,0,0,59772,37938548,0,0,18074,333
1.136,56.818,42.045,0,0,0,0,57936,37943090,0,0,18050,295
0,57.803,42.197,0,0,0,0,61914,37918866,0,0,18079,308
0.571,57.143,42.286,0,0,0,0,58038,37899428,0,0,18151,349
1.136,56.818,40.909,1.136,0,0,20480,58650,37900698,0,0,18143,337
2.198,45.055,52.747,0,0,0,0,58357,29335144,0,0,13382,378
0,57.471,42.529,0,0,0,0,55692,37971856,0,0,18140,318
0.571,57.143,42.286,0,0,0,0,57528,38015762,0,0,18072,318
0.571,57.143,42.286,0,0,0,0,58242,38033686,0,0,18137,328
0,57.803,41.618,0.578,0,0,40960,55488,37991538,0,0,18118,315
1.136,56.818,42.045,0,0,0,0,56712,38006434,0,0,18167,332
0.575,57.471,41.954,0,0,0,0,56508,38047556,0,0,18099,331
0.571,57.143,42.286,0,0,0,0,58548,38038228,0,0,18129,326
1.705,56.250,42.045,0,0,0,0,53856,38011220,0,0,18100,337
1.015,50.254,48.223,0.508,0,0,12288,56916,38042770,0,0,3035,412
2.151,42.473,55.376,0,0,0,0,53152,29029517,0,0,9054,404
0.571,57.143,42.286,0,0,0,0,58446,38008192,0,0,18029,328
0.571,57.143,42.286,0,0,0,0,59058,38012490,0,0,18119,306
1.705,56.818,41.477,0,0,0,0,58140,37991538,0,0,18203,324
0,57.471,41.379,1.149,0,0,40960,58956,38021574,0,0,18105,333
0.571,57.143,42.286,0,0,0,0,55488,38061182,0,0,18192,311
0.571,57.143,42.286,0,0,0,0,56100,38027630,0,0,18155,327
0.568,57.386,42.045,0,0,0,0,56508,38036958,0,0,18188,308
1.143,57.143,41.714,0,0,0,0,59568,38024602,0,0,18180,346
1.685,56.180,41.011,1.124,0,0,12288,54978,38029144,0,0,18206,338
2.793,44.693,52.514,0,0,0,24576,53251,29362113,0,0,13795,359
0.543,54.348,45.109,0,0,0,0,57936,37816158,0,0,12393,355
1.070,53.476,45.455,0,0,0,0,55896,37928194,0,0,10337,345
1.136,56.818,42.045,0,0,0,0,58650,37995836,0,0,18071,345
1.143,57.143,41.143,0.571,0,0,49152,61812,38003406,0,0,18095,328
1.026,50.769,48.205,0,0,0,0,62526,38003650,0,0,4954,377
0.521,51.042,48.438,0,0,0,0,58140,38063966,0,0,4966,386
0.541,52.973,46.486,0,0,0,0,65280,37524394,0,0,10038,348
0.498,49.751,49.751,0,0,0,0,51408,38470744,0,0,1272,419
1.500,49,48.500,1,0,0,12288,56202,38465958,0,0,1244,417
2.083,41.667,54.167,2.083,0,0,49152,55089,29482002,0,0,5071,432
1.493,48.756,49.751,0,0,0,0,54264,38210092,0,0,1399,444
0.503,49.749,49.749,0,0,0,0,56100,38308990,0,0,1311,396
0.995,49.254,49.751,0,0,0,0,55182,38320858,0,0,1273,423
