"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/iperf3-1570716684-100-orig-jumbo-dstat.csv",,,,"Date:","10 Oct 2019 17:56:44 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.130,15.232,83.282,0.356,0,18062.150,21275.311,0,0,0,0,3843.943,781.999
0.578,55.491,43.931,0,0,0,0,99758,36834756,0,0,17217,327
1.136,56.250,42.614,0,0,0,0,99858,37746306,0,0,17848,325
1.508,49.246,48.744,0.503,0,0,65536,99654,37839780,0,0,1794,397
0.503,49.749,49.749,0,0,0,0,94656,38056084,0,0,1258,398
0,50.251,49.749,0,0,0,0,93738,38046784,0,0,1235,398
1,49,50,0,0,0,0,94860,38088634,0,0,1220,387
1.500,49,49.500,0,0,0,0,93738,38050738,0,0,1257,440
0.543,53.804,45.109,0.543,0,0,12288,97920,37809476,0,0,10617,364
0.571,57.143,42.286,0,0,0,0,95472,37923480,0,0,17965,334
0.575,57.471,41.954,0,0,0,0,95472,37963084,0,0,18041,329
1.676,44.693,53.631,0,0,0,0,46524,29187898,0,0,13438,359
2.247,56.180,41.573,0,0,0,0,42330,37905734,0,0,18043,352
0.571,57.143,42.286,0,0,0,0,41616,37976180,0,0,18062,319
1.130,56.497,41.243,1.130,0,0,40960,41616,37943630,0,0,18039,363
1.136,56.818,42.045,0,0,0,0,42024,37897130,0,0,18004,326
0.575,56.897,42.529,0,0,0,0,41922,37910384,0,0,18058,317
1.685,56.180,42.135,0,0,0,0,41412,37966880,0,0,18101,324
0.571,57.143,42.286,0,0,0,0,42024,37887830,0,0,18017,314
2.793,55.866,40.782,0.559,0,0,811008,41922,37867680,0,0,18108,362
2.247,56.180,41.573,0,0,0,0,41922,37894030,0,0,18055,327
2.247,44.944,52.809,0,0,0,0,56926,29258169,0,0,13533,358
0.571,57.143,42.286,0,0,0,0,57018,37903330,0,0,18007,332
0,58.046,41.954,0,0,0,0,55692,37925030,0,0,17942,308
1.695,56.497,38.983,2.825,0,0,110592,51714,37908834,0,0,18056,355
1.143,57.143,41.714,0,0,0,0,50286,37942080,0,0,18000,339
0.571,57.143,42.286,0,0,0,0,50388,37935880,0,0,17950,313
1.136,56.818,42.045,0,0,0,0,48858,37956884,0,0,18126,342
0.571,57.143,42.286,0,0,0,0,45390,37949830,0,0,18154,304
0.524,52.356,46.073,1.047,0,0,12288,47124,37880080,0,0,8016,349
1,49,50,0,0,0,0,40392,38163034,0,0,1396,399
1.596,39.894,58.511,0,0,0,0,43462,28721522,0,0,5031,407
1.136,55.682,43.182,0,0,0,0,88740,37494954,0,0,17527,352
1.136,56.818,42.045,0,0,0,0,94656,37932084,0,0,18023,303
1.143,57.143,41.143,0.571,0,0,77824,95064,37903330,0,0,18037,355
1.143,57.143,41.714,0,0,0,0,94758,37953626,0,0,17999,336
0,57.471,42.529,0,0,0,0,95472,37922784,0,0,18036,322
0.515,51.031,48.454,0,0,0,0,100368,37909530,0,0,4182,409
1.990,48.259,49.751,0,0,0,0,94044,38140638,0,0,1206,408
1.005,49.246,49.246,0.503,0,0,36864,95982,38157688,0,0,1192,404
1.005,49.246,49.749,0,0,0,0,94554,38174738,0,0,1228,407
1.026,41.026,57.949,0,0,0,0,85486,29294413,0,0,1877,425
0.575,57.471,41.954,0,0,0,0,93330,37755068,0,0,17872,334
0.578,57.803,41.618,0,0,0,0,88434,37784676,0,0,17889,293
1.143,57.143,41.714,0,0,0,0,84252,37858380,0,0,17928,331
1.143,57.143,41.143,0.571,0,0,40960,85680,37892480,0,0,17841,340
0.578,57.803,41.618,0,0,0,0,85476,37875430,0,0,17826,335
1.149,56.897,41.954,0,0,0,0,82620,37881630,0,0,17905,336
0,57.803,42.197,0,0,0,0,81294,37867680,0,0,17880,312
1.149,57.471,41.379,0,0,0,0,81294,37809476,0,0,17842,326
1.143,57.143,41.143,0.571,0,0,12288,76092,37867680,0,0,17885,359
1.130,51.412,47.458,0,0,0,0,69758,34333896,0,0,16353,324
1.538,43.590,54.872,0,0,0,0,55610,32739734,0,0,1305,439
0.503,49.749,49.749,0,0,0,0,55998,38273242,0,0,1242,401
1.493,48.756,49.751,0,0,0,0,57630,38202638,0,0,1288,409
0.513,50.769,48.718,0,0,0,0,60180,38074684,0,0,4040,388
0.571,57.143,41.143,1.143,0,0,40960,56916,37964634,0,0,18053,340
0.571,57.143,42.286,0,0,0,0,54366,37976180,0,0,18104,326
1.695,56.497,41.808,0,0,0,0,51408,37970834,0,0,17992,320
0,57.471,42.529,0,0,0,0,50490,37978584,0,0,18058,308
1.143,57.143,41.714,0,0,0,0,78234,37962128,0,0,18077,331
1.136,56.818,41.477,0.568,0,0,12288,93024,37969284,0,0,18012,329
1.130,45.763,53.107,0,0,0,0,49172,29238510,0,0,13701,381
0.568,56.818,42.614,0,0,0,0,44166,37776926,0,0,17443,316
0.503,49.749,49.749,0,0,0,0,41106,38319742,0,0,1182,388
1,49.500,48,1.500,0,0,65536,40902,38224338,0,0,1349,426
1,49,50,0,0,0,0,40800,38211938,0,0,1302,403
0.503,49.749,48.744,1.005,0,0,45056,40800,38236042,0,0,1262,399
0.543,54.348,45.109,0,0,0,0,47226,37844430,0,0,12315,328
1.136,56.818,42.045,0,0,0,0,41616,38005630,0,0,17999,308
1,49.500,49.500,0,0,0,0,41004,38103438,0,0,1939,383
1.508,48.744,49.749,0,0,0,0,40698,38238288,0,0,1281,379
2.688,39.785,56.989,0.538,0,0,12288,41114,28755077,0,0,7028,418
0,57.471,42.529,0,0,0,0,43044,37863030,0,0,17986,312
0.571,57.143,42.286,0,0,0,0,42330,37866130,0,0,18063,337
1.136,56.818,42.045,0,0,0,0,42228,37890076,0,0,17990,330
1.117,55.307,43.575,0,0,0,0,46308,37655172,0,0,15666,318
1.124,56.180,41.573,1.124,0,0,40960,49266,37756080,0,0,16430,350
0,56.897,43.103,0,0,0,0,55386,37603920,0,0,17755,321
1.020,50.510,48.469,0,0,0,0,62628,37880776,0,0,3981,367
0.500,50,49.500,0,0,0,0,57222,38160788,0,0,1261,412
0.513,50.769,48.718,0,0,0,0,62424,37928984,0,0,4328,359
2.235,43.575,53.073,1.117,0,0,12288,55600,28885053,0,0,13519,384
0.575,57.471,41.954,0,0,0,0,54264,37918134,0,0,17986,289
0,56.322,43.678,0,0,0,0,94962,37250770,0,0,17250,320
1.143,57.143,41.714,0,0,0,0,93840,37987884,0,0,18112,329
0.571,57.143,42.286,0,0,0,0,94350,37961534,0,0,18055,323
2.273,56.250,40.909,0.568,0,0,40960,94044,37979280,0,0,18034,379
0.575,57.471,41.954,0,0,0,0,95676,38004934,0,0,18004,320
0.571,57.143,42.286,0,0,0,0,93942,38009584,0,0,18029,317
0.518,51.295,48.187,0,0,0,0,99552,37745926,0,0,4986,399
0.541,54.054,45.405,0,0,0,0,99552,37861480,0,0,11531,342
2.010,42.211,55.779,0,0,0,12288,78854,30599495,0,0,1116,426
1.734,53.179,45.087,0,0,0,0,110264,35821982,0,0,16608,363
1.705,56.818,41.477,0,0,0,0,96186,37956884,0,0,18119,326
0,57.471,42.529,0,0,0,0,98736,37952930,0,0,18061,343
0.571,57.143,42.286,0,0,0,4096,94656,37992534,0,0,17620,317
2.260,56.497,41.243,0,0,0,0,96696,37968430,0,0,18018,330
1.685,56.180,41.011,1.124,0,0,40960,93738,37981684,0,0,18099,320
1.515,48.990,49.495,0,0,0,0,103530,37929680,0,0,1794,372
0.503,49.749,49.749,0,0,0,0,94452,38168538,0,0,1254,375
0.995,49.254,49.751,0,0,0,32768,93432,38171638,0,0,1216,379
1,49.500,49.500,0,0,0,0,96288,38142884,0,0,1288,412
1.136,44.886,53.977,0,0,0,12288,67126,29052710,0,0,13358,371
1.705,56.818,41.477,0,0,0,0,64566,37958434,0,0,17995,325
0.571,57.143,42.286,0,0,0,0,63852,37935880,0,0,18068,339
0.575,57.471,41.954,0,0,0,32768,63750,37932780,0,0,17932,310
0.571,57.143,42.286,0,0,0,4096,62016,37986334,0,0,18057,318
0.575,57.471,41.954,0,0,0,0,62934,37952234,0,0,17995,310
0.571,57.143,41.143,1.143,0,0,49152,60588,37938980,0,0,17932,319
1.695,56.497,41.808,0,0,0,0,59364,37945180,0,0,17956,330
0,57.471,42.529,0,0,0,0,57426,37921930,0,0,18023,301
1.136,56.818,42.045,0,0,0,40960,57018,38001834,0,0,16712,328
1.657,45.304,53.039,0,0,0,0,49276,29297569,0,0,12998,365
0.575,57.471,41.379,0.575,0,0,40960,43350,37959130,0,0,17971,333
2.247,56.180,41.573,0,0,0,0,41922,38034384,0,0,18071,325
0.568,56.818,42.614,0,0,0,0,41514,37990130,0,0,18014,317
0.571,57.143,42.286,0,0,0,0,41616,37989434,0,0,18112,321
1.136,56.818,42.045,0,0,0,49152,41310,37998734,0,0,18066,315
0,57.471,41.954,0.575,0,0,20480,41616,37978584,0,0,18033,315
1.990,48.756,49.254,0,0,0,0,42228,38001834,0,0,1315,372
0.498,49.751,49.751,0,0,0,0,40800,38202638,0,0,1272,367
1,49.500,49.500,0,0,0,0,40698,38191788,0,0,1295,383
1.685,43.820,54.494,0,0,0,0,58660,28774735,0,0,12836,387
1.705,56.818,40.909,0.568,0,0,40960,74358,37872330,0,0,17958,353
0.575,57.471,41.954,0,0,0,0,69666,37925030,0,0,17938,326
1.143,56.571,42.286,0,0,0,0,68748,37918830,0,0,17875,316
1.604,52.941,45.455,0,0,0,0,70176,37887134,0,0,10472,358
0.503,49.749,49.749,0,0,0,0,65688,38130484,0,0,1265,402
0.521,51.562,47.917,0,0,0,0,69054,37896276,0,0,6425,364
1.075,53.763,44.624,0.538,0,0,12288,79866,37615726,0,0,10966,375
0,57.803,42.197,0,0,0,0,59364,37958434,0,0,17966,306
1.136,56.818,42.045,0,0,0,0,60078,37987030,0,0,18079,319
1.685,44.944,53.371,0,0,0,0,60700,29257267,0,0,13736,357
1.705,56.818,41.477,0,0,0,0,93330,37932084,0,0,17958,344
0.575,57.471,40.805,1.149,0,0,40960,88740,37960680,0,0,17993,343
0.546,54.645,44.809,0,0,0,0,95064,37725776,0,0,12185,348
0.575,57.471,41.954,0,0,0,0,82926,37929680,0,0,17960,327
1.143,57.143,41.714,0,0,0,0,82722,37938284,0,0,17854,344
1.143,57.143,41.714,0,0,0,0,81702,37963780,0,0,17916,312
1.143,57.143,41.143,0.571,0,0,12288,81192,37967734,0,0,17940,357
0.578,57.803,41.618,0,0,0,0,82314,37952930,0,0,17898,310
1.143,57.143,41.714,0,0,0,0,81498,37945180,0,0,17871,336
0.568,51.705,47.727,0,0,0,0,74960,34561902,0,0,16267,305
2.260,49.718,48.023,0,0,0,0,48878,32551562,0,0,14495,386
1.130,56.497,41.243,1.130,0,0,40960,42330,37937430,0,0,18035,333
0.571,57.143,42.286,0,0,0,0,41106,37929680,0,0,18077,308
1.695,56.497,41.808,0,0,0,0,41412,37955334,0,0,18059,345
0.568,56.818,42.614,0,0,0,0,41718,37992534,0,0,18055,328
1.136,56.818,41.477,0.568,0,0,49152,41004,37946730,0,0,18013,303
