"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570636709-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","09 Oct 2019 18:01:35 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.326,6.461,89.667,1.546,0,145479.239,64932.581,0,0,0,0,2758.502,1705.226


"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570636709-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","09 Oct 2019 18:02:31 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.445,7.146,88.922,1.487,0,139085.785,64465.620,0,0,0,0,2723.425,1647.153
