"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","10 Oct 2019 01:17:18 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.788,37.624,60.316,0.272,0,6550.586,25333.746,0,0,0,0,5954.149,868.415
3.867,15.470,80.663,0,0,0,0,216480,216480,0,0,4506,2993
4.813,16.578,78.610,0,0,0,0,218400,218560,0,0,4531,2987
4.945,14.835,80.220,0,0,0,0,218400,218510,0,0,4549,3000
3.867,8.840,87.293,0,0,0,0,262400,262400,0,0,3990,3517
3.315,16.022,80.110,0.552,0,0,36864,216960,216960,0,0,4489,2963
4.372,12.022,83.607,0,0,0,0,258482,258482,0,0,4383,3501
2.312,12.717,84.971,0,0,0,0,242400,242240,0,0,4955,3293
1.143,14.286,84.571,0,0,0,0,241600,241600,0,0,4941,3282
3.333,13.333,83.333,0,0,0,0,255040,255040,0,0,4671,3444
1.744,11.628,85.465,1.163,0,0,12288,248640,248800,0,0,4829,3374
2.273,13.636,84.091,0,0,0,0,249440,249440,0,0,5014,3392
2.660,12.766,84.574,0,0,0,0,285600,285440,0,0,4007,3800
3.191,12.766,84.043,0,0,0,0,285440,285440,0,0,4019,3799
2.273,11.364,86.364,0,0,0,24576,262720,262720,0,0,4616,3525
2.717,11.957,83.696,1.630,0,0,40960,277600,277600,0,0,4137,3734
3.723,12.234,84.043,0,0,0,0,284960,284960,0,0,4064,3791
2.762,12.155,85.083,0,0,0,0,274400,274400,0,0,4392,3666
1.667,13.333,85,0,0,0,0,267040,267200,0,0,4566,3591
2.841,13.636,83.523,0,0,0,0,247200,247310,0,0,4953,3373
1.667,15.556,78.889,3.889,0,0,98304,248480,248320,0,0,4845,3373
2.222,13.333,84.444,0,0,0,0,264800,264960,0,0,4630,3569
3.352,11.732,84.916,0,0,0,0,265760,265760,0,0,4585,3566
1.744,13.372,84.884,0,0,0,0,247520,247520,0,0,5074,3377
1.163,13.372,85.465,0,0,0,0,246560,246400,0,0,5042,3341
2.841,13.636,81.818,1.705,0,0,65536,242162,242162,0,0,4991,3326
1.807,9.639,88.554,0,0,0,0,247840,248000,0,0,5052,3372
