"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-macsec-aesgcm-e-1500-dstat.csv",,,,"Date:","09 Oct 2019 21:21:09 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.816,29.773,68.059,0.352,0,13521.645,28044.181,0,0,0,0,4939.741,932.621
3.825,13.661,82.514,0,0,0,0,249120,249280,0,0,4491,3382
3.825,15.301,80.874,0,0,0,0,226720,226560,0,0,4694,3102
2.809,14.045,83.146,0,0,0,0,227680,227680,0,0,4695,3120
3.371,13.483,83.146,0,0,0,0,227040,227310,0,0,4686,3115
2.747,15.934,80.220,1.099,0,0,36864,221362,221202,0,0,4588,3048
3.889,12.222,83.889,0,0,0,0,246240,246400,0,0,4574,3343
2.222,15.556,82.222,0,0,0,0,224800,224800,0,0,4650,3070
3.409,12.500,84.091,0,0,0,0,227200,227200,0,0,4690,3138
4.972,13.260,81.768,0,0,0,0,224640,224640,0,0,4637,3084
2.778,15,80.556,1.667,0,0,12288,220800,220800,0,0,4562,3030
3.911,12.849,83.240,0,0,0,0,232960,232960,0,0,4556,3186
2.273,13.636,84.091,0,0,0,0,223680,223520,0,0,4618,3056
3.297,15.934,80.769,0,0,0,0,224480,224640,0,0,4642,3080
3.333,14.444,82.222,0,0,0,0,222080,222080,0,0,4586,3035
2.299,13.218,83.908,0.575,0,0,12288,226400,226240,0,0,4663,3110
2.874,12.644,84.483,0,0,0,0,221440,221600,0,0,4580,3049
1.714,13.714,84.571,0,0,0,0,220480,220480,0,0,4546,3012
1.117,14.525,84.358,0,0,0,0,243840,243840,0,0,4453,3324
1.734,13.295,84.971,0,0,0,0,224640,224480,0,0,4623,3065
2.762,14.917,80.110,2.210,0,0,49152,216800,217070,0,0,4510,3007
3.889,14.444,81.667,0,0,0,0,221760,221600,0,0,4599,3082
3.390,13.559,83.051,0,0,0,0,219520,219680,0,0,4543,3002
2.825,14.124,83.051,0,0,0,0,220960,220800,0,0,4567,3023
1.695,15.254,83.051,0,0,0,0,219360,219360,0,0,4540,3002
2.874,12.644,83.333,1.149,0,0,24576,216800,216960,0,0,4484,2986
3.743,16.043,80.214,0,0,0,0,242080,242080,0,0,4441,3291
2.857,13.143,84,0,0,0,0,218880,218720,0,0,4520,2995
3.409,13.068,83.523,0,0,0,0,219360,219520,0,0,4557,3049
3.429,12.571,84,0,0,0,0,217280,217120,0,0,4497,2976
1.657,13.260,83.425,1.657,0,0,24576,256000,256000,0,0,4158,3440
4.278,17.112,78.610,0,0,0,0,220160,220320,0,0,4584,3052
2.235,15.642,82.123,0,0,0,0,220480,220480,0,0,4578,3039
3.933,14.045,82.022,0,0,0,0,215520,215360,0,0,4473,2981
3.784,16.757,79.459,0,0,0,0,218560,218720,0,0,4534,3001
3.825,13.661,80.328,2.186,0,0,3055616,235360,235200,0,0,4407,3207
5.820,17.460,76.720,0,0,0,0,334336,334176,0,0,4486,3005
2.809,15.730,81.461,0,0,0,0,384562,384850,0,0,4421,2927
3.763,18.280,77.957,0,0,0,0,387648,387360,0,0,4488,2966
2.186,18.033,79.781,0,0,0,0,388224,388224,0,0,4481,2950
2.793,16.201,79.330,1.676,0,0,73728,383040,383040,0,0,4439,2918
3.846,10.989,85.165,0,0,0,0,449568,449856,0,0,4077,3424
2.732,17.486,79.781,0,0,0,0,389664,389376,0,0,4493,2958
1.648,18.681,79.670,0,0,0,0,390528,390528,0,0,4525,2985
1.622,13.514,84.865,0,0,0,0,460224,460224,0,0,3980,3430
2.260,15.254,80.226,2.260,0,0,12288,383040,383040,0,0,4423,2926
5.319,17.021,77.660,0,0,0,0,388800,388800,0,0,4522,2987
2.732,18.033,79.235,0,0,0,0,391104,391104,0,0,4521,2972
3.333,10.556,86.111,0,0,0,0,450226,450226,0,0,4104,3386
2.286,14.286,83.429,0,0,0,0,390240,390528,0,0,4491,2973
3.889,15.556,80,0.556,0,0,12288,384768,384768,0,0,4452,2940
3.261,17.391,79.348,0,0,0,0,391392,391392,0,0,4529,2995
3.352,15.642,81.006,0,0,0,0,395424,395534,0,0,4565,3024
3.352,15.084,81.564,0,0,0,0,386784,386784,0,0,4453,2952
1.667,17.778,80.556,0,0,0,0,387360,387072,0,0,4461,2941
4.255,18.617,76.064,1.064,0,0,12288,381024,381024,0,0,4432,2908
2.762,16.575,80.663,0,0,0,0,384480,384480,0,0,4437,2933
3.743,18.717,77.540,0,0,0,0,391968,391968,0,0,4530,2991
3.297,17.033,79.670,0,0,0,0,383616,383616,0,0,4447,2944
4.762,17.989,77.249,0,0,0,0,391104,391392,0,0,4506,2970
1.657,18.232,79.558,0.552,0,0,12288,386496,386208,0,0,4446,2945
2.747,17.033,80.220,0,0,0,0,384480,384480,0,0,4440,2950
5.435,15.761,78.804,0,0,0,0,385344,385632,0,0,4452,2935
4.324,17.297,78.378,0,0,0,0,390240,389952,0,0,4523,3005
3.784,17.297,78.919,0,0,0,0,388224,388512,0,0,4494,2957
3.279,17.486,78.689,0.546,0,0,12288,382464,382464,0,0,4417,2914
4.945,15.385,79.670,0,0,0,2654208,389952,389952,0,0,4518,3006
4.469,13.966,81.564,0,0,0,0,392832,392544,0,0,4533,2991
4.255,18.617,77.128,0,0,0,0,389376,389664,0,0,4525,2998
2.703,18.919,78.378,0,0,0,0,383040,382752,0,0,4433,2915
4.278,17.647,76.471,1.604,0,0,28672,376416,376416,0,0,4373,2877
2.717,16.304,80.978,0,0,0,24576,410112,410112,0,0,4421,3136
2.762,17.680,79.558,0,0,0,0,398162,398162,0,0,4404,2918
3.825,17.486,78.689,0,0,0,0,702848,702848,0,0,4323,2858
2.222,17.778,80,0,0,0,0,688160,688160,0,0,4220,2763
2.151,19.892,76.882,1.075,0,0,16384,688160,688160,0,0,4222,2759
4.046,12.717,83.237,0,0,0,0,698496,699040,0,0,4273,2828
3.825,13.115,83.060,0,0,0,0,801856,801856,0,0,4017,3200
