"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-macsec-aesgcm-e-frag-jumbo-1500-dstat.csv",,,,"Date:","09 Oct 2019 23:29:43 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.818,35.458,62.432,0.293,0,8533.035,26102.870,0,0,0,0,6025.856,889.348
2.809,12.360,82.022,2.809,0,0,98304,265760,265920,0,0,4707,3608
1.734,11.561,86.705,0,0,0,0,259200,259200,0,0,4795,3491
3.429,12.571,84,0,0,0,0,246720,246670,0,0,5064,3372
3.333,14.444,82.222,0,0,0,0,247200,247360,0,0,5083,3378
2.825,13.559,81.921,1.695,0,0,32768,241842,241842,0,0,4951,3286
4.023,11.494,84.483,0,0,0,0,248000,247840,0,0,5068,3391
3.977,12.500,83.523,0,0,0,0,246560,246560,0,0,5035,3340
2.286,13.143,84.571,0,0,0,0,247200,247360,0,0,5048,3354
2.874,12.644,84.483,0,0,0,0,246720,246560,0,0,5031,3351
2.890,11.561,84.971,0.578,0,0,12288,245920,245920,0,0,5018,3346
4.023,11.494,84.483,0,0,0,0,247360,247520,0,0,5070,3379
2.874,12.644,84.483,0,0,0,0,246240,246240,0,0,5038,3348
2.793,14.525,82.682,0,0,0,0,245280,245120,0,0,5025,3332
3.371,14.045,82.584,0,0,0,0,246720,246720,0,0,5070,3374
1.775,11.243,86.391,0.592,0,0,12288,245440,245440,0,0,5011,3334
3.390,13.559,83.051,0,0,0,0,247360,247360,0,0,5076,3387
2.762,15.470,81.768,0,0,0,20480,246400,246400,0,0,5067,3378
1.130,14.689,84.181,0,0,0,0,255360,255470,0,0,4844,3459
1.648,10.989,87.363,0,0,0,0,290080,290240,0,0,4069,3856
3.279,14.754,80.874,1.093,0,0,32768,249600,249440,0,0,4889,3382
2.778,14.444,82.778,0,0,0,0,256480,256640,0,0,4877,3483
2.793,13.408,83.799,0,0,0,28672,253120,252960,0,0,4866,3425
3.933,13.483,82.584,0,0,0,0,246080,246240,0,0,5071,3364
3.889,13.889,82.222,0,0,0,0,245760,245760,0,0,5042,3338
2.841,13.068,82.955,1.136,0,0,40960,244160,244000,0,0,5010,3318
2.286,13.714,84,0,0,0,0,247200,247200,0,0,5074,3406
3.333,10.556,86.111,0,0,0,8192,276000,276160,0,0,4347,3696
3.371,13.483,83.146,0,0,0,0,248000,248000,0,0,5090,3374
2.793,15.084,82.123,0,0,0,0,244960,244800,0,0,5018,3327
0.588,12.353,85.882,1.176,0,0,20480,242080,242080,0,0,4940,3292
2.235,15.642,82.123,0,0,0,0,246080,246240,0,0,5050,3358
3.867,14.917,81.215,0,0,0,3051520,267872,267712,0,0,4907,3358
