"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","09 Oct 2019 23:08:12 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.809,34.840,63.052,0.300,0,9094.821,26301.057,0,0,0,0,6185.862,894.240
2.273,13.636,84.091,0,0,0,0,226720,226880,0,0,4419,3086
3.846,15.385,80.769,0,0,0,0,221440,221440,0,0,4442,3045
2.235,12.291,85.475,0,0,0,40960,251200,251200,0,0,4319,3395
1.685,13.483,84.831,0,0,0,0,235840,235680,0,0,4211,3222
2.273,10.227,86.364,1.136,0,0,53248,250720,250990,0,0,4223,3399
2.825,14.689,82.486,0,0,0,0,215122,215122,0,0,4448,2951
2.247,15.730,82.022,0,0,0,0,212480,212480,0,0,4388,2895
2.841,14.773,82.386,0,0,0,0,210880,210880,0,0,4365,2867
3.911,14.525,81.564,0,0,0,0,211200,211200,0,0,4393,2914
1.786,11.905,85.714,0.595,0,0,12288,211840,211680,0,0,4368,2903
4.396,15.385,80.220,0,0,0,0,215680,215840,0,0,4476,2951
3.867,15.470,80.663,0,0,0,0,214240,214240,0,0,4449,2950
4.918,14.208,80.874,0,0,0,0,220800,220800,0,0,4284,2992
5.028,11.173,83.799,0,0,0,0,230720,230560,0,0,4268,3130
3.743,18.182,77.540,0.535,0,0,12288,213440,213440,0,0,4480,2946
3.867,15.470,80.663,0,0,0,0,210720,210720,0,0,4378,2890
3.297,9.890,86.813,0,0,0,0,263360,263360,0,0,3963,3535
4.278,17.112,77.540,1.070,0,0,77824,217600,217600,0,0,4469,2979
2.247,15.730,82.022,0,0,0,0,215680,215680,0,0,4481,2961
4.469,13.408,80.447,1.676,0,0,12288,210880,210990,0,0,4380,2902
2.747,17.033,80.220,0,0,0,0,212320,212320,0,0,4423,2917
3.297,16.484,80.220,0,0,0,0,212160,212320,0,0,4425,2907
2.793,13.408,83.799,0,0,0,24576,231680,231360,0,0,4342,3128
3.352,15.084,81.564,0,0,0,0,213760,213760,0,0,4442,2949
2.247,15.730,80.337,1.685,0,0,36864,209280,209280,0,0,4350,2879
2.793,15.642,81.564,0,0,0,0,211040,211040,0,0,4356,2870
2.825,14.689,82.486,0,0,0,0,216640,216640,0,0,4496,2974
