"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-macsec-chachapoly-we-1500-1500-dstat.csv",,,,"Date:","10 Oct 2019 01:38:40 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.783,37.939,60.006,0.272,0,8227.295,25210.168,0,0,2.145,24.021,5851.108,865.073
5.556,12.778,80,1.667,0,0,49152,264000,264000,0,0,5403,3601
1.163,13.953,84.884,0,0,0,0,270880,271040,0,0,5504,3659
3.448,13.218,83.333,0,0,0,0,272320,272270,0,0,5556,3712
2.260,15.254,82.486,0,0,0,0,273280,273280,0,0,5555,3682
2.793,15.642,81.564,0,0,0,0,273682,273682,0,0,5566,3706
2.793,15.084,81.564,0.559,0,0,12288,280480,280480,0,0,5397,3806
3.846,15.934,80.220,0,0,0,0,274080,274080,0,0,5591,3711
2.841,9.659,87.500,0,0,0,0,307200,307200,0,0,4702,4080
2.809,15.169,82.022,0,0,0,0,274560,274560,0,0,5597,3705
3.911,14.525,81.564,0,0,0,0,274400,274560,0,0,5569,3717
1.765,12.941,84.706,0.588,0,0,12288,272160,272160,0,0,5524,3685
1.724,14.368,83.908,0,0,0,0,273440,273280,0,0,5555,3692
3.352,15.084,81.564,0,0,0,32768,275040,275040,0,0,5557,3731
2.235,16.760,81.006,0,0,0,0,274240,274400,0,0,5588,3713
2.793,16.201,81.006,0,0,0,0,272480,272480,0,0,5560,3679
2.247,15.169,81.461,1.124,0,0,28672,270240,270240,0,0,5510,3657
2.674,19.786,77.540,0,0,0,0,272960,273070,0,0,5604,3717
3.846,15.934,80.220,0,0,0,0,272960,273120,0,0,5578,3701
1.111,18.333,80.556,0,0,0,0,273440,273280,0,0,5567,3693
3.763,18.280,77.957,0,0,0,0,273120,273120,0,0,5579,3701
3.209,18.717,77.540,0.535,0,0,12288,272160,272320,0,0,5562,3684
2.210,17.680,80.110,0,0,0,0,274080,273920,0,0,5582,3709
3.390,14.689,81.921,0,0,0,0,273440,273440,0,0,5557,3701
5.435,15.761,73.370,5.435,0,0,110592,274720,274720,0,0,5611,3732
2.247,15.730,82.022,0,0,0,0,275040,275200,0,0,5593,3719
2.247,15.730,80.337,1.685,0,0,49152,270642,270642,0,0,5514,3662
3.846,13.736,82.418,0,0,0,0,289280,289280,0,0,5207,3886
4.520,13.559,81.921,0,0,0,0,274720,274720,0,0,5597,3727
3.315,17.127,79.558,0,0,0,3096576,286272,286400,0,0,5562,3712
2.326,11.628,86.047,0,0,0,0,503424,503424,0,0,5367,3756
3.571,10.119,85.119,1.190,0,0,32768,482112,481824,0,0,5416,3611
3.448,13.218,83.333,0,0,0,0,488160,488448,0,0,5511,3672
3.529,10.588,85.882,0,0,0,0,487008,486720,0,0,5486,3661
5.682,11.364,82.955,0,0,0,0,489600,489888,0,0,5526,3691
4.678,10.526,84.795,0,0,0,0,489024,488736,0,0,5523,3709
4,13.143,81.714,1.143,0,0,12288,484992,485280,0,0,5485,3645
4.494,13.483,82.022,0,0,0,0,492768,492768,0,0,5465,3698
1.840,9.202,88.957,0,0,0,0,487296,487008,0,0,5465,3646
2.924,11.696,85.380,0,0,0,0,486432,486720,0,0,5484,3640
4.217,8.434,87.349,0,0,0,0,486144,485856,0,0,5466,3666
2.273,14.773,82.386,0.568,0,0,12288,486432,486720,0,0,5500,3659
1.807,10.843,87.349,0,0,0,0,489888,489888,0,0,5495,3664
2.326,12.791,84.884,0,0,0,0,488160,488270,0,0,5506,3671
2.339,12.865,84.795,0,0,0,0,489888,489600,0,0,5504,3652
3.468,12.717,83.815,0,0,0,0,489312,489600,0,0,5526,3683
3.409,13.068,82.386,1.136,0,0,12288,489312,489024,0,0,5517,3669
2.890,13.295,83.815,0,0,0,0,489312,489600,0,0,5531,3682
5.085,12.429,82.486,0,0,0,0,491040,491040,0,0,5523,3691
2.841,14.773,82.386,0,0,0,0,486144,486144,0,0,5484,3640
3.448,13.218,83.333,0,0,0,0,485280,484992,0,0,5497,3653
3.889,14.444,80.556,1.111,0,0,12288,478944,478944,0,0,5439,3611
4.444,15,80.556,0,0,0,0,481042,481330,0,0,5462,3607
2.841,14.205,82.955,0,0,0,0,487872,487584,0,0,5525,3663
3.429,13.714,82.857,0,0,0,0,490752,491040,0,0,5545,3678
3.409,14.205,82.386,0,0,0,0,490834,490546,0,0,5563,3704
2.299,14.368,82.759,0.575,0,0,12288,485280,485568,0,0,5501,3650
3.911,15.084,81.006,0,0,0,0,489024,489024,0,0,5534,3679
3.297,16.484,80.220,0,0,0,0,489600,489312,0,0,5559,3683
2.841,11.364,85.795,0,0,0,0,761536,762080,0,0,4706,3805
2.247,11.798,82.022,3.933,0,4096,3284992,852448,851904,0,0,4500,3406
3.867,12.155,82.873,1.105,0,0,28672,928064,928608,0,0,4677,3671
2.326,10.465,87.209,0,0,0,0,829600,829056,0,0,4730,3307
3.846,13.736,82.418,0,0,0,0,841024,841024,0,0,4760,3381
2.841,11.932,85.227,0,0,0,0,859520,859520,0,0,4859,3417
3.315,11.602,85.083,0,0,0,24576,974848,974848,0,0,4522,3847
3.889,13.889,81.111,1.111,0,0,12288,826336,826336,0,0,4989,3319
4.494,11.798,83.708,0,0,0,0,835040,835584,0,0,5065,3373
2.841,10.795,86.364,0,0,0,0,936768,936224,0,0,4634,3685
2.793,13.966,83.240,0,0,0,0,841024,841024,0,0,5044,3350
4.571,10.857,84.571,0,0,0,0,837760,837760,0,0,5044,3378
4.494,11.798,82.584,1.124,0,0,12288,829600,830144,0,0,5001,3329
2.299,12.069,85.632,0,0,0,0,835584,835584,0,0,5014,3334
4.023,10.920,85.057,0,0,0,0,836672,836128,0,0,5029,3360
2.286,12.571,85.143,0,0,0,0,835584,835584,0,0,5019,3332
2.286,13.143,84.571,0,0,0,0,834496,835040,0,0,5025,3342
2.367,10.059,86.982,0.592,0,0,12288,833952,833952,0,0,5012,3354
3.371,13.483,83.146,0,0,0,0,838304,838304,0,0,5053,3374
2.825,12.429,84.746,0,0,0,0,858432,857888,0,0,4915,3421
3.315,12.707,83.978,0,0,0,0,922706,923250,0,0,4837,3658
2.857,11.429,85.714,0,0,0,0,874208,873664,0,0,4942,3498
3.743,12.299,83.422,0.535,0,0,12288,996608,997152,0,0,4118,3915
4.324,11.892,83.784,0,0,0,0,949824,949824,0,0,4538,3734
1.667,11.111,87.222,0,0,0,0,990624,990624,0,0,4174,3872
3.804,9.783,86.413,0,0,0,0,994976,994432,0,0,4085,3867
3.333,10,86.667,0,0,0,0,947104,947648,0,0,4368,3729
2.732,14.208,81.967,1.093,0,0,12288,887808,887808,0,0,4731,3535
3.297,15.385,81.319,0,0,0,0,842112,841568,0,0,5071,3383
4.396,8.791,86.813,0,0,0,0,977024,977024,0,0,4212,3824
3.763,11.290,84.946,0,0,0,0,986816,987360,0,0,4063,3839
4.372,13.661,81.967,0,0,0,0,1496736,1496192,0,0,4218,3162
1.685,7.865,88.764,1.685,0,0,3182592,1732896,1732896,0,0,3741,3526
4.301,9.140,86.559,0,0,0,0,1759296,1759296,0,0,3774,3567
2.174,16.848,80.978,0,0,0,0,1461504,1462560,0,0,4351,3027
6.630,12.707,80.663,0,0,0,0,1407648,1407758,0,0,4425,2934
2.809,14.045,83.146,0,0,0,0,1480512,1480512,0,0,4365,3063
3.665,18.848,76.440,1.047,0,0,12288,1427712,1426656,0,0,4502,2975
5.236,18.325,74.346,2.094,0,12288,0,1422432,1423488,8192,0,4466,3017
5.978,15.217,76.087,2.717,0,69632,69632,1421376,1420320,0,0,4479,3059
5.882,15.508,78.610,0,0,0,0,1427712,1428768,0,0,4517,2979
3.226,13.978,82.796,0,0,0,0,1590336,1590336,0,0,4228,3257
3.867,15.470,80.663,0,0,0,0,1427712,1426656,0,0,4488,2969
3.333,15.556,81.111,0,0,0,0,1415040,1416096,0,0,4459,2943
5.376,15.591,77.957,1.075,0,0,20480,1398144,1398144,0,0,4429,2945
3.825,16.393,79.781,0,0,0,0,1403506,1403506,0,0,4424,2902
4.211,18.421,77.368,0,0,0,0,1452082,1451026,0,0,4413,3017
3.784,16.757,79.459,0,0,0,0,1410816,1410816,0,0,4468,2960
5.618,12.360,82.022,0,0,0,0,1431936,1431936,0,0,4507,3002
