"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-orig-1500-dstat.csv",,,,"Date:","09 Oct 2019 19:11:51 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.948,7.834,89.705,0.513,0,32810.292,35054.987,0,0,0,0,3759.246,1117.028
3.468,11.561,84.971,0,0,0,0,240552,240396,0,0,5035,3354
2.260,11.864,85.876,0,0,0,0,260052,260052,0,0,4672,3587
3.352,12.849,83.799,0,0,0,0,251316,251472,0,0,4819,3485
3.390,13.559,83.051,0,0,0,0,241176,241282,0,0,5064,3371
3.911,13.966,81.006,1.117,0,0,36864,238446,238446,0,0,5045,3380
3.390,13.559,83.051,0,0,0,0,241800,241644,0,0,5084,3371
3.804,15.761,73.370,7.065,0,0,114688,241488,241644,0,0,5113,3375
3.315,15.470,81.215,0,0,0,0,241800,241644,0,0,5086,3377
3.846,15.385,80.769,0,0,0,0,241332,241488,0,0,5095,3384
3.371,14.045,82.022,0.562,0,0,24576,238524,238524,0,0,5028,3349
3.409,13.068,83.523,0,0,0,0,242268,242112,0,0,5036,3379
4.420,13.812,80.663,1.105,0,0,1179648,241644,241644,0,0,5106,3386
2.286,13.714,84,0,0,0,0,240240,240396,0,0,5035,3362
1.685,15.730,82.584,0,0,0,0,241956,241800,0,0,5065,3362
2.857,13.143,82.857,1.143,0,0,49152,238524,238524,0,0,5014,3352
3.352,14.525,82.123,0,0,0,0,240708,240864,0,0,5049,3366
1.130,15.819,83.051,0,0,0,0,240396,240396,0,0,5045,3342
3.955,12.429,83.616,0,0,0,0,241488,241488,0,0,5063,3386
2.874,12.644,84.483,0,0,0,0,244452,244402,0,0,5056,3408
2.809,14.045,82.022,1.124,0,0,12288,240552,240552,0,0,5072,3383
1.676,16.201,82.123,0,0,0,0,240084,240084,0,0,5045,3331
2.857,13.143,84,0,0,0,0,241488,241644,0,0,5072,3362
2.299,13.218,84.483,0,0,0,0,241020,241020,0,0,5049,3356
1.695,15.254,83.051,0,0,0,0,242268,242268,0,0,5095,3390
4.420,14.365,80.110,1.105,0,0,12288,237276,237276,0,0,5009,3337
2.312,12.139,85.549,0,0,0,0,241488,241488,0,0,5062,3376
2.841,14.773,82.386,0,0,0,0,262392,262392,0,0,5475,3628
3.390,14.124,82.486,0,0,0,0,241020,241020,0,0,5072,3366
2.235,15.084,82.682,0,0,0,0,241800,241644,0,0,5097,3375
3.448,12.069,83.333,1.149,0,0,12288,238056,238212,0,0,4993,3326
2.286,13.714,84,0,0,0,0,241020,241020,0,0,5065,3369
1.744,12.791,85.465,0,0,0,0,241644,241488,0,0,5078,3362
4.396,14.286,81.319,0,0,0,0,419444,419444,0,0,4747,3394
3.409,13.636,82.955,0,0,0,0,432816,432816,0,0,5001,3321
2.247,15.730,80.899,1.124,0,0,16384,424296,424580,0,0,4932,3294
1.714,14.286,84,0,0,0,0,428840,428556,0,0,4966,3298
2.353,11.765,85.882,0,0,0,0,425794,426078,0,0,4916,3277
4,12,84,0,0,0,0,430260,429976,0,0,4976,3358
2.825,14.689,82.486,0,0,0,0,432248,432248,0,0,4988,3313
