"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570637557-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","09 Oct 2019 20:16:24 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.860,23.526,74.221,0.393,0,19162.232,30083.847,0,0,0,0,5408.406,990.581
0.546,12.022,87.432,0,0,0,0,255372,255216,0,0,3837,3490
3.804,12.500,79.891,3.804,0,0,77824,233532,233532,0,0,4082,3235
3.243,15.135,81.622,0,0,0,0,229632,229632,0,0,4317,3187
3.825,8.197,87.978,0,0,0,0,260208,260364,0,0,3755,3537
2.247,11.236,85.393,1.124,0,0,32768,233298,233248,0,0,4014,3251
4.396,12.637,82.967,0,0,0,0,226668,226668,0,0,4250,3179
4.324,16.757,78.919,0,0,0,28672,210600,210756,0,0,4490,2959
2.762,16.022,81.215,0,0,0,0,211848,211692,0,0,4333,2962
2.151,18.817,79.032,0,0,0,0,211380,211380,0,0,4492,2948
2.841,14.205,81.818,1.136,0,0,32768,204360,204360,0,0,4337,2864
4.324,16.757,78.919,0,0,0,0,209196,209196,0,0,4464,2949
3.804,16.848,79.348,0,0,0,0,209352,209508,0,0,4475,2952
2.793,15.642,81.564,0,0,0,0,211848,211692,0,0,4515,3030
2.732,16.940,80.328,0,0,0,0,209820,209820,0,0,4453,2939
2.660,19.149,76.064,2.128,0,0,12288,207012,207012,0,0,4411,2928
2.732,17.486,79.781,0,0,0,0,210600,210600,0,0,4475,2973
4.420,14.917,80.663,0,0,0,0,210756,210756,0,0,4473,2949
3.911,13.408,82.682,0,0,0,0,214188,214344,0,0,4431,3012
5.376,15.591,79.032,0,0,0,0,214188,214188,0,0,4487,2996
2.210,13.812,82.873,1.105,0,0,12288,229632,229476,0,0,4265,3182
3.804,14.674,81.522,0,0,0,0,228072,228178,0,0,4325,3224
4.469,13.966,81.564,0,0,0,16384,213408,213564,0,0,4498,2988
2.778,15.556,81.667,0,0,0,12288,218712,218712,0,0,4655,3077
3.352,14.525,82.123,0,0,0,0,217776,217620,0,0,4627,3051
3.371,13.483,82.022,1.124,0,0,45056,218868,218868,0,0,4627,3084
2.260,14.689,83.051,0,0,0,0,223236,223392,0,0,4731,3148
3.468,11.561,84.971,0,0,0,0,224952,224952,0,0,4741,3138
2.247,14.607,83.146,0,0,0,8192,232128,232128,0,0,4848,3247
1.724,13.218,85.057,0,0,0,0,231192,231036,0,0,4762,3228
2.260,14.124,82.486,1.130,0,0,20480,225888,226044,0,0,4779,3173
2.339,11.111,86.550,0,0,0,0,237120,237120,0,0,4991,3326
4,12,84,0,0,0,0,236028,236028,0,0,4971,3304
2.841,14.205,82.955,0,0,0,2850816,236652,236652,0,0,5000,3344
1.190,11.310,87.500,0,0,0,0,238056,237900,0,0,4971,3293
2.778,14.444,81.111,1.667,0,0,32768,264624,264908,0,0,4694,3299
3.743,18.717,77.540,0,0,0,0,379992,379708,0,0,4475,2951
2.778,17.222,80,0,0,0,0,385956,385956,0,0,4493,3018
3.977,12.500,83.523,0,0,0,57344,382058,382058,0,0,4463,2973
1.676,17.318,81.006,0,0,0,0,374880,374880,0,0,4364,2884
2.793,15.084,80.447,1.676,0,0,36864,376016,376016,0,0,4374,2902
4.278,16.043,79.679,0,0,0,0,397884,398168,0,0,4330,3100
3.743,18.182,78.075,0,0,0,0,383400,383116,0,0,4481,2948
2.732,17.486,79.781,0,0,0,0,377152,377436,0,0,4412,2917
2.841,14.773,82.386,0,0,0,0,379708,379708,0,0,4422,2913
3.804,15.761,78.261,2.174,0,0,12288,374028,373744,0,0,4372,2884
3.911,15.084,81.006,0,0,0,0,382832,382832,0,0,4490,2990
3.743,18.182,78.075,0,0,0,0,377436,377720,0,0,4434,2901
3.209,18.717,78.075,0,0,0,0,379708,379424,0,0,4452,2931
3.333,16.111,80.556,0,0,0,0,377152,377152,0,0,4402,2892
4.545,11.932,82.386,1.136,0,0,12288,377436,377436,0,0,4407,2927
2.732,17.486,79.781,0,0,0,0,381412,381696,0,0,4473,2962
3.889,15,81.111,0,0,0,0,376584,376300,0,0,4395,2903
4.348,16.304,79.348,0,0,0,0,384820,384926,0,0,4504,2983
4.494,13.483,82.022,0,0,0,0,381696,381696,0,0,4453,2931
4.494,13.483,80.899,1.124,0,0,12288,376378,376378,0,0,4405,2915
3.315,12.707,83.978,0,0,0,0,427420,427420,0,0,4172,3258
3.846,15.385,80.769,0,0,0,0,387092,387092,0,0,4521,2979
4.348,16.304,79.348,0,0,0,0,385956,386240,0,0,4510,2973
1.676,11.173,87.151,0,0,0,0,452412,452128,0,0,4076,3416
2.762,12.707,83.425,1.105,0,0,12288,421456,421456,0,0,4248,3211
4.420,14.365,81.215,0,0,0,0,398168,398452,0,0,4555,3093
3.933,13.483,82.584,0,0,0,0,399588,399588,0,0,4646,3092
3.371,14.607,82.022,0,0,0,2662400,400156,399872,0,0,4661,3108
5.056,12.360,82.584,0,0,0,0,402996,403280,0,0,4681,3111
