"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-aegis128l-e-1500-1500-dstat.csv",,,,"Date:","11 Oct 2019 00:17:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.474,36.791,61.474,0.260,0,7037.426,22043.342,0,0,0,0,5712.519,777.699
2.198,15.385,80.220,2.198,0,0,36864,237280,237120,0,0,4898,3233
3.279,15.301,81.421,0,0,0,0,238720,238720,0,0,4925,3259
2.762,14.365,82.873,0,0,0,0,237600,237760,0,0,4883,3215
2.793,13.966,83.240,0,0,0,0,236320,236160,0,0,4863,3211
3.315,13.812,82.873,0,0,0,0,235122,235122,0,0,4833,3175
2.778,13.889,82.222,1.111,0,0,12288,237280,237550,0,0,4883,3235
3.889,12.778,83.333,0,0,0,0,242400,242240,0,0,4902,3293
2.273,13.068,84.659,0,0,0,0,235360,235360,0,0,4820,3180
4.372,14.208,81.421,0,0,0,0,236160,236160,0,0,4879,3241
2.809,12.921,84.270,0,0,0,0,239360,239520,0,0,4913,3258
2.793,13.408,82.682,1.117,0,0,12288,233120,233120,0,0,4809,3177
3.352,13.408,83.240,0,0,0,0,236960,236960,0,0,4863,3233
3.261,15.217,81.522,0,0,0,0,237760,237600,0,0,4893,3238
2.210,15.470,82.320,0,0,0,32768,234720,234880,0,0,4842,3221
2.778,14.444,82.778,0,0,0,0,234720,234560,0,0,4820,3178
2.809,12.921,83.146,1.124,0,0,28672,235040,235040,0,0,4823,3192
3.371,12.921,83.708,0,0,0,0,237280,237440,0,0,4882,3245
2.825,12.429,84.746,0,0,0,0,237760,237760,0,0,4868,3220
2.247,14.045,83.708,0,0,0,0,235360,235200,0,0,4819,3197
3.315,13.812,82.873,0,0,0,0,237120,237120,0,0,4884,3235
2.247,14.045,83.146,0.562,0,0,12288,236800,236800,0,0,4878,3227
2.825,12.994,84.181,0,0,0,0,238400,238560,0,0,4906,3258
2.235,13.966,83.799,0,0,0,0,236320,236160,0,0,4854,3204
3.804,12.500,83.696,0,0,0,16384,261760,262030,0,0,4634,3562
1.695,14.124,84.181,0,0,0,0,238880,238720,0,0,4911,3253
3.390,11.864,83.051,1.695,0,0,12288,231840,232000,0,0,4766,3146
2.235,13.966,83.799,0,0,0,0,239520,239360,0,0,4922,3263
3.723,16.489,79.787,0,0,0,0,236480,236640,0,0,4887,3219
1.676,13.408,84.916,0,0,0,8192,252640,252480,0,0,4660,3423
3.261,15.217,81.522,0,0,0,0,239680,239840,0,0,4858,3273
1.657,9.945,86.740,1.657,0,0,20480,286080,286080,0,0,4020,3809
2.210,14.917,82.873,0,0,0,0,239360,239360,0,0,4859,3262
1.657,16.022,82.320,0,0,0,0,237280,237280,0,0,4889,3222
2.247,14.607,83.146,0,0,0,3166208,381856,381696,0,0,4948,3323
2.778,14.444,82.778,0,0,0,0,437760,437760,0,0,5001,3310
2.273,12.500,83.523,1.705,0,0,32768,427392,427680,0,0,4868,3217
2.793,13.408,83.799,0,0,0,0,440352,440064,0,0,5032,3343
2.778,14.444,82.778,0,0,0,0,443520,443808,0,0,5049,3351
1.648,14.286,84.066,0,0,0,0,472320,472320,0,0,4615,3558
3.955,10.169,85.876,0,0,0,0,456480,456480,0,0,4802,3434
3.390,11.864,84.181,0.565,0,0,12288,441504,441216,0,0,4923,3355
2.222,14.444,83.333,0,0,0,0,444960,444960,0,0,4956,3369
2.198,14.835,82.967,0,0,0,0,457920,457920,0,0,4810,3425
2.778,13.889,83.333,0,0,0,0,439200,439200,0,0,5008,3318
2.793,13.966,83.240,0,0,0,0,440640,440640,0,0,5036,3333
1.676,14.525,82.682,1.117,0,0,12288,426240,426528,0,0,4859,3188
3.333,13.333,83.333,0,0,0,0,438706,438706,0,0,5000,3312
1.163,12.209,86.628,0,0,0,0,436608,436320,0,0,4958,3271
1.163,11.628,87.209,0,0,0,0,441216,441504,0,0,5017,3331
3.209,12.299,84.492,0,0,0,0,514080,513792,0,0,4148,3811
1.124,9.551,88.764,0.562,0,0,12288,518482,518482,0,0,4041,3840
3.371,10.112,86.517,0,0,0,0,480384,480384,0,0,4564,3612
2.186,13.115,84.699,0,0,0,0,476352,476352,0,0,4597,3544
2.732,10.383,86.885,0,0,0,0,520128,520128,0,0,4072,3847
1.622,12.432,85.946,0,0,0,0,519264,519264,0,0,4059,3826
2.210,9.392,85.635,2.762,0,0,12288,507744,507744,0,0,3963,3749
2.747,10.440,86.813,0,0,0,0,508896,509184,0,0,4227,3789
2.235,13.966,83.799,0,0,0,0,442080,441792,0,0,4963,3319
1.685,14.045,84.270,0,0,0,0,442080,442478,0,0,5052,3354
2.717,15.761,81.522,0,0,0,0,441216,440928,0,0,5031,3332
2.825,12.429,83.051,1.695,0,0,12288,429984,429984,0,0,4910,3254
4.420,13.260,82.320,0,0,0,0,436608,436608,0,0,4984,3306
1.705,13.068,85.227,0,0,0,0,438336,438336,0,0,4968,3302
1.143,13.143,85.714,0,0,0,0,437472,437472,0,0,4979,3309
6.077,12.707,81.215,0,0,0,3088384,515296,515296,0,0,4863,3276
2.210,10.497,85.083,2.210,0,0,36864,922080,922080,0,0,4095,3624
5.236,12.042,82.723,0,0,0,0,955808,955808,0,0,4123,3789
2.260,12.994,84.746,0,0,0,0,796416,796960,0,0,4632,3217
2.747,13.736,83.516,0,0,0,0,850272,849728,0,0,4420,3405
2.273,13.068,84.659,0,0,0,24576,779552,780096,0,0,4653,3126
2.286,12,84.571,1.143,0,0,12288,767040,766496,0,0,4660,3115
3.371,13.483,83.146,0,0,0,0,766496,766496,0,0,4663,3089
3.315,14.917,81.768,0,0,0,0,764864,765408,0,0,4659,3074
4.324,11.892,83.784,0,0,0,0,889440,889440,0,0,4265,3546
2.247,14.607,83.146,0,0,0,0,764864,764864,0,0,4647,3070
2.778,15,81.667,0.556,0,0,12288,741472,740928,0,0,4514,2981
2.273,13.636,84.091,0,0,0,0,758336,758880,0,0,4617,3073
2.841,13.636,83.523,0,0,0,0,746912,746368,0,0,4531,2992
1.648,17.582,80.769,0,0,0,0,746912,746912,0,0,4563,3017
