"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-aes-gcm-we-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","10 Oct 2019 22:31:55 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.431,34.658,63.636,0.274,0,8713.458,21818.057,0,0,0,0,6106.553,771.696
2.260,12.429,85.311,0,0,0,0,247040,247200,0,0,4434,3353
2.260,14.124,83.616,0,0,0,0,231200,231200,0,0,4397,3139
1.639,12.568,83.060,2.732,0,0,69632,277120,276960,0,0,4159,3719
2.793,12.849,84.358,0,0,0,0,246560,246720,0,0,4273,3320
2.809,14.607,80.899,1.685,0,0,32768,211840,211840,0,0,4406,2902
4.972,14.365,80.663,0,0,0,0,214482,214592,0,0,4464,2958
1.149,14.943,83.908,0,0,0,0,212960,212960,0,0,4398,2901
2.260,15.254,82.486,0,0,0,0,214560,214560,0,0,4449,2939
3.333,16.111,80.556,0,0,0,0,212160,212160,0,0,4400,2891
3.390,14.124,81.921,0.565,0,0,12288,215040,215200,0,0,4474,2954
4.420,14.917,80.663,0,0,0,0,213120,212960,0,0,4434,2917
3.804,16.848,79.348,0,0,0,0,212640,212640,0,0,4425,2902
3.867,16.022,80.110,0,0,0,28672,218560,218720,0,0,4558,3045
2.825,14.124,83.051,0,0,0,0,215520,215520,0,0,4465,2946
2.809,15.169,80.337,1.685,0,0,32768,210720,210720,0,0,4378,2884
2.907,12.209,84.884,0,0,0,0,214240,214080,0,0,4429,2940
1.705,15.341,82.955,0,0,0,0,214400,214560,0,0,4433,2924
3.911,15.084,81.006,0,0,0,4096,210400,210400,0,0,4348,2875
2.299,13.793,83.908,0,0,0,0,214720,214560,0,0,4437,2935
1.754,12.865,83.626,1.754,0,0,12288,207200,207360,0,0,4279,2830
4.023,10.345,85.632,0,0,0,0,236160,236160,0,0,4280,3210
2.907,12.209,84.884,0,0,0,0,212960,212960,0,0,4400,2905
2.809,15.169,82.022,0,0,0,28672,212640,212640,0,0,4422,2913
4.891,16.304,78.804,0,0,0,0,212160,212270,0,0,4420,2917
1.714,14.286,82.286,1.714,0,0,53248,208160,208160,0,0,4305,2846
2.825,15.254,81.921,0,0,0,0,212960,212800,0,0,4425,2933
3.390,14.124,82.486,0,0,0,0,212320,212320,0,0,4379,2871
