"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-aesgcm-e-frag-1500-dstat.csv",,,,"Date:","10 Oct 2019 20:01:26 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.304,28.879,69.515,0.301,0,10164.815,21314.237,0,0,0,0,4902.654,760.815
3.390,14.124,82.486,0,0,0,0,212000,212000,0,0,4407,2912
3.889,15,81.111,0,0,0,0,213600,213440,0,0,4448,2940
2.717,13.043,84.239,0,0,0,0,259200,259360,0,0,4138,3500
2.339,12.281,85.380,0,0,0,0,215040,215040,0,0,4448,2945
3.743,18.182,76.471,1.604,0,0,32768,209842,209682,0,0,4408,2915
2.793,15.642,81.564,0,0,0,0,215040,215150,0,0,4468,2960
5.525,13.812,80.663,0,0,0,0,215520,215680,0,0,4478,2965
3.825,14.754,81.421,0,0,0,4096,229120,229120,0,0,4240,3120
3.804,16.304,79.891,0,0,0,0,214560,214560,0,0,4460,2938
3.889,13.889,80.556,1.667,0,0,12288,216800,216640,0,0,4242,2967
3.333,9.444,87.222,0,0,0,0,267520,267680,0,0,4064,3592
2.778,16.111,81.111,0,0,0,0,215520,215520,0,0,4484,2970
3.911,14.525,81.564,0,0,0,0,213280,213280,0,0,4436,2939
4.372,15.847,79.781,0,0,0,0,214240,214080,0,0,4458,2936
5.587,12.291,80.447,1.676,0,0,12288,210240,210240,0,0,4381,2894
3.977,12.500,83.523,0,0,0,0,221920,222080,0,0,4615,3054
2.747,17.033,80.220,0,0,0,0,215520,215360,0,0,4488,2953
3.390,14.689,75.706,6.215,0,0,139264,216800,216960,0,0,4533,3001
2.825,14.689,82.486,0,0,0,0,217440,217440,0,0,4521,2988
4.972,13.812,79.006,2.210,0,0,53248,211200,211200,0,0,4407,2897
4.945,14.835,80.220,0,0,0,0,223360,223360,0,0,4633,3054
4,12,84,0,0,0,0,223520,223360,0,0,4614,3060
3.911,13.408,82.682,0,0,0,0,236960,237120,0,0,4710,3242
3.846,10.440,85.714,0,0,0,12288,274080,273920,0,0,4341,3676
2.778,14.444,80.556,2.222,0,0,24576,232320,232480,0,0,4798,3183
4.396,14.835,80.769,0,0,0,0,238560,238510,0,0,4928,3276
1.705,14.205,84.091,0,0,0,0,242880,243040,0,0,4981,3300
2.326,11.628,86.047,0,0,0,0,245920,245920,0,0,5030,3343
1.705,14.773,83.523,0,0,0,8192,246880,246880,0,0,5066,3372
3.390,12.994,81.921,1.695,0,0,20480,242720,242720,0,0,4996,3322
