"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-aesgcm-e-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","10 Oct 2019 22:10:16 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.419,34.093,64.213,0.276,0,7035.790,21770.307,0,0,0,0,5835.716,771.310
2.793,11.732,85.475,0,0,0,0,257600,257600,0,0,4312,3503
3.390,14.124,82.486,0,0,0,0,214560,214560,0,0,4442,2935
2.688,19.355,77.957,0,0,0,0,215840,216000,0,0,4499,2960
3.297,16.484,80.220,0,0,0,0,214080,214080,0,0,4451,2928
4.278,17.647,77.005,1.070,0,0,36864,215442,215392,0,0,4502,2972
2.809,15.169,82.022,0,0,0,0,216320,216320,0,0,4486,2969
2.286,14.857,82.857,0,0,0,0,214080,214240,0,0,4437,2919
3.315,16.575,80.110,0,0,0,4096,211200,211200,0,0,4398,2893
6.316,17.368,76.316,0,0,0,0,212480,212320,0,0,4441,2914
3.846,9.341,85.714,1.099,0,0,12288,256480,256640,0,0,3853,3459
3.743,18.717,77.540,0,0,0,0,214240,214240,0,0,4481,2954
3.825,16.393,79.781,0,0,0,0,217120,216960,0,0,4506,2970
2.793,16.201,81.006,0,0,0,0,212000,212160,0,0,4407,2896
3.371,15.169,81.461,0,0,0,0,215200,215040,0,0,4471,2966
2.732,17.486,79.235,0.546,0,0,12288,215840,215840,0,0,4490,2952
3.315,13.260,83.425,0,0,0,0,234560,234720,0,0,4180,3186
2.747,17.033,80.220,0,0,0,0,216640,216640,0,0,4502,2956
1.111,18.333,75,5.556,0,0,143360,214560,214400,0,0,4488,2947
3.333,9.444,87.222,0,0,0,0,256160,256160,0,0,3951,3442
3.297,15.934,78.571,2.198,0,0,53248,210720,210880,0,0,4398,2900
4.233,18.519,77.249,0,0,0,0,213440,213280,0,0,4442,2919
3.889,15.556,80.556,0,0,0,0,212640,212640,0,0,4416,2914
3.333,13.889,82.778,0,0,0,12288,227200,227310,0,0,4308,3098
2.747,17.582,79.670,0,0,0,0,213440,213440,0,0,4425,2927
2.326,12.791,83.721,1.163,0,0,24576,210560,210560,0,0,4335,2872
2.732,18.033,79.235,0,0,0,0,214400,214560,0,0,4399,2972
3.175,20.106,76.720,0,0,0,0,212160,212160,0,0,4415,2890
2.162,18.919,78.919,0,0,0,8192,212640,212480,0,0,4422,2902
4.348,16.848,78.804,0,0,0,0,214720,214880,0,0,4467,2942
3.763,17.204,77.419,1.613,0,0,20480,212722,212562,0,0,4428,2917
2.857,14.286,82.857,0,0,0,0,212800,212800,0,0,4432,2931
5.319,17.553,77.128,0,0,0,0,210560,210560,0,0,4405,2886
4.348,16.304,79.348,0,0,0,0,212480,212640,0,0,4414,2883
4.324,17.297,78.378,0,0,0,2805760,214400,214240,0,0,4483,2976
1.685,16.854,80.337,1.124,0,0,28672,211360,211360,0,0,4395,2899
3.933,14.045,82.022,0,0,0,0,213120,213280,0,0,4418,2922
3.763,17.204,79.032,0,0,0,0,300832,300672,0,0,4220,3016
3.279,17.486,79.235,0,0,0,0,364608,364896,0,0,4214,2745
3.846,16.484,79.670,0,0,0,0,361728,361728,0,0,4183,2740
4.348,16.848,77.717,1.087,0,0,16384,358272,358272,0,0,4160,2728
4.396,15.385,80.220,0,0,0,0,369504,369504,0,0,4253,2771
4.678,10.526,84.795,0,0,0,0,362016,361728,0,0,4152,2734
3.371,15.169,81.461,0,0,0,0,368928,368928,0,0,4237,2750
5.495,14.835,79.670,0,0,0,0,355104,355392,0,0,4134,2702
2.809,15.730,80.899,0.562,0,0,12288,362304,362016,0,0,4162,2714
4.891,16.848,78.261,0,0,0,0,355392,355392,0,0,4107,2713
1.136,16.477,82.386,0,0,0,0,359712,359712,0,0,4115,2674
1.170,14.035,84.795,0,0,0,0,363456,363744,0,0,4156,2714
2.247,16.854,80.899,0,0,0,0,353088,353088,0,0,4081,2681
2.857,14.286,82.286,0.571,0,0,12288,360946,360658,0,0,4122,2704
3.315,16.575,80.110,0,0,0,0,359424,359424,0,0,4148,2722
5,13.889,81.111,0,0,0,0,370368,370656,0,0,4252,2781
3.429,13.714,82.857,0,0,0,0,362592,362592,0,0,4155,2704
3.315,14.917,81.768,0,0,0,61440,391680,391680,0,0,4067,2955
3.825,16.940,78.142,1.093,0,0,12288,352224,351936,0,0,4083,2657
5.143,12.571,82.286,0,0,0,0,351648,351758,0,0,4078,2680
2.732,18.033,79.235,0,0,0,0,360864,361152,0,0,4160,2687
4,13.143,82.857,0,0,0,0,357120,356832,0,0,4097,2670
4.571,12.571,82.857,0,0,0,0,361234,361522,0,0,4157,2706
4.520,13.559,80.791,1.130,0,0,12288,356256,355968,0,0,4098,2678
3.911,14.525,81.564,0,0,0,0,362016,362304,0,0,4171,2709
2.732,18.579,78.689,0,0,0,0,357408,357120,0,0,4127,2672
3.315,16.575,80.110,0,0,0,0,361440,361440,0,0,4169,2716
4.324,17.297,78.378,0,0,0,2441216,355680,355680,0,0,4152,2714
3.825,16.940,77.596,1.639,0,0,20480,355104,355392,0,0,4106,2674
4.372,16.393,79.235,0,0,0,0,359712,359712,0,0,4146,2723
2.793,16.760,80.447,0,0,0,0,351360,351360,0,0,4059,2625
3.889,15.556,80.556,0,0,0,0,350784,350496,0,0,4058,2636
4.444,16.111,79.444,0,0,0,12288,349920,350208,0,0,4075,2654
4.839,16.667,76.882,1.613,0,0,20480,353664,353376,0,0,4079,2659
3.448,12.644,83.908,0,0,0,0,370944,370944,0,0,4045,2810
2.793,10.615,86.592,0,0,0,0,442944,442944,0,0,3921,3325
2.732,17.486,79.781,0,0,0,0,363168,363168,0,0,4166,2722
2.825,15.819,81.356,0,0,0,0,354240,354240,0,0,4073,2668
5,14.444,80,0.556,0,0,12288,349920,350208,0,0,4023,2634
4.372,16.940,78.689,0,0,0,0,353376,353376,0,0,4090,2687
3.371,16.854,79.775,0,0,0,0,547872,548128,0,0,4001,2621
2.762,17.680,79.558,0,0,0,0,687072,686528,0,0,4185,2707
3.390,15.819,80.791,0,0,0,0,676736,676736,0,0,4147,2695
2.924,14.620,81.871,0.585,0,0,16384,845376,845920,0,0,5116,3395
4.444,16.111,79.444,0,0,0,0,679456,679456,0,0,4177,2726
2.222,16.111,81.667,0,0,0,0,706112,706112,0,0,3886,2837
4.545,14.773,80.682,0,0,0,0,775744,775744,0,0,4703,3083
4.469,16.201,79.330,0,0,0,0,759424,759424,0,0,4635,3052
1.136,17.045,80.114,1.705,0,0,12288,644640,644096,0,0,3954,2584
3.352,17.318,79.330,0,0,0,0,663136,663680,0,0,4088,2660
1.724,15.517,82.759,0,0,0,0,682720,682720,0,0,4158,2703
5.028,15.084,79.888,0,0,0,0,657778,657234,0,0,4019,2609
3.297,18.132,78.571,0,0,0,0,675104,675104,0,0,4144,2681
3.867,17.127,78.453,0.552,0,0,12288,652256,652256,0,0,4004,2606
3.933,15.169,80.899,0,0,0,0,685440,685984,0,0,4199,2754
4.372,17.486,78.142,0,0,0,0,662048,662048,0,0,4066,2648
5.028,14.525,80.447,0,0,0,0,683264,683264,0,0,4157,2700
4.520,14.689,80.791,0,0,0,0,663680,663136,0,0,4040,2634
3.889,16.111,78.333,1.667,0,0,2465792,676818,677362,0,0,4132,2689
4,14.286,81.714,0,0,0,0,666400,666400,0,0,4054,2649
3.409,14.773,81.818,0,0,0,0,673472,672928,0,0,4097,2673
4.545,14.773,80.682,0,0,0,0,650080,650080,0,0,3967,2583
2.286,16.571,81.143,0,0,0,0,646272,646816,0,0,3955,2598
6.077,14.365,78.453,1.105,0,0,36864,666944,666400,0,0,4081,2659
3.804,18.478,77.717,0,0,0,0,658784,659328,0,0,4063,2643
3.315,17.680,79.006,0,0,0,0,665856,665312,0,0,4080,2644
3.297,18.132,78.571,0,0,0,0,656608,656608,0,0,4028,2616
