"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-aesgcm-we-frag-1500-dstat.csv",,,,"Date:","10 Oct 2019 20:23:01 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.333,30.057,68.312,0.298,0,9442.843,21364.102,0,0,0,0,5277.855,763.288
3.371,13.483,83.146,0,0,0,0,224960,225120,0,0,4651,3106
2.688,17.204,80.108,0,0,0,0,225120,225120,0,0,4675,3099
1.714,13.714,84.571,0,0,0,0,224800,224640,0,0,4628,3065
4.444,12.222,81.667,1.667,0,0,32768,221280,221280,0,0,4576,3041
3.804,15.761,80.435,0,0,0,0,228960,228960,0,0,4675,3140
1.117,15.084,83.799,0,0,0,0,234162,234272,0,0,4839,3207
2.222,14.444,83.333,0,0,0,0,240800,240960,0,0,4756,3283
2.260,9.605,88.136,0,0,0,0,289920,289760,0,0,4327,3860
3.279,14.754,80.874,1.093,0,0,73728,240480,240640,0,0,4955,3283
2.235,14.525,83.240,0,0,0,12288,245600,245440,0,0,5029,3333
2.890,10.983,86.127,0,0,0,0,244640,244640,0,0,4983,3306
2.857,12.571,84.571,0,0,0,0,248320,248320,0,0,5076,3374
2.299,13.218,84.483,0,0,0,0,251040,251040,0,0,5128,3391
2.762,15.470,80.110,1.657,0,0,12288,249600,249600,0,0,5128,3405
2.857,13.714,83.429,0,0,0,28672,257600,257600,0,0,5272,3527
2.286,14.286,83.429,0,0,0,0,257760,257760,0,0,5257,3493
2.809,14.045,83.146,0,0,0,0,272320,272320,0,0,5134,3699
2.762,12.707,84.530,0,0,0,0,315360,315520,0,0,4724,4194
1.183,11.834,85.207,1.775,0,0,32768,252640,252640,0,0,5147,3428
3.409,13.636,82.955,0,0,0,1892352,257440,257280,0,0,5286,3520
2.841,11.932,85.227,0,0,0,0,296640,296640,0,0,4934,3969
1.149,14.943,83.908,0,0,0,0,259680,259840,0,0,5315,3532
1.705,15.341,82.955,0,0,0,0,258720,258830,0,0,5303,3526
2.809,14.045,81.461,1.685,0,0,45056,254560,254400,0,0,5221,3491
1.714,14.857,83.429,0,0,0,0,258560,258560,0,0,5289,3524
3.261,14.130,82.609,0,0,0,0,326560,326560,0,0,4707,4331
4.598,12.069,83.333,0,0,0,0,284480,284480,0,0,5766,3832
1.734,13.873,84.393,0,0,0,0,256640,256640,0,0,5247,3484
2.247,14.607,81.461,1.685,0,0,12288,259200,259200,0,0,5135,3534
3.371,14.045,82.584,0,0,0,0,255922,255922,0,0,5242,3484
1.176,12.353,86.471,0,0,0,0,253600,253600,0,0,5169,3426
4.494,14.045,81.461,0,0,0,0,365664,365952,0,0,4511,3026
3.297,15.934,80.769,0,0,0,0,391392,391104,0,0,4505,2982
2.890,12.717,82.659,1.734,0,0,16384,377568,377856,0,0,4339,2877
5.495,13.736,80.769,0,0,0,1527808,394848,394560,0,0,4569,3072
1.685,16.292,82.022,0,0,0,0,393984,393984,0,0,4547,3015
3.867,14.917,81.215,0,0,0,0,392256,392256,0,0,4524,3010
3.409,13.636,82.955,0,0,0,0,394560,394560,0,0,4534,2989
3.763,16.129,78.495,1.613,0,0,20480,404928,404928,0,0,4676,3080
