"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","11 Oct 2019 01:20:36 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.485,37.698,60.563,0.255,0,6425.021,22111.202,0,0,0.341,13.849,5732.574,782.713
2.273,8.523,88.636,0.568,0,0,36864,304480,304480,0,0,4252,4044
3.279,11.475,85.246,0,0,0,0,299040,299040,0,0,4518,3994
3.333,13.333,76.111,7.222,0,0,380928,270240,270350,0,0,5046,3674
1.705,14.205,84.091,0,0,0,0,260160,260320,0,0,5307,3523
2.299,13.218,84.483,0,0,0,0,263040,262880,0,0,5368,3580
1.676,16.201,79.888,2.235,0,0,53248,268242,268242,0,0,5476,3618
2.732,17.486,79.781,0,0,0,0,272000,272160,0,0,5540,3674
2.222,17.222,80.556,0,0,0,0,272640,272640,0,0,5554,3689
2.747,17.033,80.220,0,0,0,0,272800,272640,0,0,5543,3662
3.279,16.940,79.781,0,0,0,0,272800,272800,0,0,5565,3679
3.371,15.169,80.899,0.562,0,0,12288,271840,272000,0,0,5528,3668
3.297,16.484,80.220,0,0,0,0,272000,272000,0,0,5537,3697
2.222,17.222,80.556,0,0,0,0,271520,271360,0,0,5540,3688
2.198,17.582,80.220,0,0,0,0,272160,272160,0,0,5548,3662
2.762,17.127,80.110,0,0,0,0,272320,272320,0,0,5565,3681
1.648,18.132,79.670,0.549,0,0,12288,270400,270560,0,0,5530,3654
1.676,16.201,82.123,0,0,0,0,286080,286080,0,0,5330,3835
5.028,12.291,82.682,0,0,0,0,289440,289550,0,0,5278,3903
2.247,12.360,85.393,0,0,0,0,344480,344320,0,0,4817,4541
2.247,15.730,82.022,0,0,0,0,289600,289760,0,0,5580,3900
4.396,15.385,79.670,0.549,0,0,12288,269600,269440,0,0,5505,3651
2.747,15.934,81.319,0,0,0,0,301440,301600,0,0,5251,4069
1.754,12.865,85.380,0,0,0,0,284480,284480,0,0,5753,3821
2.793,15.642,81.564,0,0,0,0,273440,273280,0,0,5558,3676
4.972,14.365,80.663,0,0,0,0,272480,272480,0,0,5562,3700
2.116,20.635,76.190,1.058,0,0,12288,272320,272320,0,0,5580,3683
3.889,15.556,80.556,0,0,0,0,273280,273280,0,0,5561,3673
3.867,16.022,80.110,0,0,0,0,274720,274880,0,0,5621,3744
3.333,15.556,81.111,0,0,0,0,327520,327360,0,0,5156,3470
3.784,12.973,83.243,0,0,0,0,471744,472032,0,0,4464,3552
3.933,11.798,83.708,0.562,0,0,16384,430272,429984,0,0,4903,3256
3.448,10.920,85.632,0,0,0,0,436032,436320,0,0,4962,3325
2.793,13.408,83.799,0,0,0,0,419328,419040,0,0,4793,3185
2.809,10.112,87.079,0,0,0,3252224,487872,488160,0,0,4371,3642
1.685,14.045,84.270,0,0,0,0,426528,426528,0,0,4838,3240
2.717,11.957,84.239,1.087,0,0,20480,496512,496512,0,0,4272,3709
0.575,13.793,85.632,0,0,0,0,441504,441216,0,0,5015,3329
2.793,14.525,82.682,0,0,0,0,455122,455122,0,0,5177,3429
2.762,12.707,84.530,0,0,0,40960,510048,510048,0,0,4626,3819
2.286,13.143,84.571,0,0,0,0,461088,461376,0,0,5246,3472
2.857,12,82.857,2.286,0,0,12288,453312,453312,0,0,5148,3422
2.907,11.047,86.047,0,0,0,0,458208,458208,0,0,5181,3452
1.685,15.730,82.584,0,0,0,0,458784,458496,0,0,5212,3452
2.299,12.069,85.632,0,0,0,0,465696,465696,0,0,5098,3491
3.468,10.983,85.549,0,0,0,0,460800,460800,0,0,5220,3476
2.174,11.957,85.326,0.543,0,0,12288,524448,524736,0,0,4084,3875
3.315,12.155,84.530,0,0,0,0,490464,490574,0,0,4641,3671
2.151,13.441,84.409,0,0,0,0,514080,514080,0,0,4332,3819
3.371,13.483,83.146,0,0,0,0,448992,448992,0,0,5113,3390
2.890,11.561,85.549,0,0,0,0,449650,449650,0,0,5112,3389
3.352,13.408,82.682,0.559,0,0,12288,454752,454464,0,0,5121,3428
3.297,15.385,81.319,0,0,0,0,453024,453024,0,0,5173,3443
1.695,14.689,83.616,0,0,0,0,451872,451872,0,0,5162,3431
1.130,14.689,84.181,0,0,0,0,455616,455616,0,0,5083,3422
1.176,11.176,87.647,0,0,0,0,453888,454176,0,0,5142,3417
2.793,13.966,82.123,1.117,0,0,12288,449280,449280,0,0,5109,3405
2.825,13.559,83.616,0,0,0,0,445536,445248,0,0,5054,3355
2.273,13.636,84.091,0,0,0,0,449280,449568,0,0,5105,3387
1.705,13.636,84.659,0,0,0,4096,447552,447264,0,0,5079,3363
3.911,13.408,82.682,0,0,0,0,466976,467520,0,0,4925,3365
1.130,10.169,87.006,1.695,0,0,16384,854080,854080,0,0,3898,3383
3.911,13.966,82.123,0,0,0,0,742016,742016,0,0,4546,3026
3.846,15.934,80.220,0,0,0,0,735488,735488,0,0,4507,2976
2.793,14.525,82.682,0,0,0,3059712,746368,745824,0,0,4358,3006
3.509,10.526,85.965,0,0,0,0,740928,741472,0,0,4524,2990
5.464,14.754,78.689,1.093,0,0,20480,718080,718080,0,0,4412,2934
4.396,14.835,80.769,0,0,0,0,726784,726784,0,0,4448,2926
2.732,17.486,79.781,0,0,0,0,729586,729586,0,0,4482,2957
3.315,15.470,81.215,0,0,0,0,732224,732224,0,0,4477,2947
3.315,16.022,80.663,0,0,0,8192,729504,729504,0,0,4471,2950
4.348,15.761,78.261,1.630,0,0,20480,713728,713184,0,0,4385,2895
3.763,17.742,78.495,0,0,0,0,725152,725152,0,0,4456,2952
2.762,16.575,80.663,0,0,0,0,721888,721888,0,0,4427,2915
3.279,16.940,79.781,0,0,0,0,719712,719712,0,0,4413,2899
