"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-no-macsec-1464-1464-dstat.csv",,,,"Date:","10 Oct 2019 16:11:34 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.316,1.980,97.152,0.553,0,43933.485,10897.410,0,0,0,0,789.578,283.824
2.210,12.155,85.635,0,0,0,32768,294376,294252,0,0,5209,5001
3.784,11.892,84.324,0,0,0,0,294252,294376,0,0,5220,5006
1.685,12.360,85.955,0,0,0,0,289416,289292,0,0,5652,4913
3.333,12.222,84.444,0,0,0,0,288672,288672,0,0,5820,4915
3.261,11.957,84.783,0,0,0,0,292144,292268,0,0,5174,4968
3.261,11.413,83.696,1.630,0,0,12288,288548,288548,0,0,5120,4920
2.273,10.795,86.932,0,0,0,0,288920,288920,0,0,5696,4930
4.348,10.870,84.783,0,0,0,0,292888,292888,0,0,5172,4959
2.747,10.989,86.264,0,0,0,0,292392,292392,0,0,5159,4940
2.793,10.056,87.151,0,0,0,0,293012,292888,0,0,5193,4982
2.222,11.111,85,1.667,0,0,12288,287556,287680,0,0,5085,4880
3.889,10.556,85.556,0,0,0,0,289604,289480,0,0,5553,4923
2.717,11.957,85.326,0,0,0,0,291524,291648,0,0,5155,4938
2.210,11.602,86.188,0,0,0,0,291276,291152,0,0,5161,4934
3.315,10.497,82.320,3.867,0,0,69632,291028,291152,0,0,5180,4966
2.222,10.556,85.556,1.667,0,0,24576,287804,287680,0,0,5096,4877
3.825,13.661,82.514,0,0,0,0,279992,280116,0,0,6014,4775
3.297,13.736,82.967,0,0,0,0,279992,279868,0,0,6006,4753
3.261,11.413,85.326,0,0,0,0,290904,290904,0,0,5133,4929
3.846,12.088,84.066,0,0,0,0,282720,282844,0,0,5655,4828
3.352,9.497,85.475,1.676,0,0,12288,287060,286936,0,0,5076,4874
3.333,13.333,83.333,0,0,0,0,441636,441888,0,0,5810,4633
3.297,10.989,85.714,0,0,0,0,592452,592452,0,0,5155,4954
3.409,10.227,86.364,0,0,0,0,558432,558432,0,0,5665,4680
2.841,11.932,85.227,0,0,0,4096,555724,555472,0,0,5856,4688
2.247,12.921,82.584,2.247,0,0,24576,529200,529452,0,0,6074,4462
5.172,11.494,83.333,0,0,0,0,514080,513828,0,0,6539,4340
2.312,13.295,84.393,0,0,0,0,508032,508284,0,0,6443,4270
2.907,11.047,86.047,0,0,0,0,535248,535248,0,0,6315,4479
3.315,16.022,80.663,0,0,0,12288,514080,513828,0,0,6572,4339
4.444,14.444,80,1.111,0,0,20480,499212,499464,0,0,6371,4227
3.390,11.864,84.746,0,0,0,0,547344,547092,0,0,5824,4607
5.202,10.405,84.393,0,0,0,0,507276,507276,0,0,6459,4266
2.976,10.714,86.310,0,0,0,0,511812,512064,0,0,6511,4323
4.865,16.216,78.919,0,0,0,4927488,503496,503244,0,0,6434,4271
2.874,12.644,82.184,2.299,0,0,28672,495684,495936,0,0,6319,4197
3.106,6.832,90.062,0,0,0,0,504000,504000,0,0,6377,4251
2.841,14.205,82.955,0,0,0,0,508536,508284,0,0,6479,4270
3.550,10.651,85.799,0,0,0,0,502236,502488,0,0,6382,4215
1.796,9.581,88.623,0,0,0,0,520632,520380,0,0,6282,4378
4.494,14.045,80.337,1.124,0,0,12288,496692,496692,0,0,6332,4195
4.023,12.069,83.908,0,0,0,0,506016,506016,0,0,6455,4279
2.410,9.639,87.952,0,0,0,0,501480,501732,0,0,6352,4217
3.571,8.929,87.500,0,0,0,0,514080,513828,0,0,6198,4344
3.049,7.927,89.024,0,0,0,0,501228,501480,0,0,6359,4229
4,11.429,82.286,2.286,0,0,12288,700940,700688,0,0,5898,4389
3.825,12.568,83.607,0,0,0,0,1139444,1139952,0,0,5432,4754
3.784,13.514,82.703,0,0,0,0,1150112,1149604,0,0,5355,4767
3.333,10.556,86.111,0,0,0,0,1192276,1192276,0,0,5135,4932
4.348,11.413,84.239,0,0,0,0,1190752,1190752,0,0,5159,4933
3.333,12.778,82.222,1.667,0,0,40960,1073468,1073468,0,0,5613,4483
3.315,12.707,83.978,0,0,0,0,1117092,1117600,0,0,5467,4643
3.889,14.444,81.667,0,0,0,0,985520,985012,0,0,6249,4108
4,10.286,85.714,0,0,0,0,1061212,1061212,0,0,5802,4429
2.326,12.791,84.884,0,0,0,0,979424,979424,0,0,6198,4084
3.488,11.628,83.721,1.163,0,0,12288,961644,961644,0,0,6079,4013
4.571,12,83.429,0,0,0,0,977392,977900,0,0,6180,4085
2.247,15.169,82.584,0,0,0,0,979424,979424,0,0,6191,4072
2.299,13.793,83.908,0,0,0,0,978408,978408,0,0,6193,4085
3.955,13.559,82.486,0,0,0,0,977392,976884,0,0,6192,4098
3.955,12.429,81.921,1.695,0,0,12288,968248,968756,0,0,6141,4064
2.762,16.022,81.215,0,0,0,0,982980,982472,0,0,6238,4123
3.333,15.556,81.111,0,0,0,0,973836,973836,0,0,6189,4077
3.352,14.525,82.123,0,0,0,0,974344,974344,0,0,6189,4101
6.180,11.798,82.022,0,0,0,0,971296,971804,0,0,6164,4081
2.778,15,80.556,1.667,0,0,4009984,963676,963676,0,0,6131,4072
3.846,12.637,83.516,0,0,0,0,1095756,1095248,0,0,5546,4559
3.488,8.721,87.791,0,0,0,0,1078484,1078992,0,0,5664,4484
3.390,13.559,83.051,0,0,0,0,975868,975360,0,0,6193,4103
2.959,10.059,86.982,0,0,0,0,979932,980440,0,0,6194,4104
4.094,9.357,84.795,1.754,0,0,16384,1615504,1616016,0,0,6082,4086
4.706,8.824,86.471,0,0,0,0,2016540,2015520,0,0,6307,4198
1.227,7.975,90.798,0,0,0,0,2012460,2012460,0,0,6279,4178
1.875,5.625,92.500,0,0,0,0,2018580,2018580,0,0,6297,4203
3.012,7.831,89.157,0,0,0,0,2016540,2016540,0,0,6313,4212
2.994,8.982,86.826,1.198,0,0,12288,1984984,1984984,0,0,6221,4144
3.550,8.876,87.574,0,0,0,0,2005320,2006340,0,0,6285,4196
4.494,12.921,82.584,0,0,0,0,1994100,1993080,0,0,6290,4170
4.118,9.412,86.471,0,0,0,0,1990020,1990020,0,0,6262,4170
2.924,10.526,86.550,0,0,0,0,1995184,1995184,0,0,6266,4174
5.056,11.798,81.461,1.685,0,0,36864,1961460,1962480,0,0,6206,4116
4.094,9.942,85.965,0,0,0,0,1985940,1984920,0,0,6252,4174
4.118,8.824,87.059,0,0,0,0,1996140,1997160,0,0,6276,4186
5.556,12.778,81.667,0,0,0,0,1996140,1995120,0,0,6308,4183
3.593,8.383,88.024,0,0,0,0,1989000,1990020,0,0,6257,4167
5.114,10.795,82.955,1.136,0,0,12288,1967580,1967580,0,0,6212,4133
3.390,11.299,85.311,0,0,0,0,2019600,2018580,0,0,5818,4241
3.012,8.434,88.554,0,0,0,0,1983900,1983900,0,0,6223,4143
3.529,10,86.471,0,0,0,0,1994100,1994100,0,0,6264,4153
4.494,12.360,83.146,0,0,0,0,1984920,1984920,0,0,6269,4162
4.046,9.827,84.393,1.734,0,0,12288,1953300,1954320,0,0,6163,4106
4.706,8.824,86.471,0,0,0,0,1992060,1991040,0,0,6269,4168
4.023,10.920,85.057,0,0,0,0,1981860,1982880,0,0,6239,4138
1.852,7.407,90.741,0,0,0,0,1989000,1987980,0,0,6232,4158
2.857,11.429,85.714,0,0,0,0,1992060,1992060,0,0,5932,4163
3.977,11.364,82.955,1.705,0,0,12288,1949984,1951380,0,0,5816,4097
4.469,9.497,86.034,0,0,0,3854336,2723596,2722200,0,0,5196,4148
2.809,7.303,89.888,0,0,0,0,2790604,2790604,0,0,4396,4206
1.734,6.358,91.908,0,0,0,0,2790604,2792000,0,0,4382,4211
4.233,12.169,83.598,0,0,0,0,2751516,2751516,0,0,4669,4219
4.420,9.945,84.530,1.105,0,0,32768,2688696,2687300,0,0,5192,4082
5.376,10.215,84.409,0,0,0,0,2765476,2765476,0,0,4894,4203
3.804,12.500,83.696,0,0,0,0,2704052,2704052,0,0,5221,4108
2.793,13.408,83.799,0,0,0,0,2623084,2623084,0,0,5816,4009
3.955,10.734,85.311,0,0,0,0,2648212,2648212,0,0,5546,4022
5.759,12.565,80.628,1.047,0,0,12288,2680320,2680320,0,0,5005,4087
4.663,15.544,79.793,0,0,0,0,2687300,2688696,0,0,5232,4120
3.409,11.932,84.659,0,0,0,0,2590976,2589580,0,0,5914,3947
3.955,10.169,85.876,0,0,0,0,2669216,2669216,0,0,5602,4046
4.762,11.111,84.127,0,0,0,0,2771060,2772456,0,0,4599,4198
3.297,10.989,84.615,1.099,0,0,12288,2699864,2698468,0,0,4768,4131
4.145,13.472,82.383,0,0,0,0,2789208,2789208,0,0,4466,4234
2.717,10.326,86.957,0,0,0,0,2786416,2787812,0,0,4428,4202
3.763,10.753,85.484,0,0,0,0,2787812,2786416,0,0,4465,4233
7.216,10.825,81.959,0,0,0,0,2786416,2787812,0,0,4463,4221
5.319,10.106,82.979,1.596,0,0,12288,2729180,2729180,0,0,4495,4201
3.933,7.865,88.202,0,0,0,0,2748724,2747328,0,0,4866,4186
7.143,11.735,81.122,0,0,0,0,2786416,2787812,0,0,4470,4233
2.326,5.233,92.442,0,0,0,0,2787812,2786416,0,0,4380,4200
4.324,10.811,84.865,0,0,0,0,2729180,2729180,0,0,4911,4179
3.846,8.791,86.264,1.099,0,0,12288,2758496,2759892,0,0,4386,4197
4.046,8.092,87.861,0,0,0,0,2669078,2667682,0,0,5131,4016
3.333,12.222,84.444,0,0,0,0,2814318,2815800,0,0,5516,4034
4.301,12.903,82.796,0,0,0,0,2820246,2820246,0,0,5125,4053
5.682,7.955,86.364,0,0,0,0,2749110,2747628,0,0,5495,3961
4.420,7.182,86.188,2.210,0,0,16384,2913612,2913612,0,0,4366,4167
6.122,14.796,79.082,0,0,0,3883008,2836548,2838030,0,0,5080,4086
2.326,8.140,89.535,0,0,0,0,2833648,2833648,0,0,5107,4053
3.448,7.471,89.080,0,0,0,0,2840994,2839512,0,0,5112,4045
1.765,8.824,89.412,0,0,0,0,2760966,2760966,0,0,5321,3965
1.818,1.818,95.152,1.212,0,0,28672,2906202,2907684,0,0,4303,4144
2.247,11.236,86.517,0,0,0,24576,2818764,2817282,0,0,5299,4038
4.046,6.936,89.017,0,0,0,4096,2821728,2823210,0,0,5080,4028
2.857,9.714,87.429,0,0,0,0,2768376,2766894,0,0,5343,3967
4.520,8.475,87.006,0,0,0,0,2820246,2821728,0,0,5124,4061
4.469,11.732,82.123,1.676,0,0,12288,2599428,2599428,0,0,5703,3786
3.352,10.056,86.592,0,0,0,0,2778814,2778814,0,0,5097,3996
6.044,12.088,81.868,0,0,0,0,2636478,2636478,0,0,5772,3810
4.918,13.661,81.421,0,0,0,0,2623140,2621658,0,0,5747,3798
5.650,8.475,85.876,0,0,0,0,2735772,2735772,0,0,5437,3942
4.324,14.595,79.459,1.622,0,0,12288,2586090,2587572,0,0,5688,3750
3.279,14.208,82.514,0,0,0,0,2676492,2676492,0,0,5561,3866
4.545,9.659,85.795,0,0,0,0,2639442,2639442,0,0,5769,3815
3.933,12.360,83.708,0,0,0,0,2593500,2592018,0,0,5688,3772
2.857,10.286,86.857,0,0,0,0,2658708,2658708,0,0,5478,3849
3.955,11.299,83.616,1.130,0,0,12288,2554968,2556450,0,0,5593,3716
3.911,12.291,83.799,0,0,0,0,2583126,2583126,0,0,5642,3759
4.469,11.732,83.799,0,0,0,0,2571270,2569788,0,0,5624,3731
