"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final/ping-1570716684-orig-jumbo-9000-dstat.csv",,,,"Date:","10 Oct 2019 17:52:16 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.050,15.210,83.381,0.360,0,18588.917,19783.012,0,0,0,0,3849.180,734.004
2.210,13.260,84.530,0,0,0,0,237900,237744,0,0,4030,3271
3.333,15,81.667,0,0,0,0,216684,216684,0,0,4442,3049
5,13.889,81.111,0,0,0,0,207948,207948,0,0,4428,2899
2.747,17.582,79.670,0,0,0,0,208260,208522,0,0,4449,2913
4.348,15.761,70.652,9.239,0,0,192512,213954,213798,0,0,4473,3047
3.825,16.940,79.235,0,0,0,0,208260,208260,0,0,4433,2918
2.793,16.201,81.006,0,0,0,0,207324,207480,0,0,4406,2899
3.333,15.556,81.111,0,0,0,0,208884,208728,0,0,4442,2915
2.210,17.680,80.110,0,0,0,0,208416,208416,0,0,4439,2927
3.743,18.717,77.005,0.535,0,0,888832,205608,205608,0,0,4419,2916
1.667,17.778,80.556,0,0,0,0,210444,210600,0,0,4469,2943
4.301,17.204,78.495,0,0,0,0,209352,209196,0,0,4452,2939
1.163,14.535,84.302,0,0,0,0,207168,207168,0,0,4383,2894
2.793,16.201,81.006,0,0,0,0,207168,207168,0,0,4404,2901
3.784,15.676,79.459,1.081,0,0,57344,216528,216684,0,0,4313,3055
3.333,16.111,80.556,0,0,0,0,207168,207012,0,0,4384,2890
1.604,20.856,77.540,0,0,0,0,207324,207324,0,0,4436,2931
3.175,20.106,76.720,0,0,0,0,206388,206388,0,0,4409,2873
3.846,16.484,79.670,0,0,0,0,207324,207586,0,0,4424,2910
2.299,13.793,83.333,0.575,0,0,12288,208728,208728,0,0,4435,2952
3.867,16.022,80.110,0,0,0,0,209040,209040,0,0,4435,2915
3.429,13.714,82.857,0,0,0,0,207168,207012,0,0,4398,2924
3.763,17.742,78.495,0,0,0,0,207948,208104,0,0,4439,2893
2.778,16.667,80.556,0,0,0,0,209040,208884,0,0,4443,2910
2.299,13.793,82.759,1.149,0,0,12288,209196,209196,0,0,4468,2999
4.918,15.301,79.781,0,0,0,0,209508,209664,0,0,4454,2935
3.371,15.169,81.461,0,0,0,0,208260,208104,0,0,4415,2909
4.469,13.966,81.564,0,0,0,0,209508,209664,0,0,4452,2934
3.784,17.838,78.378,0,0,0,0,207324,207168,0,0,4420,2898
3.333,15,80,1.667,0,0,12288,206232,206232,0,0,4422,2952
3.297,16.484,80.220,0,0,0,0,211224,211380,0,0,4493,2949
2.260,15.819,81.921,0,0,0,0,207168,207012,0,0,4413,2918
5.056,13.483,81.461,0,0,0,0,208260,208416,0,0,4439,2916
2.198,18.132,79.670,0,0,0,0,206388,206232,0,0,4397,2876
3.261,17.391,78.804,0.543,0,0,12288,209820,209820,0,0,4482,2969
2.778,16.111,81.111,0,0,0,0,208260,208416,0,0,4415,2911
3.867,12.707,83.425,0,0,0,0,232128,231972,0,0,4187,3232
4.372,14.208,81.421,0,0,0,0,390072,390072,0,0,4056,3054
2.907,13.372,83.721,0,0,0,0,347900,347900,0,0,4058,2663
3.209,19.251,76.471,1.070,0,0,16384,347616,347616,0,0,4087,2686
2.778,17.222,80,0,0,0,2551808,357272,357272,0,0,4202,2753
