"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571323915-1-macsec-aesgcm-e-frag-dstat.csv",,,,"Date:","17 Oct 2019 16:53:03 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.667,11.494,87.453,0.387,0,31513.733,7809.322,0,0,0,0,1161.549,270.433
2.857,56,41.143,0,0,0,0,144480,33679382,0,0,16507,412
0.575,58.046,41.379,0,0,0,0,124550,34454508,0,0,16943,354
1.156,57.803,41.040,0,0,0,0,134832,34460932,0,0,17074,364
0.578,57.803,40.462,1.156,0,0,61440,125928,34538878,0,0,17020,366
1.163,57.558,41.279,0,0,0,0,129214,34565322,0,0,17015,370
0.581,58.140,41.279,0,0,0,0,135998,34454508,0,0,17042,373
0.581,58.140,41.279,0,0,0,0,132182,34514788,0,0,17068,348
1.724,56.897,38.506,2.874,0,0,73728,147340,34047750,0,0,16813,369
1.149,57.471,40.230,1.149,0,0,12288,137058,34456862,0,0,17164,362
0.578,57.803,41.618,0,0,0,0,123278,34548426,0,0,17155,369
