"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-macsec-aesgcm-e-frag-jumbo-dstat.csv",,,,"Date:","18 Oct 2019 02:02:42 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.782,38.361,59.601,0.256,0,8732.815,23606.788,0,0,0,0,6820.733,874.897
2.235,53.073,44.693,0,0,0,4096,54380,36879100,0,0,11917,379
0.562,56.180,43.258,0,0,0,0,47064,38211400,0,0,12982,328
0,56.497,43.503,0,0,0,0,46534,38107672,0,0,12985,333
0.562,56.180,43.258,0,0,0,0,45156,38171542,0,0,13030,347
0.565,56.497,42.373,0.565,0,0,57344,47064,38097332,0,0,12980,348
1.667,55.556,42.778,0,0,0,0,45898,38153286,0,0,13043,360
0.565,56.497,42.938,0,0,0,0,47488,38104398,0,0,13020,325
0,50.251,49.749,0,0,0,0,48018,38158466,0,0,1714,371
1,49,50,0,0,0,0,47064,38282938,0,0,1650,406
0.505,49.495,50,0,0,0,0,48124,38235620,0,0,1554,379
2.174,45.109,51.630,1.087,0,0,12288,47701,29637618,0,0,9235,409
0,56.818,43.182,0,0,0,0,47594,38087866,0,0,13011,336
0.562,56.180,43.258,0,0,0,0,47806,38150616,0,0,13009,345
0.562,56.180,43.258,0,0,0,0,49608,38129690,0,0,13006,358
0.565,56.497,42.938,0,0,0,0,47488,38113968,0,0,12997,332
1.667,55.556,42.222,0.556,0,0,40960,49184,38137482,0,0,12817,396
0,56.497,43.503,0,0,0,0,48866,38071750,0,0,12998,328
0,56.818,43.182,0,0,0,0,49502,38077820,0,0,12981,331
1.117,55.866,43.017,0,0,0,0,48760,38126760,0,0,13024,345
0,56.818,43.182,0,0,0,0,49396,38126760,0,0,13010,331
2.564,41.538,55.385,0.513,0,0,634880,46956,29839115,0,0,3747,426
0.503,49.749,49.749,0,0,0,0,46746,38308574,0,0,1609,381
0.498,49.751,49.751,0,0,0,0,46746,38272632,0,0,1633,393
0,50,50,0,0,0,0,47488,38197592,0,0,1606,415
1,49.500,49.500,0,0,0,0,47912,38188904,0,0,1600,393
1.990,48.259,48.259,1.493,0,0,49152,48230,38174738,0,0,1632,444
1.005,49.246,49.749,0,0,0,65536,47594,38193092,0,0,1618,403
1.005,49.246,49.749,0,0,0,0,48654,38129742,0,0,1584,385
1,49,50,0,0,0,0,46958,38210408,0,0,1568,404
1.005,49.246,49.749,0,0,0,0,50032,38226986,0,0,1610,409
2.591,43.005,53.368,1.036,0,0,12288,46108,30167174,0,0,4606,405
0.562,56.180,43.258,0,0,0,32768,48654,38097886,0,0,13032,370
1.015,49.746,49.239,0,0,0,0,47276,38045858,0,0,2326,375
0.500,49.500,50,0,0,0,0,46640,38291676,0,0,1643,395
1,49.500,49.500,0,0,0,0,46746,38305662,0,0,1643,381
1.036,51.295,47.150,0.518,0,0,49152,49396,38030584,0,0,5024,410
0,56.497,43.503,0,0,0,0,49290,37997574,0,0,12976,338
0.565,55.932,43.503,0,0,0,0,51622,37629804,0,0,12768,335
1.676,55.866,42.458,0,0,0,0,49926,37861798,0,0,12948,373
1.070,52.406,46.524,0,0,0,0,51728,37744906,0,0,7887,366
2.010,41.206,55.779,1.005,0,0,12288,41868,30157096,0,0,1475,439
0.500,50,49.500,0,0,0,0,48230,38265048,0,0,1630,418
1.042,51.562,47.396,0,0,0,0,48548,38005830,0,0,6079,377
0.565,56.497,42.938,0,0,0,0,51728,38100886,0,0,13005,346
0,52.105,47.895,0,0,0,0,49184,37918170,0,0,6053,355
1.111,55.556,42.778,0.556,0,0,40960,52576,37790676,0,0,11733,366
0,56.818,43.182,0,0,0,0,53318,38070806,0,0,12999,335
0.562,56.180,43.258,0,0,0,0,51198,38037120,0,0,13008,351
0.565,56.497,42.938,0,0,0,0,51622,37977456,0,0,12924,344
0,56.497,43.503,0,0,0,0,51092,38000400,0,0,12940,328
1.111,51.111,47.222,0.556,0,0,12288,44313,34785924,0,0,11869,352
1.667,50.556,47.778,0,0,0,0,50343,33367299,0,0,11322,401
