"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-macsec-aesgcm-we-dstat.csv",,,,"Date:","17 Oct 2019 23:33:14 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.712,33.613,64.372,0.302,0,14689.901,24190.164,0,0,0,0,5762.301,909.101
0.568,54.545,44.886,0,0,0,0,123386,63171658,0,0,8268,363
2.210,54.696,43.094,0,0,0,0,117766,65081062,0,0,6500,351
0.552,55.249,44.199,0,0,0,0,115858,65505126,0,0,4497,339
0,55.801,43.094,1.105,0,0,61440,114798,65520306,0,0,4512,357
0.556,55.556,43.889,0,0,0,0,118932,65470212,0,0,4509,371
0.552,55.249,44.199,0,0,0,0,115328,65500816,0,0,4498,341
2.186,54.645,43.169,0,0,0,0,115010,65503608,0,0,4522,366
0.552,55.249,44.199,0,0,0,0,111194,65538522,0,0,4501,340
0.556,55.556,43.333,0.556,0,0,12288,117766,65521824,0,0,4512,349
0.568,56.250,43.182,0,0,0,0,116176,64554994,0,0,13609,347
1.657,44.751,53.591,0,0,0,0,96140,50926561,0,0,3856,405
0.552,55.249,44.199,0,0,0,0,114904,65528384,0,0,4497,365
0,55.556,44.444,0,0,0,0,115540,65762698,0,0,4502,352
2.717,54.348,42.391,0.543,0,0,40960,115328,65821900,0,0,4518,375
0.552,55.249,44.199,0,0,0,0,114056,65776360,0,0,4519,360
0,55.866,44.134,0,0,0,0,115116,65737136,0,0,4497,330
0.549,55.495,43.956,0,0,0,0,114268,65803684,0,0,4509,365
0.552,55.249,44.199,0,0,0,0,113102,65812792,0,0,4496,330
1.099,55.495,42.857,0.549,0,0,12288,114374,65741446,0,0,4511,362
0,55.556,44.444,0,0,0,0,113738,65773568,0,0,4487,352
2.604,40.625,56.771,0,0,0,0,93066,50780835,0,0,2203,448
1.036,51.813,47.150,0,0,0,0,116706,64830836,0,0,6027,395
0.552,55.249,44.199,0,0,0,0,117130,65427708,0,0,4481,380
1.099,54.945,42.857,1.099,0,0,40960,116388,65362922,0,0,4489,379
0.556,55.556,43.889,0,0,0,389120,115328,65418600,0,0,4495,366
0.552,55.249,44.199,0,0,0,0,116494,65470456,0,0,4496,354
0,55.866,44.134,0,0,0,0,116600,65500572,0,0,4515,360
1.099,54.945,43.956,0,0,0,0,115964,65497536,0,0,4495,350
0.556,55.556,43.333,0.556,0,0,24576,118508,65476528,0,0,4515,364
