"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-macsec-aesgcm-we-jumbo-dstat.csv",,,,"Date:","18 Oct 2019 01:41:09 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.780,37.957,60.002,0.260,0,9278.392,23633.051,0,0,0,0,6982.239,878.893
0.575,54.598,44.828,0,0,0,0,159532,62662584,0,0,9100,386
1.667,55.556,42.778,0,0,0,0,162180,64994622,0,0,4488,404
0.559,55.866,43.575,0,0,0,0,160060,64960434,0,0,4490,348
0.562,56.180,43.258,0,0,0,0,158470,64977528,0,0,4501,347
1.667,55.556,40.556,2.222,0,0,823296,158258,64902078,0,0,4539,404
0.556,55.556,43.889,0,0,0,0,158788,64624446,0,0,4359,364
1.508,48.744,49.749,0,0,0,0,145750,64561590,0,0,1776,406
1.493,48.756,49.751,0,0,0,0,143736,64476230,0,0,1765,405
0,50,50,0,0,0,0,143630,64489944,0,0,1771,398
3.465,47.525,48.020,0.990,0,0,36864,132818,64522044,0,0,1789,427
1.143,44.571,54.286,0,0,0,0,67946,49213114,0,0,13867,403
0,55.866,44.134,0,0,0,0,147814,64192058,0,0,7914,357
0.552,55.249,44.199,0,0,0,0,166102,65079184,0,0,4503,332
0.549,54.945,44.505,0,0,0,0,165996,65070072,0,0,4505,341
0.552,55.249,43.646,0.552,0,0,40960,166950,65041242,0,0,4516,339
0.549,54.945,44.505,0,0,0,0,165148,65098740,0,0,4505,340
0.556,55,44.444,0,0,0,0,164936,65113584,0,0,4512,346
0,55.249,44.751,0,0,0,0,165042,65087166,0,0,4508,345
0.549,54.945,44.505,0,0,0,0,165466,65118246,0,0,4519,364
1.099,54.945,43.407,0.549,0,0,12288,164406,65049012,0,0,4514,344
1.648,43.956,54.396,0,0,0,0,135252,50208483,0,0,3820,403
0.549,54.945,44.505,0,0,0,0,167480,65136894,0,0,4490,361
0.549,54.945,44.505,0,0,0,0,169494,65171244,0,0,4474,342
0.552,55.249,44.199,0,0,0,0,164724,65143806,0,0,4476,342
1.630,54.348,43.478,0.543,0,0,40960,168752,65068518,0,0,4493,362
0,55.556,44.444,0,0,0,0,172886,65073876,0,0,4467,324
1.105,54.696,44.199,0,0,0,0,170236,65094078,0,0,4492,358
0.549,54.945,44.505,0,0,0,0,172462,65094936,0,0,4497,332
1.047,51.309,47.644,0,0,0,0,170236,64466796,0,0,2890,367
0.498,49.751,48.756,0.995,0,0,12288,163028,64451952,0,0,1763,408
2.235,44.134,53.631,0,0,0,0,115112,49243222,0,0,10870,434
1.639,54.645,43.716,0,0,0,0,116918,64931604,0,0,4513,360
0.556,55,44.444,0,0,0,0,116918,64480736,0,0,4470,345
1.093,54.645,44.262,0,0,0,0,171402,64980636,0,0,4497,334
1.036,50.777,47.668,0.518,0,0,40960,168010,64181394,0,0,2597,377
1.500,49,49.500,0,0,0,4096,164936,64322112,0,0,1695,372
1,49.500,49.500,0,0,0,0,163134,64363374,0,0,1741,377
