"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","18 Oct 2019 04:10:31 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.750,40.069,57.940,0.241,0,6473.155,23356.525,0,0,0,0,6489.888,858.678
0,56.213,43.787,0,0,0,0,234474,116750024,0,0,4423,392
0.578,57.803,41.618,0,0,0,0,237334,121754412,0,0,4498,337
1.156,57.803,41.040,0,0,0,4096,239030,121627144,0,0,4491,340
1.705,56.818,41.477,0,0,0,0,233306,121711908,0,0,4507,389
1.714,57.143,40,1.143,0,0,57344,239242,121839420,0,0,4472,388
0.575,57.471,41.954,0,0,0,0,237652,122165058,0,0,4470,351
2.051,49.744,48.205,0,0,0,0,237122,121807542,0,0,3308,382
2.488,47.761,49.751,0,0,0,0,233836,122193656,0,0,2962,367
3,47.500,49.500,0,0,0,0,238606,122038034,0,0,3028,395
2.985,47.264,48.756,0.995,0,0,12288,232776,122158986,0,0,3044,399
1.695,45.763,52.542,0,0,0,0,192801,95159772,0,0,3656,447
0.571,57.714,41.714,0,0,0,0,235002,121793094,0,0,4490,320
0.581,58.140,41.279,0,0,0,0,238076,122047142,0,0,4480,340
2.010,48.241,49.749,0,0,0,1556480,237546,122031474,0,0,3064,420
2.010,48.241,48.744,1.005,0,0,45056,238818,122189346,0,0,3056,389
2.475,48.020,49.505,0,0,0,0,237334,122037790,0,0,3038,381
2.010,48.241,49.749,0,0,0,0,239242,121984660,0,0,3101,389
3.500,47,49.500,0,0,0,0,237864,122008948,0,0,3043,383
1.500,48.500,50,0,0,0,4096,238288,122265246,0,0,3038,391
3.518,46.734,48.744,1.005,0,0,12288,235002,122016538,0,0,3087,391
3.279,43.169,53.552,0,0,0,0,187404,94064941,0,0,3345,455
0,58.140,41.860,0,0,0,0,239136,123265174,0,0,4498,370
0.581,58.140,41.279,0,0,0,0,232564,123395722,0,0,4495,356
0.592,59.172,40.237,0,0,0,0,235426,123363600,0,0,4503,388
1.183,58.580,39.645,0.592,0,0,40960,235214,123373196,0,0,4502,410
1.170,58.480,40.351,0,0,0,0,230550,123381328,0,0,4490,351
1.531,49.490,48.980,0,0,0,0,235744,122672856,0,0,3100,384
1.493,48.756,49.751,0,0,0,0,237546,123004566,0,0,2967,358
2.010,48.241,49.749,0,0,0,0,239242,122928910,0,0,2960,381
2.985,47.761,48.756,0.498,0,0,12288,239348,122836312,0,0,3013,414
2.139,42.246,55.615,0,0,0,0,191009,94776500,0,0,3006,437
1.714,57.143,41.143,0,0,0,0,236592,123147014,0,0,4329,389
2.488,47.761,49.751,0,0,0,0,240620,122663748,0,0,2938,367
1.500,49,49.500,0,0,0,32768,237016,122802916,0,0,2993,374
0.575,57.471,40.805,1.149,0,0,45056,246026,122748512,0,0,4636,324
0.595,59.524,39.881,0,0,0,0,238182,123373440,0,0,4497,402
1.176,58.824,40,0,0,0,0,236804,123328442,0,0,4503,369
0.592,59.172,40.237,0,0,0,0,231610,123364442,0,0,4500,438
0,59.172,39.053,1.775,0,0,57344,238076,123425594,0,0,4517,397
2.339,57.895,38.596,1.170,0,0,12288,235956,123386126,0,0,4500,388
1.705,46.591,51.705,0,0,0,0,188994,95577515,0,0,3661,436
1.714,57.143,41.143,0,0,0,0,235638,123098140,0,0,4495,383
1.149,57.471,41.379,0,0,0,0,237758,121508930,0,0,4472,340
0.581,57.558,41.860,0,0,0,0,236274,122007430,0,0,4499,343
0.578,57.803,41.040,0.578,0,0,40960,235744,121922666,0,0,4502,377
0.578,57.803,41.618,0,0,0,0,234790,122166576,0,0,4495,337
1.724,56.897,41.379,0,0,0,0,238288,122350254,0,0,4509,361
0,57.803,42.197,0,0,0,0,240620,122289046,0,0,4496,336
2.273,56.818,40.909,0,0,0,0,240726,122141014,0,0,4505,362
1.143,57.143,41.143,0.571,0,0,12288,234472,122086122,0,0,4516,382
0.562,50,49.438,0,0,0,0,199593,102429665,0,0,3873,389
1.117,53.631,45.251,0,0,0,0,229174,115947490,0,0,3994,431
