"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-macsec-morus640-we-1500-dstat.csv",,,,"Date:","18 Oct 2019 05:55:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.763,41.004,57.000,0.234,0,5451.118,23259.426,0,0,0.342,25.406,6266.443,854.778
0,53.333,46.667,0,0,0,0,79184,46633540,0,0,4598,353
1.075,53.763,44.086,1.075,0,0,61440,74624,49084626,0,0,4518,357
0.543,54.348,45.109,0,0,0,0,76426,49111706,0,0,4509,342
0,54.348,45.652,0,0,0,0,74412,49148382,0,0,4513,341
1.613,53.763,44.624,0,0,0,0,77168,49031496,0,0,4511,365
0.543,54.348,45.109,0,0,0,0,75578,49042122,0,0,4505,340
1.081,54.054,44.865,0,0,0,0,76638,49193678,0,0,4514,349
0.510,50.510,48.469,0.510,0,0,12288,70172,49207096,0,0,2018,400
0.995,49.254,49.751,0,0,0,0,70278,49533222,0,0,1358,415
1.500,49,49.500,0,0,0,0,69006,49414818,0,0,1372,420
1.081,43.784,54.595,0.541,0,135168,0,65933,37416771,0,0,3593,406
0,54.396,45.604,0,0,0,0,69748,49616468,0,0,4513,338
1.596,53.723,43.617,1.064,0,0,40960,67416,49789032,0,0,4511,356
1.075,53.763,45.161,0,0,0,0,69430,49860622,0,0,4521,352
0,54.645,45.355,0,0,0,0,72292,49769542,0,0,4506,333
1.081,54.054,44.865,0,0,0,999424,69006,49739182,0,0,4520,353
1.081,53.514,45.405,0,0,0,0,70066,49770816,0,0,4484,344
0.543,54.348,44.022,1.087,0,0,20480,69006,49743736,0,0,4483,346
1.075,53.763,45.161,0,0,0,0,69642,49846960,0,0,4482,351
0.518,51.813,47.668,0,0,0,0,73776,49457322,0,0,2813,381
1.515,40.909,57.576,0,0,0,57344,62006,38190972,0,0,1276,429
1.005,49.246,49.749,0,0,0,0,68370,49374076,0,0,1328,410
1.980,48.515,48.515,0.990,0,0,40960,71550,49426962,0,0,1369,406
1.005,49.246,49.749,0,0,0,0,72186,49325500,0,0,1361,404
1.523,49.746,48.731,0,0,0,0,79394,49086144,0,0,3645,406
0.578,57.803,41.618,0,0,0,0,80348,48729902,0,0,19145,338
0.578,57.803,41.618,0,0,0,0,77804,48811874,0,0,19161,362
1.705,56.818,40.909,0.568,0,0,12288,76956,48929790,0,0,19148,356
1.149,57.471,41.379,0,0,0,0,77168,48969502,0,0,19131,363
1.143,57.143,41.714,0,0,0,0,76638,48945214,0,0,19154,346
2.235,44.693,53.073,0,0,0,24576,72714,37610047,0,0,14229,410
1.714,57.143,41.143,0,0,0,0,85118,48234248,0,0,19125,380
0.568,56.818,41.477,1.136,0,0,45056,75048,49027430,0,0,16825,371
0.510,50,49.490,0,0,0,0,69960,49247838,0,0,1926,403
2.488,48.259,49.254,0,0,0,0,69218,49470984,0,0,1332,416
0.503,49.749,49.749,0,0,0,0,71550,49395328,0,0,1346,409
1.500,49,49.500,0,0,0,0,76956,49208614,0,0,1697,407
0.578,57.803,41.040,0.578,0,0,12288,77168,48933070,0,0,19212,391
1.143,57.143,41.714,0,0,0,0,79818,48584418,0,0,19144,345
0.581,57.558,41.860,0,0,0,0,82574,48366314,0,0,18319,352
1.630,44.022,54.348,0,0,0,0,67838,37707438,0,0,4407,392
0.521,52.083,47.396,0,0,0,0,72928,49457322,0,0,3097,390
1.500,49,49.500,0,0,0,0,67310,49963358,0,0,1283,401
1.111,55.556,42.222,1.111,0,0,40960,76214,49014798,0,0,15498,398
1.143,57.143,41.714,0,0,0,0,75366,49266542,0,0,19209,352
0.578,57.803,41.618,0,0,0,0,74942,49368004,0,0,19229,343
0.578,57.803,41.618,0,0,0,0,73670,49401156,0,0,19286,330
1.143,57.143,41.714,0,0,0,0,75048,49266298,0,0,19269,330
1.156,57.803,41.040,0,0,0,12288,74942,49343716,0,0,19260,357
2.260,55.932,41.808,0,0,0,0,78228,48677992,0,0,18992,350
1.685,48.876,49.438,0,0,0,0,76512,42875341,0,0,12712,353
1.093,49.180,49.727,0,0,0,0,74741,44182079,0,0,4278,377
1.105,54.696,44.199,0,0,0,0,87980,48496808,0,0,10311,351
1.705,56.818,40.341,1.136,0,0,40960,80136,48822500,0,0,19210,387
0.578,57.803,41.618,0,0,0,0,77168,49081346,0,0,19245,350
0.578,57.803,41.618,0,0,0,0,75154,49160526,0,0,19255,333
1.081,54.054,44.865,0,0,0,36864,70384,49755636,0,0,6220,359
1.081,54.054,44.865,0,0,0,0,72080,49928688,0,0,4502,346
0.541,54.054,44.865,0.541,0,0,12288,71020,49669598,0,0,4409,364
2.513,47.739,49.749,0,0,0,0,66356,49857342,0,0,1350,433
1.990,48.756,49.254,0,0,0,0,66356,49951458,0,0,1321,413
2.210,44.751,53.039,0,0,0,45056,67096,37895482,0,0,13117,432
0.578,57.803,41.618,0,0,0,0,80560,48587454,0,0,19161,330
0.559,55.866,42.458,1.117,0,0,45056,76214,49048682,0,0,12431,361
1.149,57.471,41.379,0,0,0,0,74412,49163318,0,0,19216,351
1.143,57.143,41.714,0,0,0,0,75260,49142310,0,0,19175,358
1.149,57.471,41.379,0,0,0,0,74730,49242010,0,0,19179,354
2.273,57.386,36.364,3.977,0,212992,0,76214,49169390,16384,0,19236,421
2.162,52.973,43.784,1.081,0,0,16384,77274,49001380,0,0,12457,379
0,50,50,0,0,0,0,70808,49557266,0,0,1323,441
1.980,48.515,49.505,0,0,0,0,68264,49617986,0,0,1311,390
1.093,43.169,55.738,0,0,0,0,74833,37600151,0,0,8527,421
1.149,57.471,41.379,0,0,0,0,81832,48437416,0,0,19213,335
