"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-no-macsec-1500-dstat.csv",,,,"Date:","17 Oct 2019 20:21:38 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.706,6.170,91.076,1.049,0,68867.488,30871.374,0,0,0,0,4282.061,1330.264
1.149,4.023,94.828,0,0,0,0,281262,121972958,0,0,4269,513
1.657,6.077,92.265,0,0,0,0,288190,123372414,0,0,4417,432
0.559,6.145,93.296,0,0,0,0,280140,123372414,0,0,4225,435
1.695,3.955,94.350,0,0,0,0,280210,123384558,0,0,4279,477
1.143,4,89.714,5.143,0,4096,3317760,280140,123369378,0,0,4308,487
1.111,6.667,92.222,0,0,0,0,285110,123370896,0,0,4397,467
0,2.353,97.647,0,0,0,0,295400,123380004,0,0,4612,423
1.149,3.448,95.402,0,0,0,0,300160,123375450,0,0,4688,433
0.592,1.775,97.633,0,0,0,0,302050,123370896,0,0,4647,436
1.117,6.145,91.061,1.676,0,0,40960,298480,123380004,0,0,4759,456
0.581,8.721,90.698,0,0,0,0,249164,99101481,0,0,3968,510
1.163,6.395,92.442,0,0,0,0,286510,123381522,0,0,4450,439
1.111,6.111,92.778,0,0,0,0,287070,123369378,0,0,4387,443
1.111,6.667,92.222,0,0,0,0,280140,123367860,0,0,4218,448
0.571,4,95.429,0,0,0,0,292320,123383040,0,0,4479,421
0.599,4.192,94.611,0.599,0,0,40960,297920,123372414,0,0,4714,476
2.105,10.526,87.368,0,0,0,0,299180,123373932,0,0,4706,446
0.556,7.222,92.222,0,0,0,0,297150,123372414,0,0,4634,417
1.117,5.587,93.296,0,0,0,0,289170,123386076,0,0,4499,438
1.143,4,94.857,0,0,0,0,285460,123370896,0,0,4362,448
2.247,5.056,92.697,0,0,0,0,241750,98606615,0,0,3871,488
0.565,6.215,92.655,0.565,0,0,40960,299390,123370896,0,0,4664,422
0.568,5.682,93.750,0,0,0,0,301140,123373932,0,0,4656,415
1.136,5.114,93.750,0,0,0,0,298270,123380004,0,0,4681,419
0.571,4.571,94.857,0,0,0,0,300440,123370896,0,0,4667,419
1.143,4,94.857,0,0,0,0,300930,123392148,0,0,4705,433
1.724,2.874,95.402,0,0,0,0,295540,123355716,0,0,4598,419
0.578,3.468,95.376,0.578,0,0,12288,297080,123393666,0,0,4626,423
0.581,2.907,96.512,0,0,0,0,297780,123361788,0,0,4686,435
1.685,5.056,93.258,0,0,0,0,297780,123373932,0,0,4730,432
1.124,6.180,92.697,0,0,0,20480,241749,99391419,0,0,3825,498
1.149,6.897,91.954,0,0,0,0,290360,123370896,0,0,4576,457
0,3.488,96.512,0,0,0,0,298060,123372414,0,0,4661,405
1.170,2.339,95.906,0.585,0,0,45056,294140,123386076,0,0,4646,465
0.578,4.046,95.376,0,0,0,0,298410,123363306,0,0,4745,429
1.190,5.952,92.857,0,0,0,73728,295820,123384558,0,0,4777,489
1.163,2.326,96.512,0,0,0,0,299250,123366342,0,0,4689,410
0,2.353,97.647,0,0,0,0,298060,123390630,0,0,4691,425
