"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/iperf3-1571335153-100-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","17 Oct 2019 22:07:21 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.727,26.033,71.867,0.374,0,24139.894,25084.870,0,0,0,0,5917.102,977.919
0.568,52.841,46.591,0,0,0,0,81398,61934564,0,0,8500,359
1.117,55.866,43.017,0,0,0,0,153714,65166106,0,0,4509,386
1.117,55.866,43.017,0,0,0,4096,156060,65166106,0,0,4517,360
1.117,55.866,43.017,0,0,0,0,154428,65242910,0,0,4508,353
0.559,55.866,42.458,1.117,0,0,57344,153204,65166106,0,0,4530,397
0.562,56.180,43.258,0,0,0,0,152796,65246010,0,0,4501,357
1.657,55.249,43.094,0,0,0,0,153510,65302664,0,0,4513,382
0.562,56.180,43.258,0,0,0,57344,151572,65257556,0,0,4530,372
1.571,51.309,47.120,0,0,0,0,142800,64545790,0,0,2824,382
2.186,53.552,42.623,1.639,0,0,12288,134028,64248728,0,0,13420,410
1.685,44.944,53.371,0,0,0,0,63048,49278333,0,0,14052,391
0.559,55.866,43.575,0,0,0,0,135456,65222760,0,0,4939,342
1.117,55.866,43.017,0,0,0,0,153408,65066052,0,0,4484,352
1.111,55.556,43.333,0,0,0,0,153408,65107206,0,0,4471,366
0.565,56.497,42.938,0,0,0,40960,156366,65123402,0,0,4499,391
1.111,55,43.889,0,0,0,0,166158,64745582,0,0,6121,343
0,55.556,44.444,0,0,0,0,169014,65253760,0,0,4477,336
0.556,55,44.444,0,0,0,0,159630,65213460,0,0,4482,349
1.093,54.645,44.262,0,0,0,0,162078,65322656,0,0,4502,323
1.622,54.054,43.243,1.081,0,0,12288,166260,65360868,0,0,4515,361
2.094,40.314,57.592,0,0,0,0,82119,49872784,0,0,2195,419
2,48.500,49.500,0,0,0,0,94044,64886252,0,0,1739,399
1,49,50,0,0,0,0,95982,64792398,0,0,1758,388
1.500,49,49.500,0,0,0,0,96084,64879198,0,0,1728,394
1.695,56.497,41.243,0.565,0,0,40960,98226,64143328,0,0,17112,363
0.559,55.866,43.575,0,0,0,0,90372,65033502,0,0,8869,340
1.630,54.348,44.022,0,0,0,0,88026,65357610,0,0,4509,352
0,55.495,44.505,0,0,0,0,85374,65363968,0,0,4509,353
0,55.249,44.751,0,0,0,151552,90576,65284760,0,0,4519,352
1.639,54.645,43.169,0.546,0,0,20480,93330,65165252,0,0,4523,358
1.676,43.017,55.307,0,0,0,0,77631,49140948,0,0,7440,390
0.556,55.556,43.889,0,0,0,0,121686,65209506,0,0,4498,328
0,56.497,43.503,0,0,0,0,146982,65139060,0,0,4516,368
1.657,55.249,43.094,0,0,0,36864,145452,65147506,0,0,4504,345
1.648,54.945,41.758,1.648,0,0,57344,145758,64757444,0,0,4345,400
1,49,50,0,0,0,0,139638,64762948,0,0,1740,406
2.500,48,49.500,0,0,0,0,138516,64751244,0,0,1751,436
2.488,47.761,49.751,0,0,0,0,138822,64644294,0,0,1741,420
2,48.500,49.500,0,0,0,0,138312,64710944,0,0,1742,423
1.515,48.485,49.495,0.505,0,0,12288,139638,64703194,0,0,1759,456
2.073,41.451,56.477,0,0,0,0,117513,50180806,0,0,3305,425
0.559,55.866,43.575,0,0,0,0,159834,64466536,0,0,8695,341
0.549,54.945,44.505,0,0,0,0,163914,65116404,0,0,4488,338
0.552,55.249,44.199,0,0,0,0,160344,65192456,0,0,4501,344
0,55.556,43.889,0.556,0,0,40960,162486,65133556,0,0,4517,353
0.549,54.945,44.505,0,0,0,0,159528,65172306,0,0,4497,335
1.099,54.945,43.956,0,0,0,0,162384,65165410,0,0,4511,343
0,55.249,44.751,0,0,0,0,159834,65172306,0,0,4512,370
1.531,49.490,48.980,0,0,0,53248,158508,64210832,0,0,2279,356
1.105,54.696,43.094,1.105,0,0,12288,160242,64128524,0,0,11215,365
1.087,47.826,51.087,0,0,0,0,139433,55863722,0,0,3957,372
1.657,50.829,47.514,0,0,0,0,77327,58939309,0,0,7294,355
1.622,54.054,44.324,0,0,0,0,79560,65198656,0,0,4511,372
0.549,54.945,44.505,0,0,0,0,75072,65187110,0,0,4502,331
0.549,54.396,43.956,1.099,0,0,40960,90510,64796538,0,0,5155,373
1.093,54.645,44.262,0,0,0,0,92310,65175406,0,0,4503,334
0,55.249,44.751,0,0,0,0,87414,65162310,0,0,4508,336
1.093,54.645,44.262,0,0,0,0,80274,65186256,0,0,4512,347
0.549,54.945,44.505,0,0,0,0,77928,65147506,0,0,4504,352
0.549,54.945,44.505,0,0,0,12288,75378,65170756,0,0,4523,373
0.546,54.645,44.809,0,0,0,0,74970,65190210,0,0,4495,322
1.667,44.444,53.889,0,0,0,0,124450,49553549,0,0,7649,408
0,55.249,44.751,0,0,0,0,162792,65310414,0,0,4478,377
1.117,55.866,43.017,0,0,0,0,161874,65239810,0,0,4476,349
1.657,55.249,41.989,1.105,0,0,49152,159630,65170756,0,0,4489,378
0.562,56.180,43.258,0,0,0,0,157386,65090156,0,0,6965,362
1.117,55.866,43.017,0,0,0,0,158202,65261510,0,0,4475,381
0.562,56.180,43.258,0,0,0,0,153714,65325060,0,0,4507,352
1.111,55.556,43.333,0,0,0,0,150654,65242910,0,0,4504,354
0,56.497,42.938,0.565,0,0,20480,151878,65164556,0,0,4524,373
