"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","18 Oct 2019 05:09:43 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.748,40.828,57.187,0.237,0,5884.174,22909.115,0,0,0.370,13.823,6220.795,842.368
1.667,11.667,85,1.667,0,0,53248,275360,275360,0,0,4600,3735
2.809,13.483,83.708,0,0,0,0,256480,256640,0,0,5247,3534
2.778,15,82.222,0,0,0,0,256480,256320,0,0,5261,3498
3.429,11.429,85.143,0,0,0,0,255200,255200,0,0,5230,3514
1.714,13.143,85.143,0,0,0,0,255840,256000,0,0,5226,3497
3.390,11.864,83.051,1.695,0,0,638976,248882,248832,0,0,5119,3422
1.667,15.556,82.778,0,0,0,0,255360,255520,0,0,5244,3496
2.210,14.917,82.873,0,0,0,0,254080,253920,0,0,5151,3467
3.371,12.921,83.708,0,0,0,0,253920,253920,0,0,5201,3491
2.247,13.483,84.270,0,0,0,0,252160,252160,0,0,5160,3437
3.371,12.360,83.146,1.124,0,0,12288,248480,248640,0,0,5094,3392
3.763,15.591,80.645,0,0,0,0,250400,250240,0,0,5161,3466
2.286,12,85.714,0,0,0,0,252960,253120,0,0,5180,3447
4.396,13.736,81.868,0,0,0,0,249920,249760,0,0,5130,3421
2.793,12.291,84.916,0,0,0,0,257120,257280,0,0,4905,3477
4.324,12.973,82.162,0.541,0,0,12288,260640,260640,0,0,4815,3536
2.260,12.994,84.746,0,0,0,0,247040,247040,0,0,5022,3382
2.890,10.405,86.705,0,0,0,0,246240,246080,0,0,4933,3336
3.763,11.290,84.946,0,0,0,0,281920,281920,0,0,4376,3764
2.273,13.068,84.659,0,0,0,0,244480,244480,0,0,5008,3335
1.099,16.484,81.868,0.549,0,0,12288,240000,240160,0,0,4927,3285
5.085,10.169,84.746,0,0,0,0,240640,240640,0,0,4927,3290
2.732,15.847,81.421,0,0,0,0,240000,240000,0,0,4930,3279
3.333,13.333,83.333,0,0,0,0,246080,246030,0,0,5052,3381
2.778,13.889,83.333,0,0,0,0,242080,242240,0,0,4952,3293
4.865,11.892,82.703,0.541,0,0,12288,262080,261920,0,0,4693,3554
3.804,14.130,82.065,0,0,0,0,247840,247840,0,0,4948,3428
3.867,13.812,82.320,0,0,0,0,237440,237440,0,0,4893,3268
2.793,13.966,83.240,0,0,0,0,237600,237600,0,0,4880,3247
2.235,13.966,83.799,0,0,0,0,236480,236640,0,0,4851,3208
3.279,14.754,80.874,1.093,0,0,12288,235840,235680,0,0,4874,3284
4.444,13.333,82.222,0,0,0,0,248704,248704,0,0,4845,3294
2.286,12,85.714,0,0,0,0,434304,434592,0,0,4934,3293
3.352,13.408,83.240,0,0,0,0,439488,439200,0,0,4989,3341
2.210,14.917,82.873,0,0,0,0,439570,439858,0,0,5020,3327
4.348,14.130,80.435,1.087,0,0,2994176,431712,431712,0,0,4949,3283
1.705,13.068,85.227,0,0,0,4096,432000,431712,0,0,4918,3281
2.235,13.966,83.799,0,0,0,0,432288,432288,0,0,4925,3277
3.352,13.408,83.240,0,0,0,0,437760,437760,0,0,4997,3328
2.747,14.835,82.418,0,0,0,0,433728,433728,0,0,4948,3286
2.286,12,84,1.714,0,0,20480,429984,429984,0,0,4895,3263
2.762,14.365,82.873,0,0,0,4096,434880,434880,0,0,4972,3315
2.762,14.365,82.873,0,0,0,0,434592,434592,0,0,4958,3307
2.793,13.408,83.799,0,0,0,0,434880,434880,0,0,4959,3302
2.778,13.889,83.333,0,0,0,0,434592,434592,0,0,4937,3292
