"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","18 Oct 2019 03:24:17 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.757,39.847,58.152,0.244,0,7141.427,22933.472,0,0,0,0,6771.010,846.837
3.279,13.115,83.607,0,0,0,0,274400,274560,0,0,4322,3676
2.326,13.953,83.721,0,0,0,0,262720,262560,0,0,5352,3593
2.907,12.209,84.884,0,0,0,0,245600,245600,0,0,5031,3367
3.488,12.209,84.302,0,0,0,0,245440,245600,0,0,5023,3342
1.705,15.341,82.386,0.568,0,0,36864,243040,242880,0,0,5012,3364
2.312,13.873,83.815,0,0,0,0,245042,245152,0,0,5027,3358
2.941,11.176,85.882,0,0,0,0,245440,245600,0,0,5010,3332
1.685,16.292,82.022,0,0,0,0,245280,245280,0,0,5047,3363
2.273,14.773,82.955,0,0,0,0,244320,244320,0,0,5015,3329
3.333,11.111,84.444,1.111,0,0,12288,272480,272480,0,0,4336,3660
3.977,13.068,82.955,0,0,0,0,245920,245920,0,0,5044,3372
1.705,15.909,82.386,0,0,0,0,245120,244960,0,0,5023,3331
2.286,13.714,84,0,0,0,0,243840,243840,0,0,4997,3328
2.907,12.791,84.302,0,0,0,0,243360,243360,0,0,4969,3310
2.353,11.176,85.294,1.176,0,0,12288,243360,243520,0,0,4983,3342
3.371,14.607,82.022,0,0,0,0,243040,242880,0,0,4982,3321
3.448,12.644,83.908,0,0,0,0,243040,243040,0,0,4976,3309
2.874,12.644,76.437,8.046,0,0,139264,245600,245600,0,0,4927,3368
2.924,11.696,85.380,0,0,0,0,241920,242080,0,0,4946,3299
2.874,13.218,82.184,1.724,0,0,53248,236960,236800,0,0,4867,3252
3.488,11.628,84.884,0,0,0,0,241760,241920,0,0,4940,3321
3.448,12.069,84.483,0,0,0,0,241120,241120,0,0,4918,3281
1.714,14.857,83.429,0,0,0,4096,240800,240640,0,0,4949,3305
3.429,13.143,83.429,0,0,0,8192,239360,239520,0,0,4913,3281
1.734,12.717,83.815,1.734,0,0,24576,237120,237230,0,0,4878,3269
3.889,14.444,81.667,0,0,0,0,239200,239200,0,0,4923,3279
3.371,14.607,82.022,0,0,0,0,238400,238400,0,0,4890,3253
1.170,12.865,85.965,0,0,0,0,238880,238880,0,0,4913,3289
2.841,13.636,83.523,0,0,0,8192,242080,242080,0,0,4886,3394
2.841,13.068,82.386,1.705,0,0,20480,235040,234880,0,0,4829,3244
3.352,15.084,81.564,0,0,0,0,237280,237280,0,0,4894,3271
2.717,17.391,79.891,0,0,0,0,239840,239680,0,0,4940,3278
3.429,13.714,82.857,0,0,0,0,286496,286496,0,0,4655,3129
2.857,10.857,86.286,0,0,0,3141632,437472,437760,0,0,4072,3284
3.825,17.486,78.142,0.546,0,0,28672,367776,367488,0,0,4273,2836
4.046,12.139,83.815,0,0,0,0,374976,374976,0,0,4322,2876
2.312,13.873,83.815,0,0,0,0,376992,376992,0,0,4339,2895
4,13.714,82.286,0,0,0,0,370944,371232,0,0,4284,2829
2.222,17.222,80.556,0,0,0,0,379584,379584,0,0,4379,2893
2.222,16.667,80,1.111,0,0,12288,385056,384768,0,0,4438,2950
4.813,12.834,82.353,0,0,0,0,500626,500626,0,0,4121,3697
4.420,11.050,84.530,0,0,0,0,519264,519264,0,0,4268,3823
2.286,14.857,82.857,0,0,0,0,394272,394560,0,0,4526,3012
2.959,11.243,85.799,0,0,0,0,385344,385056,0,0,4391,2919
2.299,13.793,82.759,1.149,0,0,12288,386496,386496,0,0,4420,2953
3.279,17.486,79.235,0,0,0,0,392832,393120,0,0,4536,3009
3.488,13.372,83.140,0,0,0,0,417888,417600,0,0,4781,3175
3.529,11.176,85.294,0,0,0,0,385632,385632,0,0,4416,2956
3.333,16.111,80.556,0,0,0,0,386784,386784,0,0,4464,2949
4.444,15,80,0.556,0,0,12288,389458,389458,0,0,4490,2991
3.571,10.119,86.310,0,0,0,0,388224,388512,0,0,4455,2988
2.273,15.341,82.386,0,0,0,0,388512,388224,0,0,4455,2949
3.315,16.575,80.110,0,0,0,0,387360,387648,0,0,4475,2961
3.743,18.717,77.540,0,0,0,65536,392544,392256,0,0,4552,2997
3.889,15,79.444,1.667,0,0,12288,378432,378720,0,0,4391,2937
2.857,14.857,82.286,0,0,0,0,386784,386496,0,0,4435,2938
3.468,12.717,83.815,0,0,0,0,387072,387072,0,0,4438,2933
3.933,14.607,81.461,0,0,0,0,390240,390240,0,0,4508,2997
3.889,15.556,80.556,0,0,0,2232320,385056,385056,0,0,4426,2930
5.085,13.559,80.226,1.130,0,0,20480,385056,385166,0,0,4460,2971
3.867,15.470,80.663,0,0,0,0,391392,391392,0,0,4511,2989
2.809,15.730,81.461,0,0,0,0,392256,392256,0,0,4519,2998
1.724,13.793,84.483,0,0,0,0,416448,416736,0,0,4420,3157
3.911,14.525,81.564,0,0,0,0,402912,402624,0,0,4614,3075
6.417,15.508,77.005,1.070,0,0,12288,384768,385056,0,0,4477,2957
3.911,15.084,81.006,0,0,0,0,389664,389664,0,0,4475,2971
2.747,17.582,79.670,0,0,0,0,389664,389664,0,0,4491,3004
1.714,15.429,82.857,0,0,0,0,390528,390528,0,0,4473,3008
4.598,13.218,82.184,0,0,0,0,388672,388928,0,0,4448,3024
4.167,21.875,73.438,0.521,0,0,16384,619072,618528,0,0,3758,2544
4.839,19.355,75.806,0,0,0,0,608736,608736,0,0,3771,2478
2.299,16.667,81.034,0,0,0,0,613632,613632,0,0,3770,2463
3.681,9.816,86.503,0,0,0,0,615808,615808,0,0,3758,2495
3.297,18.681,78.022,0,0,0,0,612544,612544,0,0,3775,2454
3.977,16.477,77.841,1.705,0,0,12288,585888,585888,0,0,3643,2399
3.804,20.109,76.087,0,0,0,0,594674,595218,0,0,3698,2407
4.233,21.164,74.603,0,0,0,0,592960,592960,0,0,3690,2414
2.551,23.469,73.980,0,0,0,0,654976,654432,0,0,3601,2634
2.890,16.185,80.925,0,0,0,0,595136,595680,0,0,3670,2394
3.933,16.854,76.966,2.247,0,0,1634304,594048,593504,0,0,3652,2423
4.615,23.077,72.308,0,0,0,0,594048,594048,0,0,3676,2413
4.663,23.316,72.021,0,0,0,0,586432,586432,0,0,3686,2396
5.319,20.213,74.468,0,0,0,0,596768,596768,0,0,3718,2409
4.688,22.396,72.917,0,0,0,0,585888,586432,0,0,3677,2392
6.701,21.134,71.134,1.031,0,0,12288,579360,578816,0,0,3646,2368
5.028,16.760,78.212,0,0,0,0,590240,590784,0,0,3671,2407
3.500,27,69.500,0,0,0,0,578816,578816,0,0,3661,2376
5.076,24.873,70.051,0,0,0,0,572288,572288,0,0,3626,2350
4.918,18.579,76.503,0,0,0,0,580448,580448,0,0,3609,2357
4.494,17.978,76.966,0.562,0,0,12288,566304,566304,0,0,3547,2359
5.405,20,74.595,0,0,0,0,573920,573920,0,0,3594,2367
3.743,21.925,74.332,0,0,0,0,572832,572832,0,0,3565,2330
6.030,24.121,69.849,0,0,0,0,564128,563584,0,0,3556,2305
4.103,24.615,71.282,0,0,0,0,609824,609824,0,0,3797,2470
3.141,24.607,71.204,1.047,0,0,1069056,554336,554336,0,0,3490,2282
3.191,23.404,73.404,0,0,0,0,561952,561952,0,0,3526,2299
5.366,27.317,67.317,0,0,0,0,567392,567392,0,0,3605,2301
3.046,21.827,75.127,0,0,0,0,674016,674016,0,0,3482,2681
2.762,11.602,85.635,0,0,0,0,838848,838848,0,0,3570,3257
2.674,22.460,73.797,1.070,0,0,12288,571826,571826,0,0,3571,2346
3.684,23.684,72.632,0,0,0,0,560864,560864,0,0,3553,2315
4.103,25.128,70.769,0,0,0,0,556512,556512,0,0,3529,2276
5.405,20,74.595,0,0,0,0,558688,558688,0,0,3503,2285
5.435,19.565,75,0,0,0,0,560864,560864,0,0,3523,2298
3.318,31.280,64.455,0.948,0,0,12288,544544,545088,0,0,3503,2276
3.955,18.079,77.966,0,0,0,0,558688,558144,0,0,3493,2300
3.141,24.607,72.251,0,0,0,0,553248,553792,0,0,3490,2256
4.839,20.968,74.194,0,0,0,0,556512,555968,0,0,3500,2284
6.989,19.355,73.656,0,0,0,0,553792,553792,0,0,3474,2259
2.740,33.333,62.100,1.826,0,0,12288,536928,536928,0,0,3461,2205
5.419,27.094,67.488,0,0,0,0,549522,549522,0,0,3520,2281
2.804,32.710,64.486,0,0,0,0,550528,550528,0,0,3535,2251
3.608,20.619,75.773,0,0,0,0,689248,689792,0,0,3547,2743
4.688,22.917,72.396,0,0,0,0,614176,614176,0,0,3844,2528
5.319,21.277,72.340,1.064,0,0,12288,548896,548352,0,0,3437,2244
3.015,27.136,69.849,0,0,0,0,950496,951552,0,0,2666,2246
1.149,17.241,81.609,0,0,0,0,1058112,1057056,0,0,2420,2196
5.455,30.455,64.091,0,0,0,0,1057056,1057056,0,0,2555,2213
1.325,4.636,94.040,0,0,0,0,1059168,1059168,0,0,2378,2221
1.961,5.882,91.503,0.654,0,0,16384,1053888,1053888,0,0,2356,2198
5.366,25.854,68.780,0,0,0,0,1059168,1059168,0,0,2536,2235
1.342,3.356,95.302,0,0,0,0,1062336,1063392,0,0,2357,2204
6.047,28.372,65.581,0,0,0,0,1057056,1056000,0,0,2564,2200
0.690,2.069,97.241,0,0,0,0,1059168,1060224,0,0,2680,2196
1.333,5.333,92,1.333,0,0,12288,1049664,1048608,0,0,3297,2184
4.396,18.681,76.923,0,0,0,2031616,1057056,1058112,0,0,2953,2222
0,0,100,0,0,0,0,1056000,1056000,0,0,3295,2189
0,0,100,0,0,0,0,1056000,1054944,0,0,2857,2194
1.418,0,98.582,0,0,0,0,1056000,1057056,0,0,3294,2194
0,0,98.571,1.429,0,0,20480,1045440,1045440,0,0,3270,2180
2.098,0,97.902,0,0,0,0,1056000,1056110,0,0,3337,2251
0,16.265,83.735,0,0,0,0,1056000,1054944,0,0,3382,2193
10.504,31.092,58.403,0,0,0,0,1056000,1056000,0,0,3539,2229
11.064,29.787,59.149,0,0,0,0,1056000,1056000,0,0,3530,2200
10.714,27.679,61.161,0.446,0,0,12288,1049664,1049664,0,0,3499,2191
2.051,26.667,71.282,0,0,0,0,1056000,1056000,0,0,3466,2225
9.705,31.646,58.650,0,0,0,0,1056000,1056000,0,0,3537,2199
9.390,25.352,65.258,0,0,0,0,1056000,1056000,0,0,3483,2210
6.522,17.935,75.543,0,0,0,0,1054944,1056000,0,0,3401,2207
1.987,5.298,90.728,1.987,0,0,12288,1047552,1046496,0,0,3303,2192
11.392,30.380,58.228,0,0,0,0,1056000,1056000,0,0,3524,2236
9.292,29.204,61.504,0,0,0,0,1056000,1056000,0,0,3488,2209
9.500,21.500,69,0,0,0,0,1054944,1056000,0,0,3427,2196
0.714,0,99.286,0,0,0,0,1056000,1056000,0,0,3305,2198
2.721,3.401,93.197,0.680,0,0,12288,1052914,1051858,0,0,3317,2197
8.734,30.568,60.699,0,0,0,8192,1056000,1056000,0,0,3527,2230
9.722,26.389,63.889,0,0,0,0,1056000,1056000,0,0,3494,2240
4.878,10.366,84.756,0,0,0,0,1054944,1056000,0,0,3372,2235
0.714,0,99.286,0,0,0,0,1056082,1055026,0,0,3289,2189
0.671,5.369,91.946,2.013,0,0,28672,1040160,1040160,0,0,3273,2179
9.746,31.356,58.898,0,0,0,0,1056000,1056000,0,0,3553,2236
11.638,28.448,59.914,0,0,0,0,1056000,1056000,0,0,3519,2209
9.278,19.588,71.134,0,0,0,0,1054944,1056000,0,0,3440,2231
0.714,0,99.286,0,0,0,0,1056000,1056000,0,0,3293,2196
0,2.778,96.528,0.694,0,0,12288,1053888,1052832,0,0,3311,2185
5.660,29.245,65.094,0,0,0,0,1056000,1056000,0,0,3496,2222
3.955,17.514,78.531,0,0,0,1945600,1054944,1056000,0,0,3392,2220
2.740,3.425,93.836,0,0,0,0,1054944,1053888,0,0,3323,2221
5.294,11.765,82.941,0,0,0,0,1069728,1069728,0,0,2646,2236
3.209,20.856,74.332,1.604,0,0,28672,1058112,1058112,0,0,2449,2205
0.699,2.098,97.203,0,0,0,0,1058112,1059168,0,0,3213,2238
0,0,100,0,0,0,28672,1056000,1056000,0,0,3311,2204
0,0,100,0,0,0,0,1056000,1054944,0,0,3305,2199
0.714,0,99.286,0,0,0,0,1056000,1056000,0,0,3299,2193
2.013,4.027,91.946,2.013,0,0,12288,1038048,1038048,0,0,3271,2170
11.739,26.087,62.174,0,0,0,0,1316952,1318384,0,0,2765,2225
1.961,3.922,94.118,0,0,0,0,1432000,1430568,0,0,3283,2141
6.250,24.038,69.712,0,0,0,0,1432000,1432000,0,0,3406,2142
4.819,8.434,86.747,0,0,0,0,1430568,1432000,0,0,3299,2126
4.040,23.232,72.222,0.505,0,0,16384,1424840,1423408,0,0,3391,2132
3.846,3.205,92.949,0,0,0,0,1430650,1432082,0,0,3253,2202
4.972,15.470,79.558,0,0,0,0,1432000,1430568,0,0,3361,2128
9.326,16.062,74.611,0,0,0,0,1429136,1430568,0,0,3377,2152
4.494,14.045,81.461,0,0,0,0,1432000,1432000,0,0,3340,2137
0,17.241,81.609,1.149,0,0,12288,1420544,1419112,0,0,3315,2122
7.240,27.602,65.158,0,0,0,0,1432000,1432000,0,0,3463,2163
0.667,2.667,96.667,0,0,0,0,1430568,1432000,0,0,3270,2124
1.220,10.976,87.805,0,0,0,0,1430568,1430568,0,0,3313,2147
