"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-aes-gcm-we-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","18 Oct 2019 03:02:49 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.748,39.601,58.404,0.247,0,7500.947,22929.780,0,0,0,0,6911.040,847.958
3.371,7.865,88.764,0,0,0,0,289440,289440,0,0,4061,3829
4.420,13.812,81.768,0,0,0,0,250880,251040,0,0,5007,3424
2.941,11.176,85.882,0,0,0,0,245920,245760,0,0,5013,3333
2.235,12.291,85.475,0,0,0,0,271200,271310,0,0,4501,3624
2.747,11.538,84.615,1.099,0,0,36864,278642,278802,0,0,4264,3736
2.247,9.551,88.202,0,0,0,0,285600,285440,0,0,4199,3813
2.809,10.674,86.517,0,0,0,0,276480,276640,0,0,4365,3719
2.809,14.607,79.213,3.371,0,0,94208,248640,248640,0,0,5071,3391
2.809,14.607,82.584,0,0,0,0,246880,246880,0,0,5071,3367
2.825,12.994,81.921,2.260,0,0,12288,242240,242240,0,0,4903,3306
2.809,14.607,82.584,0,0,0,0,246880,246880,0,0,5041,3366
2.339,11.111,86.550,0,0,0,0,246240,246080,0,0,5040,3385
2.339,12.281,85.380,0,0,0,28672,246560,246560,0,0,5033,3380
2.890,11.561,85.549,0,0,0,0,245600,245600,0,0,5015,3343
1.149,14.368,82.759,1.724,0,0,32768,241120,241280,0,0,4941,3312
3.846,15.385,80.769,0,0,0,0,245280,245120,0,0,5024,3346
2.260,14.689,83.051,0,0,0,0,244960,244960,0,0,5024,3338
1.176,12.353,86.471,0,0,0,0,244960,244960,0,0,4996,3330
2.299,13.218,84.483,0,0,0,0,244800,244800,0,0,5012,3342
2.809,14.607,82.022,0.562,0,0,12288,243200,243470,0,0,5014,3378
1.136,15.341,83.523,0,0,0,0,243520,243520,0,0,5005,3350
1.724,13.793,84.483,0,0,0,0,243680,243520,0,0,4988,3330
2.809,14.045,83.146,0,0,0,28672,241920,242080,0,0,4957,3290
4.571,11.429,84,0,0,0,0,243520,243520,0,0,4984,3312
2.841,13.068,82.955,1.136,0,0,49152,237600,237600,0,0,4871,3248
3.352,14.525,82.123,0,0,0,0,242560,242400,0,0,4989,3328
1.724,13.218,85.057,0,0,0,0,240800,240960,0,0,4933,3296
3.390,13.559,83.051,0,0,0,4096,240960,240800,0,0,4953,3313
3.409,12.500,84.091,0,0,0,0,239360,239200,0,0,4914,3280
2.286,12.571,82.857,2.286,0,0,12288,236722,236882,0,0,4878,3262
2.890,11.561,85.549,0,0,0,0,240960,240800,0,0,4932,3294
2.809,14.045,83.146,0,0,0,0,240160,240160,0,0,4944,3315
2.809,15.169,82.022,0,0,0,3145728,418752,418752,0,0,4836,3240
2.260,14.124,83.616,0,0,0,0,421920,421920,0,0,4823,3230
2.747,15.934,80.220,1.099,0,0,28672,411840,412128,0,0,4723,3154
2.825,14.124,83.051,0,0,0,0,418752,418752,0,0,4785,3244
1.705,14.205,84.091,0,0,0,0,421056,421056,0,0,4819,3250
3.429,12.571,84,0,0,0,0,414144,414144,0,0,4745,3166
3.191,14.362,82.447,0,0,0,0,493344,493056,0,0,4213,3665
3.315,14.365,81.215,1.105,0,0,12288,413568,413856,0,0,4729,3175
2.299,13.218,84.483,0,0,0,0,412704,412704,0,0,4727,3157
2.857,12.571,84.571,0,0,0,0,412704,412704,0,0,4721,3159
1.685,15.169,83.146,0,0,0,0,412992,412992,0,0,4731,3136
2.326,12.209,85.465,0,0,0,0,404928,404640,0,0,4618,3071
2.186,12.022,85.246,0.546,0,0,12288,511488,511776,0,0,4080,3779
3.867,14.365,81.768,0,0,0,0,422208,421920,0,0,4589,3204
2.222,12.222,85.556,0,0,0,0,480960,480960,0,0,4347,3587
2.841,13.636,83.523,0,0,0,28672,405216,405504,0,0,4568,3083
2.874,12.644,84.483,0,0,0,24576,409824,409824,0,0,4631,3136
3.390,13.559,81.921,1.130,0,0,12288,392832,392832,0,0,4519,3023
5.028,12.849,82.123,0,0,0,0,404928,404928,0,0,4652,3099
3.429,12.571,84,0,0,0,0,399456,399168,0,0,4583,3058
3.846,15.934,80.220,0,0,0,0,396864,396974,0,0,4589,3057
2.247,15.169,82.584,0,0,0,1900544,401184,401184,0,0,4634,3103
4.494,12.360,81.461,1.685,0,0,20480,391968,392256,0,0,4517,3011
3.448,12.644,83.908,0,0,0,0,394848,394560,0,0,4529,3011
3.352,14.525,82.123,0,0,0,0,400978,401266,0,0,4633,3107
3.889,15,81.111,0,0,0,0,397234,396946,0,0,4565,3022
3.488,11.047,85.465,0,0,0,0,407520,407520,0,0,4517,3122
1.685,16.292,81.461,0.562,0,0,12288,391392,391392,0,0,4511,3012
2.825,14.124,83.051,0,0,0,0,403488,403776,0,0,4621,3080
2.941,10.588,86.471,0,0,0,0,402048,402048,0,0,4594,3071
3.352,15.084,81.564,0,0,0,0,389664,389664,0,0,4474,2951
2.890,12.139,84.971,0,0,0,0,397728,397440,0,0,4562,3035
3.429,13.143,82.286,1.143,0,0,12288,389952,389952,0,0,4485,2980
3.371,14.607,82.022,0,0,0,0,393120,393408,0,0,4528,3020
4.972,14.917,80.110,0,0,0,0,402080,402336,0,0,4433,2984
2.809,15.730,81.461,0,0,0,0,739840,739840,0,0,4499,2978
2.841,14.205,82.955,0,0,0,0,749088,749088,0,0,4563,3066
3.846,11.538,84.066,0.549,0,0,16384,850816,850816,0,0,3951,3362
2.222,9.444,88.333,0,0,0,0,906848,906304,0,0,3765,3532
3.315,15.470,81.215,0,0,0,0,761056,761600,0,0,4579,3079
3.763,11.290,84.946,0,0,0,0,904672,904672,0,0,3768,3543
2.732,10.383,86.885,0,0,0,0,906304,905760,0,0,3761,3531
2.247,8.427,88.764,0.562,0,0,12288,898144,898144,0,0,3731,3518
2.907,12.209,84.884,0,0,0,0,761600,762144,0,0,4577,3094
3.763,17.204,79.032,0,0,0,0,764864,764864,0,0,4565,3098
3.846,16.484,79.670,0,0,0,0,736576,736032,0,0,4485,2971
2.841,11.364,85.795,0,0,0,0,820352,820896,0,0,4224,3262
2.732,17.486,78.689,1.093,0,0,12288,741472,740928,0,0,4491,2995
3.371,14.607,82.022,0,0,0,0,746912,747456,0,0,4560,3017
3.315,16.022,80.663,0,0,0,0,746912,746368,0,0,4551,3027
3.315,9.392,87.293,0,0,0,0,899232,899232,0,0,3773,3521
3.279,16.940,79.781,0,0,0,2764800,751808,752352,0,0,4593,3040
4.787,17.021,76.596,1.596,0,0,20480,734944,734944,0,0,4496,3003
2.793,16.201,81.006,0,0,0,0,748000,748000,0,0,4536,3015
3.333,14.444,82.222,0,0,0,0,780722,780178,0,0,4452,3159
3.448,12.644,83.908,0,0,0,0,753440,753984,0,0,4547,3034
3.226,18.817,77.957,0,0,0,16384,734400,733856,0,0,4500,2989
5.495,14.835,78.571,1.099,0,0,20480,729504,729504,0,0,4477,2960
3.261,17.391,79.348,0,0,0,0,742016,742560,0,0,4536,2997
5.056,10.112,84.831,0,0,0,0,813280,812736,0,0,4197,3249
2.222,16.667,81.111,0,0,0,0,748000,748000,0,0,4574,3029
4.945,15.385,79.670,0,0,0,0,739840,740384,0,0,4508,2986
3.243,17.838,78.378,0.541,0,0,12288,735488,734944,0,0,4503,2982
3.191,19.681,77.128,0,0,0,0,743104,743104,0,0,4548,2993
2.809,15.730,81.461,0,0,0,0,739840,739840,0,0,4501,2990
2.857,13.714,83.429,0,0,0,0,745280,745280,0,0,4527,3002
1.734,14.451,83.815,0,0,0,0,734944,734944,0,0,4470,2968
3.704,17.989,76.720,1.587,0,0,16384,754528,753984,0,0,4470,3089
3.352,15.642,81.006,0,0,0,0,740384,740928,0,0,4508,2999
3.889,15,81.111,0,0,0,0,752352,751808,0,0,4596,3077
8.451,27.230,64.319,0,0,0,0,1046496,1046496,0,0,3478,2265
0.595,17.262,82.143,0,0,0,0,1056000,1056000,0,0,3395,2215
0,6.081,93.243,0.676,0,0,16384,1054944,1056000,0,0,3341,2241
5.325,13.018,81.657,0,0,0,0,1058112,1058112,0,0,3387,2238
8.187,11.111,80.702,0,0,0,0,1057056,1056000,0,0,3389,2240
8.824,33.193,57.983,0,0,0,0,1056082,1056082,0,0,3522,2225
7.619,26.190,66.190,0,0,0,0,1056000,1057056,0,0,3482,2232
3.721,32.093,63.256,0.930,0,0,12288,1052832,1051776,0,0,3485,2238
2.685,4.027,93.289,0,0,0,0,1056000,1057056,0,0,3326,2232
9.596,19.192,71.212,0,0,0,0,1141536,1141536,0,0,3417,2413
3.933,13.483,82.584,0,0,0,0,1564992,1565102,0,0,4538,3254
10.407,26.697,62.896,0,0,0,0,1085568,1084512,0,0,3600,2332
4.878,27.805,65.854,1.463,0,0,2416640,1039104,1039104,0,0,3455,2258
3.614,13.253,83.133,0,0,0,0,1056082,1057138,0,0,3376,2224
1.370,4.110,94.521,0,0,0,0,1056000,1056000,0,0,3338,2247
0,0,100,0,0,0,0,1058112,1057056,0,0,3309,2218
8.021,18.182,73.797,0,0,0,0,1056000,1056000,0,0,3426,2243
8.974,31.197,58.547,1.282,0,0,16384,1044384,1044384,0,0,3541,2236
0,13.208,86.792,0,0,0,0,1056000,1056000,0,0,3382,2221
3.509,15.205,81.287,0,0,0,0,1056000,1057056,0,0,3380,2231
2.469,12.346,85.185,0,0,0,0,1057056,1056000,0,0,3378,2215
9.167,32.917,57.917,0,0,0,0,1056000,1056000,0,0,3560,2227
9.649,29.825,59.649,0.877,0,0,28672,1040160,1041216,0,0,3505,2222
9.722,25.926,64.352,0,0,0,0,1057056,1056000,0,0,3508,2233
10.092,26.606,63.303,0,0,0,0,1056000,1056000,0,0,3525,2239
0.606,15.758,83.636,0,0,0,0,1056000,1056000,0,0,3377,2210
8.368,33.473,58.159,0,0,0,0,1056000,1056000,0,0,3556,2228
6.286,14.857,78.286,0.571,0,0,12288,1053888,1053888,0,0,3404,2239
8.333,27.315,64.352,0,0,0,0,1057056,1057056,0,0,3503,2233
6.957,33.043,60,0,0,0,0,1056000,1056000,0,0,3521,2247
6.404,25.123,68.473,0,0,0,0,1057056,1057056,0,0,3440,2217
5.682,15.909,78.409,0,0,0,0,1056000,1056000,0,0,3380,2223
7.027,17.838,74.595,0.541,0,0,12288,1049664,1049664,0,0,3382,2212
5.978,18.478,75.543,0,0,0,4096,1056000,1057056,0,0,3401,2224
7.330,20.419,72.251,0,0,0,0,1056000,1056000,0,0,3422,2229
0,0,100,0,0,0,0,1057056,1058112,0,0,3313,2216
6.587,10.778,82.635,0,0,0,0,1058112,1058112,0,0,3382,2235
3.750,8.750,85.625,1.875,0,0,12288,1039104,1038048,0,0,3310,2195
2.113,0.704,97.183,0,0,0,0,1057056,1057056,0,0,3309,2222
9.005,25.592,65.403,0,0,0,0,1057056,1057056,0,0,3495,2234
9.434,25,65.566,0,0,0,0,1061280,1062336,0,0,3507,2234
3.867,19.890,76.243,0,0,0,0,1061362,1061362,0,0,3447,2228
4.324,21.081,74.054,0.541,0,0,12288,1068672,1067616,0,0,3476,2271
4.403,6.918,88.679,0,0,0,1937408,1176384,1177440,0,0,3461,2455
5.759,19.895,74.346,0,0,0,0,1188000,1186944,0,0,3575,2469
4.545,25.253,70.202,0,0,0,0,1115136,1116192,0,0,3632,2364
4.592,24.490,70.918,0,0,0,0,1096128,1096128,0,0,3564,2300
2.732,20.765,74.317,2.186,0,0,20480,1117248,1117248,0,0,3615,2375
4.278,20.856,74.866,0,0,0,8192,1170912,1171288,0,0,3728,2487
6.897,23.645,69.458,0,0,0,0,1460640,1459208,0,0,2537,2253
4.040,24.242,71.717,0,0,0,0,1467800,1469232,0,0,2524,2245
6.736,19.689,73.575,0,0,0,0,1464936,1463578,0,0,2591,2250
1.899,8.861,87.342,1.899,0,0,24576,1421976,1423408,0,0,3023,2226
0,0,100,0,0,0,0,1432000,1430568,0,0,3302,2208
0,9.150,90.850,0,0,0,0,1432000,1433432,0,0,3352,2212
12.605,28.992,58.403,0,0,0,0,1432000,1430568,0,0,3513,2217
8.134,24.880,66.986,0,0,0,0,1432000,1432000,0,0,3446,2212
5.521,8.589,84.663,1.227,0,0,12288,1420626,1420626,0,0,3326,2201
0.625,11.875,87.500,0,0,0,0,1432000,1432000,0,0,3356,2211
10.667,27.556,61.778,0,0,0,0,1432000,1432000,0,0,3494,2247
0,2.778,97.222,0,0,0,0,1430568,1432000,0,0,3307,2202
0.709,0,99.291,0,0,0,0,1432000,1432000,0,0,3295,2201
0,0,99.281,0.719,0,0,12288,1429136,1427704,0,0,3308,2212
1.734,17.341,80.925,0,0,0,0,1432000,1432000,0,0,3397,2212
8.889,29.333,61.778,0,0,0,0,1430568,1432000,0,0,3508,2227
0.680,4.082,95.238,0,0,0,0,1432000,1432000,0,0,3313,2208
3.646,23.438,72.917,0,0,0,0,1432000,1430568,0,0,3428,2209
14.286,27.311,57.983,0.420,0,0,12288,1421976,1421976,0,0,3535,2222
9.402,30.769,59.829,0,0,0,0,1433432,1433432,0,0,3531,2218
