"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-aesgcm-e-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","18 Oct 2019 02:41:09 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.749,39.297,58.704,0.250,0,7902.701,22960.223,0,0,0,0,6737.513,850.503
1.714,13.143,85.143,0,0,0,0,252480,252480,0,0,4657,3443
2.857,10.286,86.857,0,0,0,0,287840,287680,0,0,4490,3836
2.247,12.921,84.831,0,0,0,0,272480,272480,0,0,4638,3660
1.765,11.765,86.471,0,0,0,0,238400,238670,0,0,4898,3287
4.070,8.721,86.047,1.163,0,0,36864,291360,291360,0,0,4743,3897
3.867,14.917,81.215,0,0,0,0,240242,240082,0,0,4957,3319
3.315,15.470,81.215,0,0,0,0,237920,237920,0,0,4906,3251
2.778,15.556,81.667,0,0,0,0,239360,239360,0,0,4925,3277
4.444,12.222,79.444,3.889,0,0,118784,256800,256800,0,0,4664,3500
1.149,14.368,83.333,1.149,0,0,12288,234720,234880,0,0,4842,3234
2.890,12.139,84.971,0,0,0,0,238240,238080,0,0,4885,3271
2.924,11.111,85.965,0,0,0,0,237600,237600,0,0,4859,3243
1.124,14.607,84.270,0,0,0,0,248320,248320,0,0,4716,3371
2.260,15.254,82.486,0,0,0,0,236640,236800,0,0,4890,3269
2.825,13.559,82.486,1.130,0,0,12288,233120,233120,0,0,4792,3194
4,12,84,0,0,0,0,237760,237760,0,0,4879,3280
1.754,12.281,85.965,0,0,0,0,237120,236960,0,0,4850,3248
2.222,16.111,81.667,0,0,0,0,236320,236430,0,0,4868,3266
2.841,11.932,85.227,0,0,0,32768,255520,255680,0,0,4623,3498
2.286,13.143,82.857,1.714,0,0,32768,232800,232800,0,0,4775,3201
2.247,14.607,83.146,0,0,0,0,237280,237120,0,0,4894,3268
3.448,12.644,83.908,0,0,0,0,232320,232480,0,0,4773,3184
1.705,14.205,84.091,0,0,0,0,233042,233042,0,0,4782,3184
2.260,14.689,83.051,0,0,0,16384,234720,234560,0,0,4837,3227
3.352,14.525,80.447,1.676,0,0,32768,229600,229760,0,0,4744,3174
3.911,13.408,82.682,0,0,0,0,233920,233760,0,0,4822,3231
2.907,11.628,85.465,0,0,0,0,234240,234400,0,0,4809,3212
2.273,14.205,83.523,0,0,0,0,231200,231200,0,0,4747,3172
3.315,15.470,81.215,0,0,0,8192,234240,234080,0,0,4869,3305
1.705,13.636,82.955,1.705,0,0,20480,226080,226080,0,0,4676,3129
4.420,14.365,81.215,0,0,0,0,233600,233760,0,0,4825,3229
1.705,14.773,83.523,0,0,0,0,230080,230080,0,0,4733,3149
4,12,84,0,0,0,0,226720,226560,0,0,4661,3093
4.865,14.054,81.081,0,0,0,0,429888,429888,0,0,4136,3337
1.786,11.310,85.119,1.786,0,0,3219456,399456,399456,0,0,4380,3056
1.676,13.966,84.358,0,0,0,0,445824,446112,0,0,4315,3359
2.793,16.201,81.006,0,0,0,0,395712,395712,0,0,4548,3008
2.778,16.111,81.111,0,0,0,0,397152,396864,0,0,4572,3029
4.046,12.139,83.815,0,0,0,0,393984,393984,0,0,4513,3011
4.945,14.835,79.121,1.099,0,0,12288,385344,385632,0,0,4434,2931
3.889,15.556,80.556,0,0,0,0,403488,403200,0,0,4632,3098
3.352,15.642,81.006,0,0,0,0,396288,396576,0,0,4543,3011
2.747,17.033,80.220,0,0,0,0,394560,394272,0,0,4521,2994
2.186,18.033,79.781,0,0,0,0,407808,408096,0,0,4494,3106
2.825,14.689,81.921,0.565,0,0,12288,391968,391680,0,0,4512,3009
2.841,14.773,82.386,0,0,0,0,398386,398674,0,0,4608,3099
2.857,14.286,82.857,0,0,0,0,396576,396398,0,0,4567,3035
3.297,16.484,80.220,0,0,0,0,401760,401760,0,0,4622,3054
2.857,14.286,82.857,0,0,0,0,396370,396370,0,0,4560,3037
2.825,14.689,81.921,0.565,0,0,12288,402048,402048,0,0,4615,3070
4.420,15.470,80.110,0,0,0,0,399456,399456,0,0,4613,3066
2.174,18.478,79.348,0,0,0,0,396288,396576,0,0,4576,3024
2.825,15.254,81.921,0,0,0,0,395712,396000,0,0,4548,3010
4.396,15.934,79.670,0,0,0,0,397728,397440,0,0,4583,3044
2.674,19.251,76.471,1.604,0,0,57344,387936,387936,0,0,4509,2969
4,13.143,82.857,0,0,0,0,398304,398304,0,0,4580,3049
2.857,13.714,83.429,0,0,0,0,394272,394560,0,0,4523,2999
3.371,15.169,81.461,0,0,0,0,399168,398880,0,0,4591,3054
4.444,15,80.556,0,0,0,0,391968,391968,0,0,4519,3007
3.409,13.068,82.386,1.136,0,0,12288,397440,397440,0,0,4556,3028
2.825,15.254,81.921,0,0,0,0,393408,393408,0,0,4537,3050
3.371,15.169,81.461,0,0,0,0,393984,394272,0,0,4529,3002
3.804,17.391,78.804,0,0,0,0,394272,393984,0,0,4538,2994
4.348,16.848,78.804,0,0,0,0,398016,398016,0,0,4585,3048
2.793,15.084,80.447,1.676,0,0,2699264,393984,394272,0,0,4535,3025
3.846,16.484,79.670,0,0,0,0,396288,396288,0,0,4567,3055
3.371,15.169,81.461,0,0,0,0,393984,393984,0,0,4508,3003
2.809,15.169,82.022,0,0,0,0,406162,405874,0,0,4550,3086
2.762,17.127,80.110,0,0,0,0,394560,394560,0,0,4548,3031
3.518,26.131,69.849,0.503,0,0,24576,545472,546016,0,0,3619,2462
3.977,15.341,80.682,0,0,0,0,614720,614176,0,0,3490,2472
2.392,30.144,67.464,0,0,0,0,598944,598944,0,0,3532,2436
3.500,27.500,69,0,0,0,0,556512,556512,0,0,3534,2283
4.211,23.158,72.632,0,0,0,0,553792,553792,0,0,3500,2272
3.590,25.641,69.231,1.538,0,0,20480,545088,545088,0,0,3462,2234
5.528,25.126,69.347,0,0,0,0,555424,555424,0,0,3549,2293
2.765,34.101,63.134,0,0,0,0,548896,548896,0,0,3526,2239
3.883,29.126,66.990,0,0,0,0,549440,549440,0,0,3518,2249
5.556,17.778,76.667,0,0,0,0,554336,554880,0,0,3477,2279
6.806,20.942,71.728,0.524,0,0,12288,551072,551072,0,0,3479,2252
7.107,23.350,69.543,0,0,0,0,554880,554336,0,0,3530,2284
4.854,28.155,66.990,0,0,0,0,551072,551072,0,0,3517,2247
3.226,22.581,74.194,0,0,0,0,548352,548896,0,0,3468,2236
2.475,29.703,67.822,0,0,0,0,548352,548352,0,0,3504,2247
3.209,22.995,73.262,0.535,0,0,12288,546720,546720,0,0,3441,2243
7.487,18.717,73.797,0,0,0,0,554336,553792,0,0,3494,2301
3.608,25.773,70.619,0,0,0,0,549984,549984,0,0,3495,2235
4.478,26.866,68.657,0,0,0,0,549440,549440,0,0,3465,2226
4.103,25.641,70.256,0,0,0,0,547808,548352,0,0,3463,2264
3.867,19.890,75.691,0.552,0,0,12288,548352,547808,0,0,3411,2228
4.688,23.438,71.875,0,0,0,0,550066,550066,0,0,3467,2262
2.674,23.529,73.797,0,0,0,0,549522,549522,0,0,3451,2256
3.382,30.435,66.184,0,0,0,0,546720,547264,0,0,3476,2244
7,24,69,0,0,0,0,549440,548896,0,0,3500,2253
6.383,19.681,72.872,1.064,0,0,12288,547264,547264,0,0,3454,2239
2.198,22.527,75.275,0,0,0,2076672,547808,547808,0,0,3459,2269
5.618,16.854,77.528,0,0,0,0,548896,548896,0,0,3432,2241
5.699,22.798,71.503,0,0,0,0,548896,548896,0,0,3462,2230
4.839,20.968,74.194,0,0,0,0,540736,540736,0,0,3413,2231
5.677,34.061,58.952,1.310,0,0,20480,536384,536384,0,0,3487,2199
3.955,18.079,77.966,0,0,0,8192,547264,547264,0,0,3433,2252
2.825,19.774,77.401,0,0,0,0,547808,547918,0,0,3441,2241
4.891,20.109,75,0,0,0,0,546720,546720,0,0,3428,2223
1.942,31.068,66.990,0,0,0,0,547264,547808,0,0,3505,2269
5.911,25.616,66.995,1.478,0,0,12288,540736,540192,0,0,3453,2225
5.525,18.232,76.243,0,0,0,0,550528,550528,0,0,3466,2272
3.980,27.861,68.159,0,0,0,0,547264,547264,0,0,3481,2232
3.429,17.714,78.857,0,0,0,0,548896,548896,0,0,3424,2230
4.278,21.925,73.797,0,0,0,0,548896,548896,0,0,3480,2280
5.464,19.672,74.317,0.546,0,0,12288,545088,545632,0,0,3443,2252
3.810,30.476,65.714,0,0,0,0,553248,552704,0,0,3582,2341
2.688,23.118,74.194,0,0,0,0,548352,548896,0,0,3442,2253
4.124,25.258,70.619,0,0,0,0,549522,549522,0,0,3478,2274
