"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","18 Oct 2019 01:36:58 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.751,38.219,59.770,0.260,0,9392.454,22979.066,0,0,0,0,7020.739,857.414
3.243,12.432,84.324,0,0,0,0,249920,249920,0,0,4032,3379
2.717,11.413,85.870,0,0,0,0,262720,262560,0,0,3961,3519
3.825,9.836,86.339,0,0,0,0,256480,256480,0,0,3995,3428
2.286,13.143,84.571,0,0,0,0,224160,224320,0,0,4371,3066
2.186,12.022,85.246,0.546,0,0,32768,256160,256270,0,0,3965,3448
2.793,7.821,89.385,0,0,0,0,273042,273042,0,0,3840,3614
2.717,10.326,86.957,0,0,0,0,276000,276000,0,0,3878,3656
1.685,15.169,83.146,0,0,0,0,233120,232960,0,0,4578,3167
2.825,7.910,89.266,0,0,0,0,270400,270560,0,0,3998,3599
2.841,13.636,82.955,0.568,0,0,12288,235520,235360,0,0,4857,3246
4,12,80,4,0,0,1069056,237760,237920,0,0,4915,3295
1.705,14.205,84.091,0,0,0,0,237120,237120,0,0,4874,3225
3.371,10.674,85.955,0,0,0,0,265120,264960,0,0,4521,3570
1.695,14.689,83.616,0,0,0,0,243200,243360,0,0,4995,3337
1.676,15.642,81.006,1.676,0,0,28672,240480,240480,0,0,4948,3290
2.247,15.169,82.584,0,0,0,0,243840,243680,0,0,4998,3330
2.874,12.644,84.483,0,0,0,0,243520,243680,0,0,4982,3315
1.724,13.793,84.483,0,0,0,0,245120,245120,0,0,5007,3321
2.890,12.139,84.971,0,0,0,0,245120,244960,0,0,5025,3358
1.149,14.368,83.333,1.149,0,0,12288,243520,243520,0,0,4993,3332
2.890,12.139,84.971,0,0,0,0,245440,245600,0,0,5023,3380
4.494,12.921,82.584,0,0,0,0,244960,244910,0,0,5022,3349
1.156,13.873,84.971,0,0,0,0,245120,245280,0,0,5017,3332
1.676,16.760,81.564,0,0,0,0,245760,245760,0,0,5060,3376
1.744,13.372,84.884,0,0,0,12288,244960,244800,0,0,5014,3346
3.448,12.069,84.483,0,0,0,0,244320,244480,0,0,4996,3331
2.857,13.143,84,0,0,0,0,245280,245120,0,0,5015,3325
1.149,14.368,84.483,0,0,0,0,245920,246080,0,0,5024,3341
2.841,13.636,83.523,0,0,0,0,246560,246400,0,0,5050,3377
5,13.333,80.556,1.111,0,0,12288,245120,245280,0,0,5023,3354
2.312,12.717,84.971,0,0,0,0,245440,245440,0,0,5020,3355
2.778,15.556,81.667,0,0,0,0,247360,247360,0,0,5062,3379
2.247,16.292,81.461,0,0,0,0,359634,359474,0,0,4608,3151
2.841,14.205,82.955,0,0,0,0,392544,392832,0,0,4510,3010
2.825,13.559,82.486,1.130,0,0,16384,402912,402624,0,0,4350,3057
3.825,15.847,80.328,0,0,0,0,401760,402048,0,0,4641,3083
4.372,14.754,80.874,0,0,0,0,412704,412704,0,0,4728,3137
2.809,14.607,82.584,0,0,0,0,416736,416448,0,0,4776,3177
2.339,11.696,85.965,0,0,0,0,419616,419616,0,0,4787,3203
1.124,15.169,83.146,0.562,0,0,12288,442080,442368,0,0,4647,3355
2.198,15.385,82.418,0,0,0,2863104,443808,443520,0,0,4762,3373
2.907,11.628,85.465,0,0,0,0,434592,434592,0,0,4956,3307
2.825,14.124,83.051,0,0,0,0,435744,435744,0,0,4967,3301
3.488,11.628,84.884,0,0,0,0,434304,434592,0,0,4950,3299
1.765,11.765,84.706,1.765,0,0,20480,432000,432000,0,0,4899,3268
1.744,12.791,85.465,0,0,0,24576,438624,438624,0,0,5008,3352
