"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-chachapoly-e-1500-1500-dstat.csv",,,,"Date:","18 Oct 2019 04:27:42 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.748,40.474,57.539,0.239,0,6262.178,22895.952,0,0,0,1.336,6401.000,842.624
3.371,14.045,81.461,1.124,0,0,36864,260800,260640,0,0,5354,3614
3.933,14.045,82.022,0,0,0,0,263680,263840,0,0,5391,3614
2.260,15.254,82.486,0,0,0,0,263360,263200,0,0,5367,3580
2.809,14.607,82.584,0,0,0,0,263040,263310,0,0,5367,3593
2.260,14.689,83.051,0,0,0,0,269280,269280,0,0,5282,3664
3.911,13.966,81.564,0.559,0,0,16384,262162,262162,0,0,5351,3597
2.841,14.205,82.955,0,0,0,0,262400,262240,0,0,5358,3575
1.734,13.295,84.971,0,0,0,0,262560,262720,0,0,5361,3601
3.488,11.047,85.465,0,0,0,0,261920,261760,0,0,5344,3616
3.371,14.607,82.022,0,0,0,0,261920,262080,0,0,5351,3578
3.977,12.500,82.955,0.568,0,0,16384,260640,260640,0,0,5327,3555
2.286,13.714,84,0,0,0,0,261120,261120,0,0,5334,3568
2.299,13.218,83.333,1.149,0,0,73728,261120,261120,0,0,5345,3565
2.260,14.689,83.051,0,0,0,0,259360,259360,0,0,5309,3543
2.793,15.084,82.123,0,0,0,0,262080,261920,0,0,5363,3585
2.890,11.561,83.815,1.734,0,0,16384,254720,254880,0,0,5211,3494
3.352,14.525,82.123,0,0,0,0,258400,258400,0,0,5304,3548
2.793,15.084,82.123,0,0,0,0,260640,260640,0,0,5329,3561
1.130,15.254,83.616,0,0,0,0,259360,259360,0,0,5296,3541
4.469,13.408,82.123,0,0,0,0,259360,259470,0,0,5324,3572
1.705,14.773,82.955,0.568,0,0,16384,258400,258400,0,0,5283,3539
2.825,14.124,83.051,0,0,0,0,259680,259520,0,0,5328,3568
2.286,13.143,84.571,0,0,0,12288,258720,258720,0,0,5248,3534
2.222,13.333,84.444,0,0,0,12288,286880,286880,0,0,4861,3821
2.747,15.934,81.319,0,0,0,0,256000,256000,0,0,5237,3511
2.260,12.994,82.486,2.260,0,0,45056,248480,248640,0,0,5083,3410
2.825,13.559,83.616,0,0,0,0,252402,252242,0,0,5167,3464
2.286,12.571,85.143,0,0,0,0,252480,252480,0,0,5149,3431
2.841,13.068,84.091,0,0,0,8192,252160,252320,0,0,5149,3448
2.825,13.559,83.616,0,0,0,0,252800,252960,0,0,5187,3541
2.326,11.047,83.140,3.488,0,49152,28672,282048,281888,0,0,4806,3287
3.297,14.835,81.868,0,0,0,0,442080,442080,0,0,5045,3368
2.857,12,85.143,0,0,0,0,445536,445536,0,0,5053,3371
