"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-chachapoly-e-frag-1500-dstat.csv",,,,"Date:","18 Oct 2019 00:12:02 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.689,35.827,62.198,0.286,0,12511.897,23116.628,0,0,0,0,5971.184,866.176
2.762,14.917,82.320,0,0,0,0,241280,241440,0,0,4991,3368
1.657,13.812,84.530,0,0,0,0,258080,258080,0,0,4709,3494
3.352,12.849,83.799,0,0,0,0,244960,244800,0,0,4885,3337
1.105,10.497,88.398,0,0,0,0,290880,291150,0,0,4090,3855
3.297,13.187,82.418,1.099,0,0,32768,245920,245760,0,0,4733,3381
2.747,12.637,84.615,0,0,0,0,266642,266642,0,0,4611,3604
3.825,12.568,83.607,0,0,0,0,258080,258080,0,0,4687,3513
2.747,15.385,81.868,0,0,0,0,237120,237280,0,0,4877,3237
2.778,13.889,83.333,0,0,0,0,240320,240160,0,0,4939,3275
2.809,14.045,83.146,0,0,0,12288,238080,238080,0,0,4912,3273
1.630,17.391,80.978,0,0,0,0,240640,240640,0,0,4957,3293
2.778,14.444,82.778,0,0,0,0,237760,237920,0,0,4908,3274
2.247,14.045,83.708,0,0,0,28672,238880,238720,0,0,4925,3266
2.688,11.828,85.484,0,0,0,0,285440,285600,0,0,4205,3793
2.703,11.892,83.784,1.622,0,0,32768,272960,272960,0,0,4290,3657
3.352,13.408,83.240,0,0,0,0,239360,239200,0,0,4914,3280
2.247,14.045,83.708,0,0,0,0,241280,241390,0,0,4949,3313
2.703,16.216,78.378,2.703,0,0,73728,242240,242400,0,0,4995,3326
3.279,14.754,81.967,0,0,0,0,238240,238240,0,0,4901,3257
3.315,14.365,80.663,1.657,0,0,12288,235360,235200,0,0,4850,3241
3.371,12.360,84.270,0,0,0,0,239680,239680,0,0,4923,3290
2.732,15.847,81.421,0,0,0,0,241120,241120,0,0,4965,3316
2.703,12.432,84.865,0,0,0,16384,276320,276320,0,0,4408,3695
2.747,15.385,81.868,0,0,0,0,237280,237440,0,0,4886,3233
3.315,13.812,81.768,1.105,0,0,12288,238880,238880,0,0,4927,3290
2.778,14.444,82.778,0,0,0,0,242240,242080,0,0,4974,3312
4.372,14.208,81.421,0,0,0,0,241600,241600,0,0,5013,3400
3.804,14.674,81.522,0,0,0,8192,240160,240320,0,0,4953,3287
2.857,12,85.143,0,0,0,0,239200,239040,0,0,4906,3265
2.809,13.483,82.022,1.685,0,0,20480,234560,234720,0,0,4833,3221
4.396,13.187,82.418,0,0,0,0,242720,242720,0,0,4990,3335
3.352,13.408,83.240,0,0,0,0,240480,240480,0,0,4965,3333
3.763,13.441,82.796,0,0,0,3141632,418848,418976,0,0,4497,3590
2.747,15.385,81.868,0,0,0,0,439776,439488,0,0,5014,3323
3.243,14.595,80.541,1.622,0,0,28672,444960,444960,0,0,4818,3362
2.174,11.413,86.413,0,0,0,0,514944,514944,0,0,4161,3806
2.273,13.068,84.659,0,0,0,0,440640,440640,0,0,5023,3357
2.793,13.966,83.240,0,0,0,0,437760,438048,0,0,4972,3299
2.762,14.365,82.873,0,0,0,0,439488,439200,0,0,5003,3320
2.857,12,84,1.143,0,0,12288,432288,432576,0,0,4920,3286
2.286,12,85.714,0,0,0,0,441216,441216,0,0,5014,3350
2.857,12,85.143,0,0,0,0,438048,437760,0,0,4968,3322
3.390,12.429,84.181,0,0,0,0,439776,440064,0,0,4994,3326
5.114,9.659,85.227,0,0,0,0,440146,440146,0,0,4989,3329
3.933,12.360,82.584,1.124,0,0,12288,435456,435168,0,0,4954,3316
2.688,14.516,82.796,0,0,0,0,476352,476352,0,0,4543,3549
3.409,11.932,84.659,0,0,0,0,435456,435854,0,0,4977,3338
2.273,12.500,85.227,0,0,0,0,437184,436896,0,0,4970,3327
3.371,12.921,83.708,0,0,0,0,434592,434592,0,0,4953,3297
3.243,15.676,80.541,0.541,0,0,12288,434674,434962,0,0,4981,3331
2.273,13.068,84.659,0,0,0,0,438336,438336,0,0,4985,3317
2.825,12.429,84.746,0,0,0,0,435744,435744,0,0,4954,3301
2.809,13.483,83.708,0,0,0,0,436032,436032,0,0,4964,3289
2.762,13.260,79.558,4.420,0,0,2015232,414144,414144,0,0,4741,3157
2.793,13.408,82.123,1.676,0,0,20480,427392,427104,0,0,4877,3239
4.396,13.187,82.418,0,0,0,0,436608,436608,0,0,4984,3309
3.315,14.365,82.320,0,0,0,0,434304,434304,0,0,4960,3307
2.762,14.365,82.873,0,0,0,0,430560,430848,0,0,4916,3263
3.409,11.364,85.227,0,0,0,0,432576,432288,0,0,4930,3280
2.809,13.483,83.146,0.562,0,0,12288,432576,432864,0,0,4949,3301
3.279,14.754,81.967,0,0,0,0,432288,432288,0,0,4941,3278
1.667,15.556,82.778,0,0,0,0,429696,429696,0,0,4930,3272
2.747,10.440,86.813,0,0,0,0,501696,501696,0,0,4273,3695
2.299,12.069,85.632,0,0,0,0,428256,428256,0,0,4878,3248
4.372,14.208,80.328,1.093,0,0,16384,458048,458304,0,0,4757,3249
3.867,15.470,80.663,0,0,0,0,734944,734944,0,0,4500,3016
4.918,15.301,79.781,0,0,0,0,737664,737120,0,0,4518,3021
2.286,14.857,82.857,0,0,0,0,722976,722976,0,0,4380,2917
3.846,15.934,80.220,0,0,0,0,736032,736032,0,0,4504,2987
3.784,16.757,78.919,0.541,0,0,12288,732768,732768,0,0,4485,2999
4.444,14.444,81.111,0,0,0,0,744192,744192,0,0,4548,3020
2.732,15.301,81.967,0,0,0,0,788256,788256,0,0,4290,3159
4.469,13.966,81.564,0,0,0,0,742016,742016,0,0,4537,3013
3.243,17.838,78.919,0,0,0,0,727328,727328,0,0,4467,2959
2.703,12.432,84.324,0.541,0,0,12288,869312,869312,0,0,3927,3442
5.435,7.609,86.957,0,0,0,0,914464,914464,0,0,3798,3584
2.210,9.392,88.398,0,0,0,0,913376,913376,0,0,3819,3594
5.914,15.054,79.032,0,0,0,0,755072,755072,0,0,4531,3050
2.198,9.341,88.462,0,0,0,0,911744,911744,0,0,3765,3557
3.243,13.514,82.162,1.081,0,0,12288,824160,824160,0,0,4255,3328
4.348,13.043,82.609,0,0,0,0,817632,817632,0,0,4235,3260
3.297,10.989,85.714,0,0,0,0,858432,858432,0,0,3990,3385
2.688,10.753,86.559,0,0,0,0,908562,909106,0,0,3779,3551
3.243,13.514,83.243,0,0,0,2879488,842656,842656,0,0,4126,3352
4.444,12.222,82.222,1.111,0,0,20480,767040,766496,0,0,4309,3098
3.933,14.045,82.022,0,0,0,0,736032,736032,0,0,4477,2980
2.688,13.441,83.871,0,0,0,0,854080,854080,0,0,4011,3380
3.889,10,86.111,0,0,0,0,844832,844832,0,0,4126,3333
4.469,11.732,83.799,0,0,0,0,791520,792064,0,0,4319,3158
2.762,16.575,79.558,1.105,0,0,40960,734400,733856,0,0,4495,3012
4.324,16.216,79.459,0,0,0,0,739840,739840,0,0,4505,2992
2.198,18.132,79.670,0,0,0,0,730592,730592,0,0,4466,2968
4.494,13.483,82.022,0,0,0,0,726784,726784,0,0,4429,2963
3.846,15.934,80.220,0,0,0,0,733856,733856,0,0,4477,2987
1.639,18.579,78.142,1.639,0,0,12288,720256,720256,0,0,4431,2943
2.717,17.935,79.348,0,0,0,0,746912,746912,0,0,4567,3024
3.889,9.444,86.667,0,0,0,0,853536,853536,0,0,3996,3390
3.352,15.084,81.564,0,0,0,0,739840,739840,0,0,4506,2997
5.128,19.487,75.385,0,0,0,0,738834,739378,0,0,4559,3011
4.787,17.021,76.596,1.596,0,0,20480,1034944,1034400,0,0,4107,2958
2.273,15.909,81.818,0,0,0,0,1328448,1329504,0,0,4202,2773
3.867,16.575,79.558,0,0,0,0,1339008,1339008,0,0,4227,2804
4.813,18.182,77.005,0,0,0,0,1326336,1325280,0,0,4206,2757
3.279,18.033,78.689,0,0,0,0,1344288,1344398,0,0,4265,2813
3.743,18.717,77.005,0.535,0,0,12288,1318944,1318944,0,0,4201,2783
4.372,16.940,78.689,0,0,0,0,1340064,1340064,0,0,4238,2820
4.420,16.022,79.558,0,0,0,0,1335840,1335840,0,0,4222,2791
2.198,18.132,79.670,0,0,0,0,1318944,1320000,0,0,4166,2718
4.324,17.838,77.838,0,0,0,0,1328448,1328448,0,0,4221,2778
5.714,11.429,82.286,0.571,0,0,12288,1343232,1343232,0,0,4236,2816
2.273,15.909,81.818,0,0,0,0,1331616,1330560,0,0,4191,2776
5.405,16.216,78.378,0,0,0,0,1334784,1334784,0,0,4233,2789
6.952,16.043,77.005,0,0,0,0,1334784,1334784,0,0,4228,2819
5.263,18.421,76.316,0,0,0,0,1329504,1330560,0,0,4220,2799
4.255,15.426,79.255,1.064,0,0,2621440,1513248,1512192,0,0,3961,3142
3.933,14.607,81.461,0,0,0,0,1311552,1312608,0,0,4142,2750
5.291,18.519,76.190,0,0,0,0,1321056,1321056,0,0,4181,2751
3.261,13.587,83.152,0,0,0,0,1604064,1603008,0,0,3977,3270
4.520,12.994,82.486,0,0,0,0,1342176,1342176,0,0,4203,2749
2.793,17.318,79.330,0.559,0,0,12288,1288320,1288320,0,0,4097,2739
3.977,13.636,82.386,0,0,0,0,1339008,1340064,0,0,4205,2760
2.235,17.318,80.447,0,0,0,0,1302130,1302130,0,0,4111,2704
3.352,15.642,81.006,0,0,0,0,1323168,1322112,0,0,4150,2721
4.396,15.934,79.670,0,0,0,0,1324224,1325280,0,0,4169,2727
3.315,17.127,78.453,1.105,0,0,12288,1302048,1302048,0,0,4124,2722
3.333,16.111,80.556,0,0,0,0,1334784,1334784,0,0,4216,2772
5.376,16.667,77.957,0,0,0,0,1313664,1312608,0,0,4164,2743
2.874,14.368,82.759,0,0,0,0,1304160,1305216,0,0,4098,2689
5.233,11.047,83.721,0,0,0,0,1306272,1305216,0,0,4087,2680
3.279,16.940,79.235,0.546,0,0,12288,1336896,1337952,0,0,4232,2791
5.759,18.848,75.393,0,0,0,0,1308384,1308384,0,0,4177,2726
4.494,14.045,81.461,0,0,0,0,1316832,1316832,0,0,4145,2714
3.804,17.935,78.261,0,0,0,0,1325280,1325280,0,0,4181,2736
3.448,12.644,83.908,0,0,0,0,1346400,1346400,0,0,4204,2751
5.085,13.559,80.791,0.565,0,0,12288,1286208,1285152,0,0,4060,2662
4.469,14.525,81.006,0,0,0,0,1347456,1348512,0,0,4243,2774
2.326,13.953,83.721,0,0,0,0,1290432,1289376,0,0,4054,2672
3.889,16.111,80,0,0,0,0,1286208,1286208,0,0,4064,2653
4.420,16.022,79.558,0,0,0,0,1293600,1293600,0,0,4055,2651
5.650,15.254,78.531,0.565,0,0,16384,1575976,1575976,0,0,3827,2555
3.488,13.953,82.558,0,0,0,0,1639640,1639640,0,0,3824,2525
5.882,18.182,75.936,0,0,0,0,1658256,1659688,0,0,3895,2559
2.286,17.143,80.571,0,0,0,0,1658256,1658256,0,0,3868,2532
3.867,17.680,78.453,0,0,0,0,1675440,1674008,0,0,3923,2555
4.865,17.838,76.216,1.081,0,0,12288,1653960,1653960,0,0,3891,2544
3.529,13.529,82.941,0,0,0,2412544,1653960,1653960,0,0,3876,2570
3.911,17.318,78.771,0,0,0,0,1665416,1665416,0,0,3913,2575
5.789,19.474,74.737,0,0,0,0,1674090,1675522,0,0,3952,2577
4.348,18.478,77.174,0,0,0,0,1699784,1699784,0,0,3977,2595
4.348,17.391,76.630,1.630,0,0,28672,1672576,1672576,0,0,3936,2569
4.972,17.127,77.901,0,0,0,0,1674008,1672576,0,0,3947,2579
6.250,13.068,80.682,0,0,0,0,1685464,1685464,0,0,3925,2584
7.527,15.591,76.882,0,0,0,0,1682600,1682600,0,0,3946,2576
4.233,15.344,80.423,0,0,0,0,1989048,1989048,0,0,3687,2986
6.250,19.271,73.958,0.521,0,0,12288,1716968,1716968,0,0,4052,2644
5.028,15.642,79.330,0,0,0,0,1696920,1696920,0,0,3966,2609
6.989,16.667,76.344,0,0,0,0,1689760,1689760,0,0,3966,2612
4.494,15.730,79.775,0,0,0,0,1714104,1714104,0,0,4002,2619
5.028,15.642,79.330,0,0,0,0,1695488,1695488,0,0,3965,2594
4.233,20.635,74.603,0.529,0,0,12288,1688328,1689760,0,0,3981,2605
4.348,17.935,77.717,0,0,0,0,1719914,1718482,0,0,4043,2645
4.972,16.575,78.453,0,0,0,0,1711240,1712672,0,0,3992,2635
6.077,15.470,78.453,0,0,0,0,1682600,1682600,0,0,3927,2567
3.352,16.760,79.888,0,0,0,0,1729856,1728424,0,0,4008,2617
4.972,16.575,77.901,0.552,0,0,12288,1682600,1682600,0,0,3924,2585
6.667,20.513,72.821,0,0,0,0,1714104,1714104,0,0,4035,2651
4.255,20.213,75.532,0,0,0,0,1704080,1705512,0,0,4016,2652
3.911,16.201,79.888,0,0,0,0,1719832,1719832,0,0,3997,2614
3.743,19.251,77.005,0,0,0,0,1772816,1771384,0,0,4136,2698
6.180,14.607,78.652,0.562,0,0,12288,1672576,1674008,0,0,3923,2581
5.556,15,79.444,0,0,0,4096,1698352,1698352,0,0,3970,2608
4.520,15.254,80.226,0,0,0,0,1737016,1737016,0,0,4069,2677
4.891,17.935,77.174,0,0,0,0,1695488,1694056,0,0,4004,2622
7.222,13.889,76.111,2.778,0,0,69632,1725560,1725560,0,0,4041,2742
4.972,16.575,78.453,0,0,0,0,1701216,1702648,0,0,3989,2612
2.353,14.118,83.529,0,0,0,0,1709808,1708376,0,0,3970,2609
4.278,13.369,82.353,0,0,0,2351104,2054920,2056352,0,0,3698,3104
