"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final1/ping-1571335153-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","18 Oct 2019 05:51:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.746,41.158,56.862,0.234,0,5486.925,22884.959,0,0,0.344,24.659,6281.203,842.018
4.301,15.054,79.032,1.613,0,0,36864,233440,233440,0,0,4727,3217
3.297,13.187,83.516,0,0,0,0,251680,251680,0,0,4574,3432
1.093,10.929,87.978,0,0,0,0,290080,290240,0,0,4051,3825
3.243,11.351,85.405,0,0,0,0,278880,278830,0,0,4290,3725
2.762,9.392,87.845,0,0,0,0,285280,285440,0,0,4163,3787
3.784,9.189,85.405,1.622,0,0,12288,286962,286802,0,0,4033,3803
3.333,12.222,84.444,0,0,0,0,249280,249440,0,0,4680,3399
2.235,14.525,83.240,0,0,0,0,233120,233120,0,0,4808,3169
2.809,13.483,83.708,0,0,0,0,231040,231040,0,0,4770,3159
4.891,14.130,80.978,0,0,0,0,232000,232000,0,0,4805,3212
2.260,13.559,83.616,0.565,0,0,12288,234880,234720,0,0,4832,3236
4.301,15.054,80.645,0,0,0,0,233920,234080,0,0,4828,3226
2.222,15,82.778,0,0,0,0,233600,233600,0,0,4806,3223
3.352,13.408,83.240,0,0,0,0,234560,234560,0,0,4817,3221
3.825,14.754,81.421,0,0,0,0,232480,232320,0,0,4793,3186
3.889,12.778,82.222,1.111,0,0,12288,231840,232000,0,0,4769,3181
3.846,14.835,81.319,0,0,0,0,232480,232480,0,0,4801,3208
2.222,15,82.778,0,0,0,0,232320,232270,0,0,4791,3178
3.333,13.889,82.778,0,0,0,0,233280,233440,0,0,4808,3204
3.889,13.333,82.778,0,0,0,0,230720,230720,0,0,4760,3148
2.793,13.408,83.240,0.559,0,0,12288,234560,234560,0,0,4835,3215
2.717,16.304,80.978,0,0,0,0,232800,232640,0,0,4824,3222
1.685,14.607,83.708,0,0,0,0,231840,231840,0,0,4778,3177
2.747,15.385,81.868,0,0,0,0,236800,236800,0,0,4884,3235
1.105,15.470,83.425,0,0,0,0,238720,238720,0,0,4758,3233
1.667,15.556,81.667,1.111,0,0,12288,238642,238642,0,0,4906,3264
3.889,12.778,83.333,0,0,0,0,245440,245440,0,0,5052,3393
3.804,14.674,81.522,0,0,0,0,245440,245600,0,0,5065,3389
2.874,11.494,85.632,0,0,0,0,248000,248000,0,0,5075,3409
3.977,11.364,80.682,3.977,0,0,98304,255360,255360,0,0,5255,3544
2.299,12.069,84.483,1.149,0,0,20480,250240,250080,0,0,5117,3430
3.333,15,81.667,0,0,0,0,262400,262560,0,0,5360,3578
2.793,14.525,82.123,0.559,0,4096,0,317664,317504,0,0,5063,3396
1.724,12.644,85.632,0,0,0,0,416448,416448,0,0,4769,3197
4.737,16.842,78.421,0,0,0,3297280,411840,412128,0,0,4750,3138
2.235,13.408,82.682,1.676,0,0,28672,409824,409824,0,0,4700,3138
3.315,13.812,82.873,0,0,0,0,417600,417312,0,0,4774,3201
2.732,15.847,81.421,0,0,0,0,414720,414720,0,0,4758,3166
1.081,12.973,85.946,0,0,0,0,509472,509472,0,0,4155,3757
3.279,12.022,84.699,0,0,0,0,480960,480960,0,0,4366,3609
3.243,10.811,84.865,1.081,0,0,12288,499762,500050,0,0,4071,3696
2.247,12.360,85.393,0,0,0,0,438048,438048,0,0,4500,3309
2.825,12.994,84.181,0,0,0,0,407232,407232,0,0,4657,3092
3.846,11.538,84.615,0,0,0,0,453024,452736,0,0,4380,3391
4.324,15.135,80.541,0,0,0,0,410976,411264,0,0,4736,3159
3.889,12.778,82.778,0.556,0,0,12288,409618,409728,0,0,4707,3144
4.372,9.290,86.339,0,0,0,0,507168,506880,0,0,4051,3726
2.674,11.765,85.561,0,0,0,0,515520,515520,0,0,4004,3776
2.747,12.088,85.165,0,0,0,0,473472,473472,0,0,4335,3541
4.348,13.043,82.609,0,0,0,0,436032,436320,0,0,4544,3293
3.723,13.298,81.915,1.064,0,0,12288,470304,470304,0,0,4245,3513
2.825,12.994,84.181,0,0,0,0,405216,404928,0,0,4655,3123
2.247,14.045,83.708,0,0,0,0,403488,403776,0,0,4634,3083
2.778,14.444,82.778,0,0,0,0,401184,401184,0,0,4599,3067
3.911,12.849,83.240,0,0,0,0,412992,412992,0,0,4741,3161
1.111,15,82.778,1.111,0,0,12288,410688,410400,0,0,4711,3133
3.867,13.812,82.320,0,0,0,0,402912,402912,0,0,4639,3119
4.372,14.208,81.421,0,0,0,0,406944,406944,0,0,4678,3115
4.372,14.208,81.421,0,0,0,0,406080,406080,0,0,4662,3102
1.648,16.484,81.868,0,0,0,0,416160,416160,0,0,4773,3177
2.151,17.204,80.108,0.538,0,0,12288,415296,415584,0,0,4762,3170
1.685,14.607,83.708,0,0,0,0,404928,404640,0,0,4648,3143
3.911,12.849,83.240,0,0,0,0,402336,402624,0,0,4603,3063
2.235,14.525,83.240,0,0,0,0,407232,406944,0,0,4664,3136
2.299,12.069,85.632,0,0,0,0,405216,405504,0,0,4620,3085
2.747,14.286,78.022,4.945,0,0,2953216,393202,393202,0,0,4530,3033
3.804,15.217,80.978,0,0,0,0,721888,721600,0,0,4398,3195
3.784,17.297,78.919,0,0,0,0,727328,727328,0,0,4448,2941
2.793,15.084,82.123,0,0,0,0,731136,731680,0,0,4477,2987
2.809,15.169,82.022,0,0,0,0,733856,733312,0,0,4494,2988
4.124,20.103,74.227,1.546,0,0,458752,712640,712640,0,0,4400,2931
3.867,14.917,81.215,0,0,0,0,735570,735570,0,0,4507,3021
2.128,20.213,77.660,0,0,0,0,733312,733856,0,0,4499,2977
3.867,14.917,81.215,0,0,0,0,723520,723520,0,0,4440,2941
3.468,12.139,84.393,0,0,0,0,728960,728416,0,0,4432,2955
3.209,18.182,77.540,1.070,0,0,12288,719712,719712,0,0,4421,2931
3.955,13.559,82.486,0,0,0,0,730048,730048,0,0,4448,2980
3.315,16.022,80.663,0,0,0,0,721344,721344,0,0,4430,2926
4.813,16.578,78.610,0,0,0,0,733312,733312,0,0,4483,2983
3.889,15,81.111,0,0,0,0,726784,726784,0,0,4460,2964
4.372,15.301,79.781,0.546,0,0,12288,727328,727328,0,0,4464,2964
4.278,17.647,78.075,0,0,0,0,731136,731680,0,0,4513,3006
4.301,16.667,79.032,0,0,0,0,734400,733856,0,0,4495,2986
4.972,14.365,80.663,0,0,0,0,731136,731680,0,0,4487,2984
3.409,13.068,83.523,0,0,0,0,731136,730592,0,0,4449,2950
4.396,15.385,79.121,1.099,0,0,12288,715904,715904,0,0,4381,2919
3.784,15.135,81.081,0,0,0,0,779552,780096,0,0,4307,3142
2.717,17.391,79.891,0,0,0,0,727328,726784,0,0,4435,2938
3.743,17.647,78.610,0,0,0,0,733856,734400,0,0,4508,2997
3.279,16.940,79.781,0,0,0,0,731136,730592,0,0,4473,2972
3.763,17.742,77.957,0.538,0,0,12288,716992,717536,0,0,4394,2899
2.747,15.934,81.319,0,0,0,0,755072,754528,0,0,4604,3083
2.874,12.644,84.483,0,0,0,0,734400,734400,0,0,4478,2982
6.522,13.587,79.891,0,0,0,0,744736,744736,0,0,4433,3028
2.793,13.966,83.240,0,0,0,0,762144,762688,0,0,4320,3063
4.469,13.408,81.564,0.559,0,0,12288,733856,733856,0,0,4482,3013
4.762,17.989,77.249,0,0,0,24576,722514,722514,0,0,4466,2966
3.704,19.048,77.249,0,0,0,0,718080,717536,0,0,4407,2900
4.420,14.917,80.663,0,0,0,0,721344,721344,0,0,4411,2941
5.056,12.921,82.022,0,0,0,0,723520,724064,0,0,4428,2960
3.409,12.500,81.818,2.273,0,0,12288,712096,712096,0,0,4338,2905
4.865,16.216,78.919,0,0,0,2600960,721344,720800,0,0,4433,2955
3.784,17.297,78.919,0,0,0,0,720882,720882,0,0,4424,2913
5,14.444,80.556,0,0,0,0,1114176,1114176,0,0,4220,2880
4.972,15.470,79.558,0,0,0,0,1275648,1275648,0,0,4033,2643
3.297,17.033,78.571,1.099,0,0,24576,1289376,1290542,0,0,4086,2682
2.210,14.365,83.425,0,0,0,0,1539648,1538592,0,0,3920,3151
3.226,18.817,77.957,0,0,0,0,1316832,1317888,0,0,4145,2688
6.557,14.208,79.235,0,0,0,0,1300992,1299936,0,0,3994,2678
4.945,15.385,79.670,0,0,0,0,1325280,1325280,0,0,4147,2707
3.889,16.111,78.889,1.111,0,0,12288,1274592,1274592,0,0,4031,2678
4.469,15.084,80.447,0,0,0,0,1267200,1267200,0,0,4002,2678
1.786,11.905,86.310,0,0,0,0,1322112,1322112,0,0,4101,2690
6.111,13.889,80,0,0,0,0,1286208,1286208,0,0,4064,2677
4.891,17.391,77.717,0,0,0,0,1259808,1259808,0,0,3981,2620
3.911,15.084,80.447,0.559,0,0,12288,1306272,1306272,0,0,4097,2685
3.429,13.714,82.857,0,0,0,0,1309440,1310496,0,0,4107,2684
5.556,15,79.444,0,0,0,0,1256640,1255584,0,0,3971,2588
3.315,17.127,79.558,0,0,0,0,1284096,1284096,0,0,4049,2673
2.976,11.905,85.119,0,0,0,0,1268256,1269312,0,0,3996,2639
3.297,17.033,79.121,0.549,0,0,12288,1306272,1305216,0,0,4120,2701
5.525,14.365,80.110,0,0,0,0,1297824,1297824,0,0,4086,2669
3.889,16.111,80,0,0,0,0,1307328,1307328,0,0,4101,2663
3.889,16.667,79.444,0,0,0,0,1254528,1254528,0,0,3975,2608
5.348,17.112,77.540,0,0,0,0,1314720,1315776,0,0,4132,2668
4.787,18.085,75.532,1.596,0,0,12288,1248192,1247136,0,0,3956,2580
5.435,15.761,78.804,0,0,0,0,1326336,1327392,0,0,4166,2718
4.444,15,80.556,0,0,0,4096,1319026,1317970,0,0,4138,2704
3.846,17.033,79.121,0,0,0,0,1295712,1296768,0,0,4091,2675
4.348,16.848,78.804,0,0,0,0,1294656,1293600,0,0,4076,2652
3.889,15.556,78.889,1.667,0,0,12288,1305216,1305216,0,0,4099,2663
1.714,12,86.286,0,0,0,0,1464672,1465728,0,0,3901,2992
3.191,13.298,83.511,0,0,0,2400256,1598866,1597810,0,0,3622,3244
2.825,15.254,81.921,0,0,0,0,1307328,1307328,0,0,4101,2683
3.448,13.218,83.333,0,0,0,0,1326336,1327392,0,0,4126,2689
3.333,15.556,79.444,1.667,0,0,20480,1267200,1266144,0,0,3974,2595
5.587,13.966,80.447,0,0,0,0,1285152,1285152,0,0,4037,2653
3.409,14.773,81.818,0,0,0,12288,1300992,1300992,0,0,4075,2667
2.299,13.793,83.908,0,0,0,0,1335840,1335840,0,0,4131,2694
3.191,18.617,78.191,0,0,0,0,1349568,1349568,0,0,3982,2774
2.210,9.945,86.740,1.105,0,0,28672,1613568,1614624,0,0,3482,3268
4.255,14.894,80.851,0,0,0,0,1469952,1469952,0,0,3960,3003
3.409,14.773,81.818,0,0,0,0,1296768,1295712,0,0,4074,2669
8.252,24.757,66.990,0,0,0,0,1405080,1406512,0,0,3580,2333
6.103,29.108,64.789,0,0,0,0,1483552,1483552,0,0,3616,2299
5.025,24.623,69.347,1.005,0,0,16384,1489280,1487848,0,0,3583,2313
5.946,19.459,74.595,0,0,0,0,1480688,1482120,0,0,3541,2309
6.542,28.972,64.486,0,0,0,1212416,1453480,1452048,0,0,3563,2271
4.040,26.263,69.697,0,0,0,0,1483552,1484984,0,0,3578,2304
7.930,31.278,60.793,0,0,0,0,1457776,1457776,0,0,3595,2275
6.736,21.244,70.466,1.554,0,0,24576,1444888,1443456,0,0,3475,2256
6.500,24.500,69,0,0,0,0,1505032,1505032,0,0,3620,2342
6.373,25.490,68.137,0,0,0,0,1500736,1502168,0,0,3612,2322
6.091,23.858,70.051,0,0,0,0,1473528,1472096,0,0,3546,2279
8.297,31.441,60.262,0,0,0,0,1454912,1456344,0,0,3591,2269
6.218,21.762,70.984,1.036,0,0,12288,1467800,1467800,0,0,3520,2274
5.714,28.571,65.714,0,0,0,0,1460640,1460640,0,0,3560,2283
10.194,22.330,67.476,0,0,0,0,1509328,1509328,0,0,3637,2336
9.048,25.238,65.714,0,0,0,0,1473610,1472178,0,0,3570,2307
5.687,28.910,65.403,0,0,0,0,1477824,1479256,0,0,3570,2292
5.797,27.053,66.184,0.966,0,0,12288,1449184,1447752,0,0,3499,2255
7.692,21.538,70.769,0,0,0,0,1493576,1493576,0,0,3572,2337
6.878,19.577,73.545,0,0,0,1019904,1493576,1493576,0,0,3557,2328
6.881,29.817,63.303,0,0,0,0,1472178,1472178,0,0,3582,2310
8.654,25,66.346,0,0,0,0,1484984,1484984,0,0,3606,2312
4.592,25,69.388,1.020,0,0,20480,1462072,1463504,0,0,3518,2273
6.912,29.032,64.055,0,0,0,0,1480688,1480688,0,0,3607,2309
4.433,27.586,67.980,0,0,0,0,1482120,1482120,0,0,3571,2287
3.279,20.765,75.956,0,0,0,0,1510760,1509328,0,0,3588,2339
6.186,22.165,71.649,0,0,0,0,1532240,1532240,0,0,3656,2368
4.278,11.765,82.353,1.604,0,0,12288,2211008,2212440,0,0,3546,3306
3.627,22.798,73.575,0,0,0,0,1837256,1835824,0,0,4318,2836
3.302,31.604,65.094,0,0,0,0,1483552,1483552,0,0,3606,2301
5.291,21.164,73.545,0,0,0,0,1532240,1530808,0,0,3654,2376
4.444,17.778,77.778,0,0,0,0,1568040,1569472,0,0,3691,2411
4.396,18.681,76.923,0,0,0,12288,1596680,1595248,0,0,3766,2475
4.545,15.909,79.545,0,0,0,0,1585224,1586656,0,0,3737,2464
4.324,20.541,75.135,0,0,0,0,1549424,1547992,0,0,3665,2379
3.261,21.196,75.543,0,0,0,0,1517920,1517920,0,0,3623,2368
6.077,17.127,76.796,0,0,0,0,1542264,1542264,0,0,3660,2398
8.511,17.021,73.404,1.064,0,0,12288,1520784,1520784,0,0,3636,2371
5.882,19.786,74.332,0,0,0,0,1529376,1530808,0,0,3658,2383
3.704,22.751,73.545,0,0,0,0,1536536,1536536,0,0,3652,2380
5.314,27.536,67.150,0,0,0,0,1525080,1525080,0,0,3661,2364
7.071,23.232,69.697,0,0,0,0,1486416,1486416,0,0,3555,2305
3.825,20.765,74.863,0.546,0,0,12288,1507896,1507896,0,0,3585,2354
6.522,17.935,75.543,0,0,0,0,1520784,1520784,0,0,3610,2375
4.469,17.877,77.654,0,0,0,0,1520784,1519352,0,0,3585,2349
1.860,33.953,64.186,0,0,0,0,1483634,1485066,0,0,3631,2326
4.639,24.742,70.619,0,0,0,0,1466368,1464936,0,0,3525,2293
4.523,20.101,74.372,1.005,0,0,16384,2084882,2084882,0,0,3545,3047
3.333,4.667,92,0,0,0,0,1539252,1539252,0,0,3393,2276
5.389,11.976,82.635,0,0,0,0,1519518,1519518,0,0,3383,2225
2.286,19.429,78.286,0,0,0,2142208,1524072,1525590,0,0,3427,2239
7.805,24.878,67.317,0,0,0,0,1524154,1522636,0,0,3497,2242
4.070,16.279,78.488,1.163,0,0,20480,1502820,1504338,0,0,3376,2197
5.625,8.125,86.250,0,0,0,0,1531662,1530144,0,0,3417,2271
2.674,24.064,73.262,0,0,0,0,1525590,1525590,0,0,3441,2230
5.587,17.877,76.536,0,0,0,12288,1525590,1525590,0,0,3444,2270
5.189,30.189,64.623,0,0,0,0,1528626,1528626,0,0,3535,2271
5.612,23.980,68.878,1.531,0,0,12288,1513446,1514964,0,0,3448,2231
3.704,23.810,72.487,0,0,0,0,1527108,1527108,0,0,3480,2258
2.703,35.586,61.712,0,0,0,0,1527108,1527108,0,0,3546,2243
5.848,13.450,80.702,0,0,0,0,1530144,1528626,0,0,3422,2254
7.317,25.854,66.829,0,0,0,0,1528626,1528626,0,0,3508,2242
8.134,26.316,64.593,0.957,0,0,12288,1516482,1516482,0,0,3517,2238
7.009,28.505,64.486,0,0,0,0,1522554,1524072,0,0,3535,2256
1.770,37.611,60.619,0,0,0,0,1521036,1521036,0,0,3523,2240
4.118,15.294,80.588,0,0,0,0,1525590,1524072,0,0,3395,2234
1.299,9.740,88.961,0,0,0,0,1527108,1527108,0,0,3369,2243
7.216,22.165,69.588,1.031,0,0,12288,1508892,1510410,0,0,3426,2231
2.885,31.250,65.865,0,0,0,0,1530144,1528626,0,0,3501,2258
5.804,33.036,61.161,0,0,0,0,1519518,1519518,0,0,3509,2246
3.333,30.952,65.714,0,0,0,0,1521036,1521036,0,0,3509,2238
2.273,19.886,77.841,0,0,0,0,1522554,1524072,0,0,3416,2231
4.292,36.481,58.369,0.858,0,0,12288,1514964,1513446,0,0,3545,2231
2.778,21.111,76.111,0,0,0,0,1525590,1527108,0,0,3421,2260
10.215,15.591,74.194,0,0,0,0,1531662,1530144,0,0,3459,2239
4.369,29.126,66.505,0,0,0,0,1533180,1533180,0,0,3526,2261
1.227,14.724,84.049,0,0,0,0,1519600,1519600,0,0,3413,2231
