"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-aes-gcm-we-jumbo-Ethernet-dstat.csv",,,,"Date:","01 Nov 2019 01:37:47 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.928,37.948,59.814,0.309,0,47598.371,69840.614,0,0,20.907,78.966,6524.799,927.777
1.136,53.409,45.455,0,0,0,0,173206,63639890,0,0,4476,413
0.559,56.425,43.017,0,0,0,0,178292,65985030,0,0,4482,358
0.562,56.180,43.258,0,0,0,0,171508,66086548,0,0,4450,349
0.508,50.761,48.731,0,0,0,0,157622,65294362,0,0,2224,396
1.124,55.618,42.697,0.562,0,0,57344,158152,65349096,0,0,12232,382
0.559,56.425,43.017,0,0,0,0,166208,66184254,0,0,4476,341
0.559,55.866,43.575,0,0,0,0,164830,66129242,0,0,4485,372
0,56.497,43.503,0,0,0,0,163452,66062214,0,0,4479,330
0,56.497,43.503,0,0,0,0,165784,66079676,0,0,4509,365
2.186,55.191,41.530,1.093,0,0,12288,165466,66052344,0,0,4521,399
1.099,45.055,53.846,0,0,0,0,140027,51130142,0,0,3715,400
1.523,49.746,48.731,0,0,0,0,166844,65151878,0,0,2204,364
1.990,48.259,49.751,0,0,0,0,165466,65388804,0,0,1719,373
1.070,52.941,45.989,0,0,0,4096,173522,65453682,0,0,5246,356
0.549,55.495,43.407,0.549,0,0,45056,165784,65941356,0,0,4508,335
0.552,55.249,44.199,0,0,0,0,169600,65925114,0,0,4503,336
0,55.249,44.751,0,0,0,0,165784,65896452,0,0,4509,325
0.543,54.348,45.109,0,0,0,0,166102,65442976,0,0,4116,316
1.493,48.756,49.751,0,0,0,0,172462,65435424,0,0,1749,377
2,48.500,47.500,2,0,0,69632,170236,65443194,0,0,1748,386
3.226,41.398,55.376,0,0,0,0,102181,49823624,0,0,4478,425
0.559,55.866,43.575,0,0,0,0,153170,66089452,0,0,4513,342
0,56.497,43.503,0,0,0,0,185182,65926776,0,0,4500,349
0,56.742,43.258,0,0,0,0,182744,65975490,0,0,4511,379
2.139,52.406,44.385,1.070,0,0,458752,175112,65397164,0,0,3499,388
1.015,50.254,48.731,0,0,0,0,159106,65233242,0,0,2414,417
2.210,55.249,42.541,0,0,0,0,170236,65902644,0,0,6651,387
0,56.180,43.820,0,0,0,0,174900,66019592,0,0,4470,357
1.990,48.756,49.254,0,0,0,0,167480,65180250,0,0,1836,379
1.508,48.744,48.744,1.005,0,0,24576,166738,65513124,0,0,1718,405
2.551,39.286,58.163,0,0,0,0,131011,50666915,0,0,1545,435
1.493,48.756,49.751,0,0,0,0,160378,65433870,0,0,1723,416
1.639,53.552,44.809,0,0,0,0,159424,65308692,0,0,10810,390
1.117,55.866,43.017,0,0,0,0,162392,66097056,0,0,4512,354
1.111,56.111,42.222,0.556,0,0,81920,169706,66129690,0,0,4514,388
1.508,49.246,49.246,0,0,0,0,154442,65251890,0,0,1939,405
1.005,49.246,49.749,0,0,0,0,152958,65464254,0,0,1777,409
1.493,48.756,49.751,0,0,0,0,150414,65534880,0,0,1753,410
0.503,49.749,49.749,0,0,0,0,167162,65450268,0,0,1756,378
1.005,49.246,48.744,1.005,0,0,40960,165572,65500692,0,0,1755,393
3.553,39.594,56.853,0,0,0,0,134724,50265289,0,0,3324,438
1.639,54.645,43.716,0,0,0,0,179776,65838342,0,0,4902,384
0.552,55.249,44.199,0,0,0,0,183804,65570282,0,0,4627,348
0.552,55.249,44.199,0,0,0,0,178610,65685812,0,0,4506,337
0.552,55.249,43.646,0.552,0,0,45056,185288,65653226,0,0,4507,343
0.543,54.348,45.109,0,0,0,0,183274,65303570,0,0,4191,362
1.990,48.756,49.254,0,0,0,0,168540,65036580,0,0,1792,386
1.010,48.990,50,0,0,0,0,171614,64988406,0,0,1754,369
1.980,48.515,49.505,0,0,0,0,171614,64993068,0,0,1802,390
1.515,48.485,49.495,0.505,0,0,12288,172462,64970454,0,0,1781,411
1.622,46.486,51.892,0,0,0,0,155276,54922879,0,0,6046,370
1.156,53.757,45.087,0,0,0,0,81631,59651533,0,0,16731,359
0.556,55.556,43.889,0,0,0,0,133666,65809404,0,0,4475,353
1.124,55.618,43.258,0,0,0,0,151368,65806296,0,0,4488,385
1.111,56.111,41.111,1.667,0,0,98304,150520,65747082,0,0,4487,371
1.117,55.866,43.017,0,0,0,4096,153700,65764338,0,0,4493,399
0,56.180,43.820,0,0,0,0,150096,65839626,0,0,4499,373
0.562,56.180,43.258,0,0,0,0,148612,65796276,0,0,4503,346
0.559,55.866,43.575,0,0,0,0,146916,65837376,0,0,4513,366
0,56.742,42.135,1.124,0,0,12288,150944,65803884,0,0,4513,376
1.117,55.866,43.017,0,0,0,0,146704,65824944,0,0,4523,376
1.685,44.382,53.933,0,0,0,0,127198,50926272,0,0,5670,406
0.562,56.180,43.258,0,0,0,0,166526,66153412,0,0,4503,341
1.657,55.801,42.541,0,0,0,0,164406,66096650,0,0,4512,374
0.562,56.180,42.697,0.562,0,0,45056,165148,66053330,0,0,4513,386
1.667,55.556,42.778,0,0,0,8192,161862,66087284,0,0,4522,378
1.667,55.556,42.778,0,0,0,0,166314,66078336,0,0,4513,362
0,56.742,43.258,0,0,0,0,165466,66093664,0,0,4509,365
0.559,55.866,43.575,0,0,0,0,163982,66074662,0,0,4523,389
1.117,55.866,41.899,1.117,0,0,20480,163664,66094818,0,0,4528,381
