"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-aesgcm-we-dstat.csv",,,,"Date:","31 Oct 2019 21:43:09 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.080,31.230,66.285,0.404,0,92385.966,114299.787,0,0,38.167,153.491,5239.650,1026.257
1.156,54.913,43.931,0,0,0,0,121584,61465020,0,0,16256,406
1.685,55.618,42.697,0,0,0,1855488,114480,64481886,0,0,11261,379
0.552,55.249,44.199,0,0,0,0,110982,65311310,0,0,4521,365
0.552,55.801,43.094,0.552,0,0,57344,110982,65283986,0,0,4521,373
0.552,55.249,44.199,0,0,0,0,112042,65320174,0,0,4517,371
1.105,54.696,44.199,0,0,0,0,112784,64873530,0,0,4440,346
0.552,55.249,44.199,0,0,0,0,112042,65345980,0,0,4503,354
1.099,54.945,43.956,0,0,0,0,109816,65264252,0,0,4511,362
0.552,55.249,43.094,1.105,0,0,12288,111300,65183798,0,0,4515,370
1.099,54.945,43.956,0,0,0,0,111724,65293094,0,0,4508,350
2.030,40.609,57.360,0,0,0,0,89888,50799747,0,0,1634,460
1.485,49.010,49.505,0,0,0,4096,110770,65105106,0,0,1744,414
1.005,49.246,49.749,0,0,0,0,107696,65130912,0,0,1765,424
1.500,49,48.500,1,0,0,40960,107590,65115732,0,0,1738,433
1,49,50,0,0,0,0,110028,65076264,0,0,1740,409
1.500,49,49.500,0,0,0,0,111088,65062846,0,0,1737,409
1.579,51.053,47.368,0,0,0,36864,109392,64774670,0,0,4295,377
2.041,50,47.959,0,0,0,16384,113526,64636776,0,0,4803,410
1,49,48.500,1.500,0,0,12288,107802,65084098,0,0,1747,410
1.111,55,43.889,0,0,0,0,111830,64635692,0,0,7963,355
1.639,44.262,54.098,0,0,0,0,94549,50289432,0,0,3801,437
0.552,55.249,44.199,0,0,0,0,115116,64708122,0,0,4489,345
1.020,51.020,47.959,0,0,0,0,114586,64408046,0,0,2528,398
2.010,48.241,48.744,1.005,0,0,40960,112678,64632222,0,0,1804,402
5.025,45.226,49.749,0,0,0,0,112042,64626394,0,0,1803,427
0.500,50,49.500,0,0,0,0,109180,64627668,0,0,1798,398
0.995,49.254,49.751,0,0,0,0,110558,64658028,0,0,1779,394
2.010,48.241,49.749,0,0,0,0,113950,64606904,0,0,1799,427
1.500,49,48.500,1,0,0,12288,111618,64624388,0,0,1807,409
0.524,51.832,47.644,0,0,0,0,115222,64318728,0,0,3898,389
4.167,40.625,55.208,0,0,0,0,92640,50048072,0,0,2761,460
2.500,48,49.500,0,0,0,0,114480,64836908,0,0,1756,391
0.498,49.751,49.751,0,0,0,32768,111300,64851844,0,0,1796,399
2.020,47.980,48.990,1.010,0,0,49152,108650,64859678,0,0,1789,405
2.488,48.259,49.254,0,0,0,0,112996,64923434,0,0,1772,421
0.500,49.500,50,0,0,0,0,115964,64839700,0,0,1800,395
0.500,50,49.500,0,0,0,0,111300,64877894,0,0,1777,388
2.010,48.241,49.749,0,0,0,0,112466,64942924,0,0,1772,400
1.493,49.254,48.259,0.995,0,0,12288,108438,64897628,0,0,1746,399
0.503,49.246,50.251,0,0,0,0,109922,64885240,0,0,1734,370
2.030,41.624,56.345,0,0,0,0,92214,50032893,0,0,1879,431
0,55.556,44.444,0,0,0,0,110982,64977838,0,0,4477,347
0.556,55.556,43.889,0,0,0,0,113208,64902426,0,0,5481,365
0.549,54.945,43.407,1.099,0,0,40960,110876,65136984,0,0,4493,351
0,55.866,44.134,0,0,0,0,110558,65144574,0,0,4518,376
0.549,54.945,44.505,0,0,0,0,110452,65099034,0,0,4508,347
0.556,55.556,43.889,0,0,0,0,111512,65114214,0,0,4506,380
1.099,54.945,43.956,0,0,0,0,112148,65192906,0,0,4523,382
1.099,54.945,42.857,1.099,0,0,12288,111724,65250590,0,0,4506,357
1.020,50.510,48.469,0,0,0,0,113844,64679524,0,0,2429,400
1.508,42.714,55.779,0,0,0,0,94854,54972083,0,0,1608,418
0.505,47.475,52.020,0,0,0,0,105693,60092233,0,0,1760,415
1.500,49,49.500,0,0,0,0,111194,64656510,0,0,1819,412
1.508,48.744,48.744,1.005,0,0,40960,112572,64647402,0,0,1839,422
2.500,48,49.500,0,0,0,0,111936,64653474,0,0,1798,417
2.500,48,49.500,0,0,0,0,115010,64621840,0,0,1821,423
1.500,48.500,50,0,0,0,0,110028,64642848,0,0,1796,404
1,49.500,49.500,0,0,0,40960,110134,64653474,0,0,1834,399
1.005,49.246,48.744,1.005,0,0,12288,113102,64617286,0,0,1800,403
0.543,54.891,44.565,0,0,0,0,119462,63836736,0,0,12532,335
0.556,55.556,43.889,0,0,0,0,114162,64865750,0,0,4513,351
0.510,41.837,57.653,0,0,0,0,93167,50417003,0,0,1732,414
1.990,48.756,49.254,0,0,0,0,110346,64614006,0,0,1788,439
1,49,48.500,1.500,0,0,49152,111618,64665862,0,0,1789,407
0,52.632,47.368,0,0,0,0,113102,64280778,0,0,5084,401
1.639,54.645,43.716,0,0,0,0,111936,64865506,0,0,4484,358
1.031,50.515,48.454,0,0,0,0,111194,64438406,0,0,2490,395
1.579,52.105,46.316,0,0,0,0,117024,64130740,0,0,7346,413
1.648,54.945,42.857,0.549,0,0,90112,115116,64883966,0,0,4520,376
0.552,55.249,44.199,0,0,0,0,113950,64915600,0,0,4507,355
0.556,55.556,43.889,0,0,0,0,113208,64879412,0,0,4518,351
1.648,43.407,54.945,0,0,0,0,92958,49990547,0,0,4632,405
0.549,55.495,43.956,0,0,0,0,113314,64754936,0,0,4514,347
0.552,55.249,43.094,1.105,0,0,53248,112148,64750626,0,0,4511,376
3.980,47.264,48.756,0,0,0,0,114692,64204878,0,0,2514,415
0,50.251,49.749,0,0,0,0,114162,64573264,0,0,1819,414
0.503,49.749,49.749,0,0,0,0,112254,64567192,0,0,1785,397
1.990,48.259,49.751,0,0,0,0,112254,64568466,0,0,1789,397
1.500,49,48.500,1,0,0,12288,111300,64580854,0,0,1824,439
1,49,50,0,0,0,0,114268,64586926,0,0,1814,416
2.010,48.241,49.749,0,0,0,0,112360,64503436,0,0,1780,400
2.618,41.885,55.497,0,0,0,0,97094,49628774,0,0,4045,438
0,56.425,43.575,0,0,0,0,113632,64962902,0,0,8340,351
1.026,50.769,47.179,1.026,0,0,40960,114798,64715468,0,0,2480,409
0.503,49.749,49.749,0,0,0,0,110664,64968730,0,0,1778,409
0.995,49.254,49.751,0,0,0,0,113738,64955068,0,0,1774,430
1.070,52.406,46.524,0,0,0,0,113420,64454806,0,0,6438,356
0,56.111,43.889,0,0,0,0,109498,65146092,0,0,4558,361
1.099,54.945,42.857,1.099,0,0,12288,111088,65165582,0,0,4488,374
0.552,55.249,44.199,0,0,0,0,109604,65159754,0,0,4473,356
0,55.556,44.444,0,0,0,0,108544,65186834,0,0,4481,353
2.162,43.784,54.054,0,0,0,0,94336,50031620,0,0,3684,417
0.559,55.307,44.134,0,0,0,0,114798,64903700,0,0,4503,360
1.105,55.249,43.094,0.552,0,0,40960,114904,64832354,0,0,4512,354
0.549,54.945,44.505,0,0,0,0,114586,64218730,0,0,5056,370
1.099,54.945,43.956,0,0,0,0,112360,64835390,0,0,4528,373
0.556,55.556,43.889,0,0,0,0,113314,64856642,0,0,4505,363
0,55.801,44.199,0,0,0,0,113632,64864232,0,0,4514,355
0.552,55.249,43.094,1.105,0,0,12288,112678,64857916,0,0,4517,367
0,55.556,44.444,0,0,0,4096,111406,64862714,0,0,4510,347
1.587,52.910,45.503,0,0,0,0,113526,64421708,0,0,3598,373
2.985,43.284,53.731,0,0,0,0,99618,57565717,0,0,1636,407
1.124,50,48.876,0,0,0,0,105384,57121924,0,0,5763,396
0.549,55.495,42.857,1.099,0,0,40960,114268,65108142,0,0,4516,365
1.099,54.945,42.857,1.099,0,0,73728,112572,65033760,0,0,4524,356
0.552,55.249,44.199,0,0,0,0,109710,65040076,0,0,4523,394
0.552,55.249,44.199,0,0,0,0,109074,65085372,0,0,4507,334
0.552,55.801,43.646,0,0,0,0,112360,65127876,0,0,4518,351
0.521,52.083,46.875,0.521,0,0,20480,113950,64665618,0,0,2922,415
2.010,48.241,49.749,0,0,0,0,111618,64997572,0,0,1752,422
1.493,48.756,49.751,0,0,0,0,110240,64995810,0,0,1776,439
2.030,49.746,48.223,0,0,0,0,115858,64253454,0,0,3551,394
1.105,44.751,54.144,0,0,0,0,96457,50273226,0,0,8021,446
1.093,54.645,43.169,1.093,0,0,40960,112466,65135466,0,0,4488,366
0,55.801,44.199,0,0,0,0,114268,65124840,0,0,4486,372
1.111,55,43.889,0,0,0,0,111194,65126358,0,0,4484,394
0,55.556,44.444,0,0,0,0,113208,65180762,0,0,4471,322
0,56.111,43.889,0,0,0,0,111512,65174934,0,0,4513,352
1.630,54.348,42.935,1.087,0,0,12288,109604,65106624,0,0,4516,348
1.099,54.945,43.956,0,0,0,0,109816,65177726,0,0,4503,356
0.552,55.249,44.199,0,0,0,0,112784,65149128,0,0,4525,375
0.549,55.495,43.956,0,0,0,0,111512,65144574,0,0,4508,353
1.639,44.809,53.552,0,0,0,0,92959,50291709,0,0,3749,427
1.639,54.645,42.623,1.093,0,0,40960,112784,65140020,0,0,4510,356
1.093,55.191,43.716,0,0,0,0,112466,65103588,0,0,4514,358
0,55.556,44.444,0,0,0,0,111724,65144574,0,0,4513,354
0.552,55.249,44.199,0,0,0,0,108968,65153682,0,0,4505,355
2.186,54.645,43.169,0,0,0,0,112254,65148884,0,0,4510,372
1.105,55.249,43.094,0.552,0,0,12288,112784,65141538,0,0,4520,397
0.552,55.249,44.199,0,0,0,0,110558,65167344,0,0,4500,343
0.552,55.249,44.199,0,0,0,4096,113314,65115732,0,0,4520,392
0.552,55.249,44.199,0,0,0,0,112042,65073228,0,0,4504,332
2.116,42.857,55.026,0,0,0,0,90626,50484231,0,0,3012,423
