"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","01 Nov 2019 03:02:31 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.887,38.986,58.832,0.294,0,42133.402,62793.127,0,0,17.788,69.109,6124.258,910.609
1.500,48.500,50,0,0,0,0,111088,65320418,0,0,1782,412
2,48.500,49.500,0,0,0,0,110240,65552184,0,0,1715,392
1.005,49.246,49.749,0,0,0,0,111724,65494500,0,0,1730,401
1.990,48.259,49.751,0,0,0,0,112572,65333836,0,0,1722,370
2,49,48.500,0.500,0,0,57344,110134,65499298,0,0,1755,409
1.005,49.246,49.749,0,0,0,0,110028,65539796,0,0,1742,386
1.980,48.515,49.505,0,0,0,0,115540,65528140,0,0,1725,392
1.508,48.744,49.749,0,0,0,0,110346,65535486,0,0,1754,406
0.503,49.749,49.749,0,0,0,0,113314,65547386,0,0,1759,391
1.500,44.500,53,1,0,0,1347584,97921,58473747,0,0,1670,431
1.111,50.556,48.333,0,0,0,0,108564,57672714,0,0,5532,397
0,55.556,44.444,0,0,0,0,113208,65434024,0,0,4491,328
2.174,54.348,43.478,0,0,0,0,113420,65438334,0,0,4517,360
0,55.866,44.134,0,0,0,0,113632,65426434,0,0,4504,322
2.174,54.348,42.391,1.087,0,0,106496,112360,65380894,0,0,4535,368
1.648,54.945,43.407,0,0,0,0,112572,65406700,0,0,4507,353
0,55.249,44.751,0,0,0,0,110770,65489946,0,0,4500,337
0.556,55,44.444,0,0,0,0,109074,65430988,0,0,4509,328
1.105,55.249,43.646,0,0,0,0,112572,65435542,0,0,4497,322
0.549,54.945,43.407,1.099,0,0,12288,110664,65430988,0,0,4517,353
1.622,44.865,53.514,0,0,0,0,93913,51159846,0,0,3647,408
0.552,55.249,44.199,0,0,0,0,113208,65820382,0,0,4501,358
1.099,54.945,43.956,0,0,0,0,111618,65831008,0,0,4523,375
0.552,55.249,44.199,0,0,0,0,111512,65844670,0,0,4503,340
0.552,55.249,43.646,0.552,0,0,40960,109922,65827972,0,0,4518,383
0.552,55.249,44.199,0,0,0,0,109604,65848980,0,0,4487,340
1.105,54.696,44.199,0,0,0,0,112466,65843152,0,0,4471,336
1.500,49,49.500,0,0,0,0,112784,65190114,0,0,1837,385
2,48.500,49.500,0,0,0,0,117024,65390002,0,0,1710,387
0.543,54.348,44.565,0.543,0,0,12288,116706,65403664,0,0,5417,389
1.613,44.624,53.763,0,0,0,24576,94969,50650774,0,0,3777,412
0.552,55.249,44.199,0,0,0,0,114798,65973456,0,0,4490,349
1.099,54.945,43.956,0,0,0,0,109922,65926398,0,0,4524,389
0,55.249,44.751,0,0,0,0,112042,65917290,0,0,4507,338
1.111,55.556,42.222,1.111,0,0,49152,113950,65646300,0,0,7137,353
1.117,55.307,43.575,0,0,0,0,110982,65694632,0,0,8342,346
0,55.556,44.444,0,0,0,0,111830,65910054,0,0,4508,344
0.552,55.249,44.199,0,0,0,0,111300,65859606,0,0,4510,370
0,55.249,44.751,0,0,0,0,111936,65897556,0,0,4497,337
1.099,54.945,43.407,0.549,0,0,12288,108756,65893002,0,0,4524,368
2.162,43.784,54.054,0,0,0,0,96988,50771151,0,0,3626,402
1.648,54.396,43.956,0,0,0,0,108862,65582544,0,0,4496,349
1.639,54.645,43.716,0,0,0,0,109498,65549148,0,0,4525,367
0.549,54.945,44.505,0,0,0,0,114162,65089926,0,0,4412,364
1.005,49.246,49.246,0.503,0,0,40960,111300,65143056,0,0,1821,411
1.508,48.744,49.749,0,0,0,0,115328,65085372,0,0,1779,402
2.475,48.020,49.505,0,0,0,0,113208,65120286,0,0,1784,393
0,56.425,43.575,0,0,0,0,112572,65208086,0,0,6599,381
0,55.556,44.444,0,0,0,0,111936,65500572,0,0,4508,348
0.556,55,44.444,0,0,0,0,113314,65533968,0,0,4517,378
1.604,44.385,52.941,1.070,0,0,12288,96352,50273520,0,0,3731,420
0,54.098,45.902,0,0,0,0,111194,65458312,0,0,3948,335
1.980,48.515,49.505,0,0,0,0,111406,65351022,0,0,1752,427
2.010,48.241,49.749,0,0,0,0,114692,65497536,0,0,1720,414
1.500,49,49.500,0,0,0,0,111406,65494744,0,0,1742,423
0.503,49.749,49.246,0.503,0,0,77824,114056,65497536,0,0,1740,412
1,49,50,0,0,0,0,110664,65497536,0,0,1737,393
1.493,49.254,49.254,0,0,0,0,112466,65523342,0,0,1756,417
