"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","01 Nov 2019 02:41:29 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.876,38.734,59.093,0.298,0,43692.994,64344.512,0,0,18.472,69.771,6208.477,913.721
1.163,55.814,43.023,0,0,0,0,224192,118214216,0,0,4524,403
1.149,57.471,41.379,0,0,0,0,230126,122059042,0,0,4490,341
0.575,57.471,41.954,0,0,0,0,225992,121949990,0,0,4489,342
0.578,57.803,40.462,1.156,0,0,57344,221646,121817924,0,0,4505,363
1.705,56.818,41.477,0,0,0,0,228218,121872572,0,0,4501,368
1.156,57.803,41.040,0,0,0,0,231716,121918112,0,0,4511,362
0.575,57.471,41.954,0,0,0,0,224826,121842456,0,0,4496,336
0.581,57.558,41.860,0,0,0,0,223024,121963408,0,0,4500,356
0.575,57.471,41.954,0,0,0,0,226310,121798434,0,0,4511,385
1.714,56.571,41.143,0.571,0,0,20480,216770,121540022,0,0,4446,367
3.352,45.810,50.838,0,0,0,0,179340,95428838,0,0,3678,455
0,54.348,45.652,0,0,0,0,216346,122728534,0,0,3659,370
3,47,50,0,0,0,0,228748,123256066,0,0,2981,362
4,46.500,49.500,0,0,0,0,228642,123372952,0,0,2992,387
2.260,55.932,37.853,3.955,0,0,1564672,223978,122641222,0,0,4362,395
0.581,57.558,41.860,0,0,0,0,226310,121464122,0,0,4488,385
0,58.140,41.860,0,0,0,0,230020,122062078,0,0,4496,348
2.247,56.180,41.573,0,0,0,0,226204,121798544,0,0,4505,384
0.578,57.803,41.618,0,0,0,0,227264,121687620,0,0,4475,353
1.714,57.143,40,1.143,0,0,28672,229808,121643842,0,0,4469,354
1.685,46.629,51.685,0,0,0,0,187406,93769387,0,0,3654,412
0.578,57.803,41.618,0,0,0,0,227370,121235988,0,0,4468,331
0.578,57.803,41.618,0,0,0,0,222282,121251168,0,0,4463,345
1.149,57.471,41.379,0,0,0,0,218890,121063424,0,0,4468,350
1.705,56.818,40.909,0.568,0,0,40960,232352,121143878,0,0,4480,348
1.143,57.143,41.714,0,0,0,0,231822,121514514,0,0,4505,360
0,58.140,41.860,0,0,0,0,224932,121640806,0,0,4485,329
1.149,57.471,41.379,0,0,0,0,231080,121904450,0,0,4500,364
1.143,57.143,41.714,0,0,0,0,226734,121831586,0,0,4527,410
2.260,55.932,41.243,0.565,0,0,12288,228112,121371090,0,0,4338,359
1.587,43.915,54.497,0,0,0,0,182318,94953323,0,0,3136,449
0.578,57.803,41.618,0,0,0,0,228006,121557560,0,0,4482,335
0.578,57.225,42.197,0,0,0,0,215074,122724956,0,0,4492,340
1.149,57.471,41.379,0,0,0,0,227688,123347390,0,0,4499,359
1.714,57.143,40.571,0.571,0,0,40960,228006,122922594,0,0,4495,380
0.578,57.803,41.618,0,0,0,0,230974,123115136,0,0,4514,371
0,57.803,42.197,0,0,0,0,226098,122990904,0,0,4480,321
0.575,57.471,41.954,0,0,0,0,230868,122962306,0,0,4494,336
2.286,56.571,41.143,0,0,0,0,224084,122475706,0,0,4483,373
0.578,57.803,41.040,0.578,0,0,12288,228324,122841110,0,0,4500,369
3.333,44.444,52.222,0,0,0,0,170234,95063593,0,0,3699,412
0.581,58.140,41.279,0,0,0,0,226310,121316686,0,0,4494,341
0.581,57.558,41.860,0,0,0,0,230868,121289118,0,0,4482,335
0.575,57.471,41.954,0,0,0,0,227370,121331622,0,0,4470,342
1.149,57.471,40.805,0.575,0,0,40960,228536,121077086,0,0,4472,371
2.841,56.818,40.341,0,0,0,4096,227794,120902760,0,0,4489,384
0.575,57.471,41.954,0,0,0,0,231928,121030028,0,0,4470,368
1.156,57.803,41.040,0,0,0,0,222706,120963480,0,0,4459,344
0.575,57.471,41.954,0,0,0,0,230868,121469760,0,0,4476,370
0.581,58.140,40.698,0.581,0,0,12288,231080,121455610,0,0,4496,346
2.062,43.299,50.515,4.124,0,0,77824,190902,99720329,0,0,2984,391
1.163,54.651,44.186,0,0,0,0,214758,116846444,0,0,4461,388
0.575,57.471,41.954,0,0,0,0,223978,123229474,0,0,4491,369
2.326,58.140,39.535,0,0,0,0,221964,123399002,0,0,4506,437
1.754,57.895,39.766,0.585,0,0,49152,225356,122760168,0,0,4427,373
1.500,48.500,50,0,0,0,0,213060,123324620,0,0,2988,384
2,48.500,49.500,0,0,0,0,223236,123371190,0,0,2980,360
3.590,48.205,48.205,0,0,0,0,224932,122836312,0,0,3253,377
1.744,58.140,40.116,0,0,0,0,222600,123388132,0,0,4507,390
1.176,58.824,38.824,1.176,0,0,12288,221328,123300088,0,0,4503,397
2.326,57.558,40.116,0,0,0,0,227370,123366880,0,0,4499,411
1.676,46.369,51.955,0,0,0,0,188466,94967736,0,0,3847,416
1.676,55.307,43.017,0,0,0,0,228642,121005740,0,0,4247,335
1.081,53.514,45.405,0,0,0,0,228112,121096820,0,0,4044,362
1.149,57.471,40.805,0.575,0,0,40960,229490,121660540,0,0,4501,356
2.273,56.818,40.909,0,0,0,0,223660,121718224,0,0,4511,382
1.149,57.471,41.379,0,0,0,0,226946,122157362,0,0,4489,341
0,58.140,41.860,0,0,0,0,224720,122424148,0,0,4457,341
1.143,57.143,41.714,0,0,0,0,223978,122039552,0,0,4472,347
0.578,57.803,41.040,0.578,0,0,12288,225462,121904206,0,0,4467,331
1.163,57.558,41.279,0,0,0,0,228960,121779974,0,0,4471,347
1.124,47.191,51.685,0,0,0,0,179986,95114961,0,0,3833,432
0.578,57.803,41.618,0,0,0,0,228430,120921952,0,0,4450,318
0.575,57.471,41.954,0,0,0,0,219526,121036344,0,0,4487,354
2.083,51.042,46.354,0.521,0,0,40960,230762,120511498,0,0,3443,383
2.488,47.761,49.751,0,0,0,0,226310,121931530,0,0,3121,394
2.010,48.241,49.749,0,0,0,8192,228748,121680274,0,0,3091,369
2.985,47.264,49.751,0,0,0,0,230126,121765038,0,0,3082,372
1.508,48.744,49.749,0,0,0,0,225568,121834622,0,0,3089,387
2,48.500,48.500,1,0,0,20480,224614,121774146,0,0,3076,377
2.010,48.241,49.749,0,0,0,0,216240,122022854,0,0,3055,360
3.158,42.105,54.737,0,0,0,40960,183166,94938195,0,0,3109,449
0.578,57.803,41.618,0,0,0,0,220480,122849730,0,0,4498,350
1.744,58.140,40.116,0,0,0,0,224190,123368398,0,0,4501,381
0.581,57.558,40.698,1.163,0,0,49152,227264,122683482,0,0,4498,345
1.714,57.143,41.143,0,0,0,0,220692,122892234,0,0,4515,362
0.565,56.497,40.113,2.825,0,0,53248,222812,122765210,0,0,4260,360
3.980,46.766,49.254,0,0,0,0,225992,123294016,0,0,2993,393
3.500,46.500,50,0,0,0,0,220056,123372952,0,0,2992,377
0,56.180,42.135,1.685,0,0,28672,225886,122520026,0,0,4202,368
2.273,56.818,40.909,0,0,0,0,223978,122451472,0,0,4496,347
1.136,46.591,52.273,0,0,0,0,176486,95122363,0,0,3677,414
1.149,57.471,41.379,0,0,0,0,225356,122324204,0,0,4455,335
1.143,57.143,41.714,0,0,0,0,229702,122471450,0,0,4468,370
1.724,57.471,40.805,0,0,0,40960,225780,122000328,0,0,4460,362
1.714,57.143,41.143,0,0,0,0,221222,122240226,0,0,4484,384
0.578,57.803,41.618,0,0,0,0,229490,122277390,0,0,4465,346
1.149,57.471,41.379,0,0,0,0,230550,122566596,0,0,4472,324
2.260,54.237,43.503,0,0,0,0,228430,121962134,0,0,4221,378
2.475,48.020,48.515,0.990,0,0,12288,224932,122843902,0,0,2989,404
5.970,44.279,49.751,0,0,0,0,228960,123330448,0,0,2987,389
1.515,42.424,56.061,0,0,0,0,192174,100942945,0,0,2586,381
1.156,55.491,43.353,0,0,0,0,218892,117447382,0,0,4403,379
1.143,57.143,41.714,0,0,0,0,232458,122471206,0,0,4498,341
0.578,57.803,41.040,0.578,0,0,40960,232034,122501566,0,0,4508,353
1.149,57.471,41.379,0,0,0,0,229066,122504358,0,0,4504,353
1.149,57.471,41.379,0,0,0,0,229278,122383406,0,0,4496,362
0,58.140,41.860,0,0,0,0,228854,122396824,0,0,4498,357
0,58.480,41.520,0,0,0,0,227688,122248548,0,0,4497,337
1.705,56.818,40.909,0.568,0,0,12288,230656,122457544,0,0,4501,378
1.156,57.803,41.040,0,0,0,0,229808,122931946,0,0,4489,329
1.744,58.140,40.116,0,0,0,0,229596,123474414,0,0,4515,432
3.535,39.394,57.071,0,0,0,0,188148,95058818,0,0,2588,421
2,48.500,49.500,0,0,0,0,218890,121904450,0,0,3076,371
1.657,54.144,43.646,0.552,0,0,40960,229172,121123900,0,0,4226,359
1.714,57.143,41.143,0,0,0,0,232034,121633460,0,0,4503,394
1.724,56.897,41.379,0,0,0,0,227370,122152670,0,0,4469,361
0.578,57.803,41.618,0,0,0,4096,227582,122062078,0,0,4458,338
0,57.803,42.197,0,0,0,0,220586,122141014,0,0,4474,361
2.235,55.866,40.782,1.117,0,0,12288,222282,121369402,0,0,4354,374
2.010,48.241,49.749,0,0,0,0,230126,121845492,0,0,2987,387
3.500,46.500,50,0,0,0,0,221858,121442192,0,0,3184,390
3.261,43.478,53.261,0,0,0,45056,182212,94304350,0,0,3370,422
1.149,57.471,41.379,0,0,0,0,231822,122936500,0,0,4498,348
0.578,57.803,41.618,0,0,0,45056,232670,122959270,0,0,4493,351
0.578,57.225,42.197,0,0,0,0,229066,122617964,0,0,4493,345
2.286,57.143,40.571,0,0,0,0,223660,122640628,0,0,4498,369
0,58.480,41.520,0,0,0,0,225674,123135114,0,0,4479,346
1.143,57.143,41.714,0,0,0,0,213166,123031646,0,0,4499,336
1.143,57.143,41.714,0,0,0,0,226310,122838074,0,0,4491,320
0.513,50.256,48.205,1.026,0,0,12288,227158,122822650,0,0,3153,367
2.970,47.525,49.505,0,0,0,0,220586,123151812,0,0,3029,371
2.105,42.632,55.263,0,0,0,0,181999,94791872,0,0,3170,437
1.149,57.471,41.379,0,0,0,0,232140,121450026,0,0,4495,349
1.026,49.744,49.231,0,0,0,0,225674,122661688,0,0,3189,364
1.990,48.756,48.756,0.498,0,0,40960,218678,123362082,0,0,2986,360
3.518,46.734,49.749,0,0,0,0,223872,123303124,0,0,2994,398
3.518,46.734,49.749,0,0,0,0,227264,123359534,0,0,2996,362
0.995,49.254,49.751,0,0,0,0,206064,123205972,0,0,2998,383
6.030,44.221,49.749,0,0,0,0,229172,123221152,0,0,2951,394
2.985,47.264,48.259,1.493,0,0,12288,225780,123209252,0,0,3002,389
3.535,46.465,50,0,0,0,0,225780,123331966,0,0,2955,380
2.051,42.051,55.897,0,0,0,0,177548,95376377,0,0,2720,420
1.156,57.225,41.618,0,0,0,0,229278,121706080,0,0,4475,365
1.149,57.471,41.379,0,0,0,0,222388,121813614,0,0,4474,360
1.143,57.143,41.714,0,0,0,40960,223766,121201318,0,0,4340,375
2.010,48.241,49.749,0,0,0,0,227264,122067906,0,0,3039,393
3,47.500,49.500,0,0,0,0,232034,122199972,0,0,2999,385
2.260,55.932,41.808,0,0,0,8192,229702,121472552,0,0,4611,368
0.581,58.140,41.279,0,0,0,0,228536,121800196,0,0,4487,353
1.149,57.471,40.230,1.149,0,0,20480,228960,122008704,0,0,4487,348
1.156,57.803,41.040,0,0,0,0,227264,121625764,0,0,4493,337
1.130,48.023,50.847,0,0,0,0,189735,102009879,0,0,3876,400
3.333,54.444,42.222,0,0,0,0,217938,114835230,0,0,4340,411
1.170,58.480,40.351,0,0,0,0,226946,123093342,0,0,4495,377
2.326,58.140,38.372,1.163,0,0,40960,226946,123403312,0,0,4509,410
3.261,52.717,44.022,0,0,0,0,225674,122961818,0,0,3890,391
3,47,50,0,0,0,0,231716,122919802,0,0,2953,376
4,46.500,49.500,0,0,0,45056,225886,122875780,0,0,3017,397
1.500,49,49.500,0,0,0,0,230020,123045552,0,0,3007,373
2.513,47.739,48.744,1.005,0,0,12288,230762,123040998,0,0,3008,388
1.500,49,49.500,0,0,0,0,232034,123081984,0,0,3000,374
0.500,49.500,50,0,0,0,0,227052,123168266,0,0,3020,368
2.793,45.251,51.955,0,0,0,40960,182847,95362994,0,0,3827,486
0.578,57.803,41.618,0,0,0,0,224720,122590884,0,0,4482,338
1.143,57.143,40.571,1.143,0,0,45056,208502,122265246,0,0,4468,354
2.020,47.980,50,0,0,0,0,221010,122755560,0,0,3043,367
3,47.500,49.500,0,0,0,0,225992,123089818,0,0,3003,378
2.985,47.761,49.254,0,0,0,0,222812,123212044,0,0,2975,367
2.985,47.264,49.751,0,0,0,0,228536,123075668,0,0,2943,365
4.545,45.455,49.495,0.505,0,0,12288,221116,122898444,0,0,2977,380
2.500,48,49.500,0,0,0,0,225462,123281872,0,0,2991,383
2,48,50,0,0,0,0,227582,122759138,0,0,3000,362
1.639,44.809,53.552,0,0,0,0,180410,94478677,0,0,3337,420
0,57.803,42.197,0,0,0,0,233306,121765038,0,0,4493,330
1.149,57.471,40.805,0.575,0,0,40960,230550,121692174,0,0,4518,406
0.578,57.803,41.618,0,0,0,0,227264,121893824,0,0,4498,355
1.579,51.053,47.368,0,0,0,0,232246,121293916,0,0,3538,362
2.488,48.259,49.254,0,0,0,0,228430,122203008,0,0,3039,377
1.047,51.309,47.644,0,0,0,4096,227158,121633216,0,0,3647,384
1.705,56.818,40.341,1.136,0,0,12288,228642,121889758,0,0,4502,383
2.286,57.143,40.571,0,0,0,0,234154,121899652,0,0,4502,375
0,57.803,42.197,0,0,0,0,228960,121834622,0,0,4492,335
1.705,46.591,51.705,0,0,0,0,184120,94925213,0,0,3767,425
1.714,56.571,41.714,0,0,0,0,222600,121336420,0,0,4490,357
1.149,57.471,40.805,0.575,0,0,40960,228748,121225362,0,0,4514,375
2.825,56.497,40.678,0,0,0,0,226628,121346802,0,0,4515,425
0.575,57.471,41.954,0,0,0,0,227052,121246858,0,0,4496,338
1.714,57.143,41.143,0,0,0,0,230232,121280010,0,0,4508,396
0.578,57.803,41.618,0,0,0,0,235956,121437882,0,0,4456,339
1.149,57.471,40.805,0.575,0,0,12288,228960,121651188,0,0,4473,369
1.714,57.143,41.143,0,0,0,0,222918,121759210,0,0,4474,357
0.585,57.895,41.520,0,0,0,0,223766,121581604,0,0,4461,343
3.333,45.556,51.111,0,0,0,0,182423,94571243,0,0,3676,422
1.143,57.143,41.714,0,0,0,0,227370,121134282,0,0,4466,391
1.714,57.143,40.571,0.571,0,0,40960,230762,121167922,0,0,4501,383
0,58.140,41.860,0,0,0,0,231610,121389306,0,0,4500,339
2.286,56.571,41.143,0,0,0,0,226416,121283046,0,0,4501,348
0.578,57.803,41.618,0,0,0,0,227264,121072532,0,0,4494,350
1.124,55.618,43.258,0,0,0,36864,230444,120430120,0,0,4219,364
2,48,49,1,0,0,12288,232882,122209080,0,0,3067,372
2.985,47.761,49.254,0,0,0,0,229490,122168094,0,0,3071,384
1.515,48.485,50,0,0,0,0,231186,122316614,0,0,3052,345
2.985,41.791,55.224,0,0,0,0,198842,104897525,0,0,2697,419
3.429,52.571,44,0,0,0,40960,214767,111468171,0,0,4265,407
1.714,57.143,40.571,0.571,0,0,53248,225568,121462170,0,0,4510,379
1.149,57.471,41.379,0,0,0,0,228430,121505704,0,0,4499,361
1.714,57.143,41.143,0,0,0,0,226734,121201318,0,0,4504,346
1.143,57.143,41.714,0,0,0,0,228324,121513538,0,0,4507,378
3.500,47,49.500,0,0,0,0,228536,122072704,0,0,3023,382
1.515,48.485,48.990,1.010,0,0,12288,226628,122149878,0,0,3049,383
3.465,47.030,49.505,0,0,0,0,229914,122505876,0,0,3032,386
0.571,57.143,42.286,0,0,0,0,232140,121027236,0,0,4401,377
2.139,51.872,45.989,0,0,0,0,229278,121169440,0,0,3764,357
2.260,45.763,51.977,0,0,0,8192,182848,95131661,0,0,3595,435
2.825,56.497,39.548,1.130,0,0,49152,232352,122272836,0,0,4472,394
0,58.140,41.860,0,0,0,0,225568,121053530,0,0,4467,360
0,58.140,41.860,0,0,0,0,230656,121186382,0,0,4459,358
1.143,57.143,41.714,0,0,0,0,232246,121304436,0,0,4441,357
1.149,57.471,41.379,0,0,0,0,225886,122186066,0,0,4479,378
0.578,57.803,41.040,0.578,0,0,12288,232352,122062078,0,0,4499,346
2.825,56.497,40.678,0,0,0,0,225568,121983142,0,0,4501,377
0.578,57.803,41.618,0,0,0,0,230974,122131662,0,0,4501,353
1.163,57.558,41.279,0,0,0,0,234260,121984904,0,0,4499,369
1.705,45.455,52.841,0,0,0,0,183272,94463408,0,0,3662,417
1.149,57.471,40.805,0.575,0,0,40960,229808,122836556,0,0,4506,362
2.260,56.497,41.243,0,0,0,0,224826,122960544,0,0,4503,358
0,58.140,41.860,0,0,0,0,227370,122313036,0,0,4486,340
1.156,57.225,41.618,0,0,0,0,232140,122507638,0,0,4505,370
0.575,57.471,41.954,0,0,0,0,223236,122418076,0,0,4498,352
1.093,54.098,44.262,0.546,0,0,12288,222812,121780218,0,0,3908,368
3.980,46.766,49.254,0,0,0,0,223342,122137734,0,0,3086,399
2.513,47.236,50.251,0,0,0,0,223236,122309268,0,0,3036,367
1,49.500,49.500,0,0,0,0,223236,121939120,0,0,3071,372
2.646,42.328,55.026,0,0,0,0,175745,95091759,0,0,3077,404
1.136,56.818,41.477,0.568,0,0,94208,228324,122554452,0,0,4540,393
2.857,56.571,40.571,0,0,0,0,221752,122093956,0,0,4518,375
1.143,57.143,41.714,0,0,0,0,223766,122733332,0,0,4488,354
1.714,57.143,41.143,0,0,0,0,223342,122621244,0,0,4477,384
1.143,57.143,41.714,0,0,0,0,225674,122780390,0,0,4461,359
1.058,52.381,45.503,1.058,0,0,12288,229384,122416558,0,0,3590,349
2.010,48.241,49.749,0,0,0,0,218678,123289462,0,0,2944,382
2.513,47.739,49.749,0,0,0,0,229490,123368398,0,0,2959,362
1.015,50.761,48.223,0,0,0,0,222388,122498530,0,0,3227,378
1.130,46.328,52.542,0,0,0,0,183272,95254396,0,0,3674,424
1.724,57.471,40.230,0.575,0,0,86016,223554,121590956,0,0,4518,385
1.149,56.897,41.954,0,0,0,0,224720,121603100,0,0,4504,351
1.149,57.471,41.379,0,0,0,0,228430,121867774,0,0,4491,339
0,58.480,41.520,0,0,0,0,230126,121711908,0,0,4493,325
1.705,56.818,41.477,0,0,0,0,225992,121569704,0,0,4491,342
0.578,57.803,41.040,0.578,0,0,20480,224826,121566534,0,0,4510,366
1.143,57.143,41.714,0,0,0,0,225038,121412320,0,0,4506,360
0.578,57.803,41.618,0,0,0,0,221010,121722534,0,0,4485,322
1.705,56.818,41.477,0,0,0,0,224932,121934566,0,0,4503,377
1.705,49.432,48.864,0,0,0,0,201587,105039973,0,0,3959,355
1.149,54.598,43.103,1.149,0,0,32768,219643,112228147,0,0,4429,394
0.578,57.803,41.618,0,0,0,0,226204,122522574,0,0,4505,344
1.156,57.225,41.618,0,0,0,0,225144,122346974,0,0,4495,363
2.260,56.497,41.243,0,0,0,0,229808,121984904,0,0,4500,381
0,57.803,42.197,0,0,0,0,228430,122137734,0,0,4499,357
0,58.140,41.279,0.581,0,0,36864,232564,122048416,0,0,4494,338
2.273,56.818,40.909,0,0,0,0,225462,122083330,0,0,4506,366
0,57.803,42.197,0,0,0,0,230656,122072704,0,0,4484,353
1.705,57.386,40.909,0,0,0,0,223660,122172892,0,0,4476,359
1.149,57.471,41.379,0,0,0,0,225992,122107374,0,0,4462,354
1.705,46.023,52.273,0,0,0,0,181152,94535542,0,0,3662,425
1.156,57.225,41.040,0.578,0,0,40960,226204,121939364,0,0,4479,382
1.143,57.143,41.714,0,0,0,0,233624,121766800,0,0,4460,372
2.286,57.143,40.571,0,0,0,0,228960,122034510,0,0,4498,434
1.149,57.471,41.379,0,0,0,0,219844,121880162,0,0,4496,317
0,57.803,42.197,0,0,0,0,227052,121481660,0,0,4490,331
2.299,56.897,40.230,0.575,0,0,12288,225780,121412076,0,0,4510,389
0,57.803,42.197,0,0,0,0,223024,121581848,0,0,4487,308
2.210,55.249,42.541,0,0,0,0,228218,121032820,0,0,4282,426
2.513,47.739,49.749,0,0,0,0,229172,122434774,0,0,3053,389
2.174,44.022,53.804,0,0,0,0,173306,94819493,0,0,3392,467
1.714,57.143,40,1.143,0,0,90112,226946,121632186,0,0,4512,388
1.149,57.471,41.379,0,0,0,0,223978,121878400,0,0,4487,354
2.513,48.241,49.246,0,0,0,0,226734,122086366,0,0,3055,395
2.500,47.500,50,0,0,0,0,223554,122504602,0,0,3048,381
3.500,47,49.500,0,0,0,0,224084,121863464,0,0,3198,365
0,58.140,40.698,1.163,0,0,20480,226734,121831830,0,0,4561,349
1.705,56.818,41.477,0,0,0,0,231504,122025646,0,0,4503,352
0.578,57.803,41.618,0,0,0,0,223660,121716462,0,0,4500,365
1.149,57.471,41.379,0,0,0,0,227794,121796916,0,0,4494,365
1.685,46.067,52.247,0,0,0,0,182742,95210403,0,0,3719,446
1.149,57.471,41.379,0,0,0,40960,222494,122354320,0,0,4507,353
1.546,50.515,47.423,0.515,0,0,45056,227476,122702972,0,0,3276,364
4.020,45.729,50.251,0,0,0,0,227476,123195590,0,0,2969,373
3,47.500,49.500,0,0,0,0,222918,123192554,0,0,2963,366
4,46.500,49.500,0,0,0,0,222918,123069596,0,0,2962,373
2.500,47.500,50,0,0,0,0,225144,122977486,0,0,2990,374
1.990,48.756,48.259,0.995,0,0,12288,229808,123180410,0,0,2959,369
2.513,47.236,50.251,0,0,0,0,226946,123098438,0,0,3038,393
4.020,46.231,49.749,0,0,0,0,225780,123127524,0,0,3009,358
4.592,39.286,56.122,0,0,0,0,179348,95130877,0,0,2739,425
1.149,57.471,41.379,0,0,0,0,227794,122582020,0,0,4495,362
1.724,57.471,40.805,0,0,0,40960,220056,122857564,0,0,4502,367
