"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/iperf3-1572541814-100-macsec-morus640-e-1500-dstat.csv",,,,"Date:","01 Nov 2019 04:05:29 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.860,39.562,58.293,0.284,0,37962.092,58821.669,0,0,16.013,71.193,5898.214,903.376
2.030,46.193,51.777,0,0,0,0,100384,41660492,0,0,1341,455
1.005,49.246,49.749,0,0,0,0,99640,43253366,0,0,1252,416
1.493,48.756,49.751,0,0,0,0,102714,43277654,0,0,1249,422
1.980,48.515,47.525,1.980,0,0,61440,97096,43345720,0,0,1274,434
1.005,49.246,49.749,0,0,0,0,100806,43301942,0,0,1248,439
1,49.500,49.500,0,0,0,0,100700,43292834,0,0,1248,438
1.493,48.756,49.751,0,0,0,0,99640,43308014,0,0,1246,434
1.508,48.744,49.749,0,0,0,0,101548,43309288,0,0,1245,429
1.047,51.309,47.644,0,0,0,4096,107696,43007938,0,0,6351,414
1.143,57.714,40.571,0.571,0,0,12288,106742,43088148,0,0,18529,340
1.136,47.159,51.705,0,0,0,0,91900,33512503,0,0,14446,426
0.578,57.803,41.618,0,0,0,0,109922,43091184,0,0,18590,345
1.596,53.191,45.213,0,0,0,0,110346,43042608,0,0,10197,398
1.005,49.246,49.749,0,0,0,0,100170,43509664,0,0,1269,433
1,49,49,1,0,0,40960,97944,43526118,0,0,1284,442
1.130,56.497,42.373,0,0,0,0,110028,43036780,0,0,16357,358
0.581,58.140,41.279,0,0,0,0,106848,43329022,0,0,18718,339
0,58.140,41.860,0,0,0,0,105576,43365454,0,0,18720,342
1.156,57.803,41.040,0,0,0,0,102714,43350518,0,0,18788,355
0.578,57.803,41.040,0.578,0,0,12288,106318,43327504,0,0,18774,353
