"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aegis128l-e-frag-1500-dstat.csv",,,,"Date:","31 Oct 2019 23:04:06 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.982,35.077,62.578,0.363,0,69692.549,91085.858,0,0,28.791,115.787,6102.438,955.305
3.933,12.360,83.708,0,0,0,0,250080,249920,0,0,5039,3414
2.186,13.115,84.699,0,0,0,0,283040,283040,0,0,4605,3788
2.809,14.045,83.146,0,0,0,0,260160,260160,0,0,5309,3541
2.312,12.717,84.971,0,0,0,0,267520,267680,0,0,5419,3604
2.841,13.636,82.386,1.136,0,0,32768,269120,268960,0,0,5467,3655
2.299,14.368,83.333,0,0,0,0,272562,272832,0,0,5540,3702
2.353,11.765,85.882,0,0,0,0,272480,272320,0,0,5513,3673
3.448,13.218,83.333,0,0,0,0,272000,272160,0,0,5526,3693
2.890,12.717,84.393,0,0,0,0,272480,272480,0,0,5516,3712
2.778,16.111,80.556,0.556,0,0,12288,272320,272320,0,0,5549,3714
2.825,15.254,81.921,0,0,0,0,272640,272480,0,0,5532,3688
2.286,14.286,83.429,0,0,0,0,272800,272960,0,0,5522,3685
2.809,15.730,81.461,0,0,0,0,273120,273120,0,0,5558,3714
2.312,13.873,83.815,0,0,0,0,275040,275200,0,0,5570,3719
2.825,14.689,81.356,1.130,0,0,12288,272960,272960,0,0,5555,3722
3.977,13.636,82.386,0,0,0,0,274560,274400,0,0,5572,3730
2.874,13.793,83.333,0,0,0,0,275680,275680,0,0,5595,3732
3.371,14.607,82.022,0,0,0,0,272320,272480,0,0,5557,3725
1.149,14.943,83.908,0,0,0,0,270240,270240,0,0,5502,3657
2.273,15.341,82.386,0,0,0,12288,269440,269440,0,0,5509,3699
3.333,16.111,80.556,0,0,0,0,270400,270400,0,0,5518,3678
2.778,15.556,81.667,0,0,0,0,268320,268160,0,0,5473,3635
3.371,13.483,83.146,0,0,0,0,298080,298240,0,0,5251,4011
2.793,15.084,82.123,0,0,0,0,266240,266080,0,0,5439,3606
3.867,14.917,79.558,1.657,0,0,12288,265440,265710,0,0,5446,3648
3.955,13.559,82.486,0,0,0,65536,266720,266560,0,0,5450,3630
2.299,13.218,84.483,0,0,0,0,268160,268320,0,0,5473,3664
