"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","01 Nov 2019 02:16:35 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.883,38.647,59.169,0.301,0,45776.093,65909.582,0,0,19.353,73.097,6324.856,903.745
4.520,12.429,83.051,0,0,0,0,238240,238400,0,0,4909,3289
1.714,13.714,84.571,0,0,0,0,237120,237120,0,0,4858,3264
2.299,12.644,85.057,0,0,0,0,236640,236480,0,0,4856,3246
3.315,14.917,81.768,0,0,0,0,236320,236480,0,0,4882,3268
2.857,12.571,83.429,1.143,0,0,32768,233920,233870,0,0,4828,3225
2.890,11.561,85.549,0,0,0,0,235442,235602,0,0,4837,3230
2.260,14.124,83.616,0,0,0,0,233760,233600,0,0,4818,3206
2.210,16.022,81.768,0,0,0,0,232000,232160,0,0,4797,3185
2.260,14.124,83.616,0,0,0,0,230240,230080,0,0,4750,3164
2.857,12.571,84,0.571,0,0,12288,229760,229760,0,0,4737,3154
2.762,15.470,81.768,0,0,0,0,231040,231040,0,0,4786,3193
2.793,11.732,85.475,0,0,0,0,258880,258880,0,0,4375,3463
3.371,12.921,83.708,0,0,0,0,232000,232160,0,0,4782,3196
2.793,14.525,82.682,0,0,0,0,229600,229600,0,0,4740,3146
3.911,13.408,81.564,1.117,0,0,12288,223360,223200,0,0,4613,3075
2.809,14.607,82.584,0,0,0,0,226880,226880,0,0,4705,3146
2.841,13.068,84.091,0,0,0,0,224320,224320,0,0,4622,3078
3.333,15,81.667,0,0,0,0,222720,222720,0,0,4616,3069
1.705,14.773,83.523,0,0,0,0,224160,224160,0,0,4638,3088
3.390,12.994,83.051,0.565,0,0,12288,220960,220960,0,0,4564,3040
3.371,10.674,85.955,0,0,0,0,261280,261280,0,0,4228,3517
3.333,8.889,87.778,0,0,0,0,286240,286350,0,0,4026,3804
2.747,12.088,82.418,2.747,0,0,86016,271680,271840,0,0,4239,3658
3.889,10,86.111,0,0,0,0,265760,265600,0,0,4230,3543
2.286,12.571,84,1.143,0,0,36864,229600,229760,0,0,4365,3134
2.273,13.068,84.659,0,0,0,0,240800,240640,0,0,4408,3323
3.509,11.111,85.380,0,0,0,0,218400,218400,0,0,4498,3008
2.186,16.393,81.421,0,0,0,4096,233920,233920,0,0,4377,3172
4.396,10.989,84.615,0,0,0,0,259360,259360,0,0,4202,3484
3.889,11.667,82.222,2.222,0,0,36864,238560,238560,0,0,4170,3230
2.717,16.848,80.435,0,0,0,0,229842,230002,0,0,4436,3136
1.143,12.571,86.286,0,0,0,0,240320,240160,0,0,4215,3245
1.657,17.680,80.663,0,0,0,2998272,215040,215200,0,0,4479,3004
4.545,13.068,82.386,0,0,0,0,270688,270528,0,0,4466,3038
2.717,11.413,84.239,1.630,0,0,32768,458208,458496,0,0,3883,3434
2.222,16.667,81.111,0,0,0,0,389746,389746,0,0,4521,3043
3.315,16.575,80.110,0,0,0,0,384192,384192,0,0,4422,2925
2.703,18.378,78.919,0,0,0,0,384192,383904,0,0,4437,2924
3.448,13.218,83.333,0,0,0,0,383616,383616,0,0,4418,2934
4.396,15.385,79.121,1.099,0,0,12288,377280,377568,0,0,4354,2866
3.804,16.848,79.348,0,0,0,0,387360,387360,0,0,4480,2976
2.825,15.254,81.921,0,0,0,0,379872,379584,0,0,4366,2877
3.390,14.124,82.486,0,0,0,0,387648,387648,0,0,4457,2966
1.724,14.943,83.333,0,0,0,0,385344,385344,0,0,4422,2917
2.688,18.817,77.957,0.538,0,0,12288,381312,381312,0,0,4410,2911
4.444,14.444,81.111,0,0,0,0,389376,389376,0,0,4485,2985
3.763,18.280,77.957,0,0,0,0,386496,386784,0,0,4464,2953
2.222,16.667,81.111,0,0,0,0,383328,383328,0,0,4399,2925
2.260,15.819,81.921,0,0,0,0,382752,382464,0,0,4399,2925
3.390,13.559,81.921,1.130,0,0,12288,383328,383616,0,0,4407,2950
2.198,18.132,79.670,0,0,0,0,384768,384768,0,0,4427,2939
4.762,17.460,77.778,0,0,0,0,392256,392256,0,0,4530,2993
3.784,17.838,78.378,0,0,0,0,384192,383904,0,0,4427,2925
2.857,13.714,83.429,0,0,0,0,383904,384192,0,0,4408,2919
5.618,12.360,81.461,0.562,0,0,12288,385344,385056,0,0,4423,2933
2.762,11.050,86.188,0,0,0,0,451954,451954,0,0,3962,3379
3.279,14.754,81.967,0,0,0,0,411840,412238,0,0,4349,3123
2.717,16.304,80.978,0,0,0,0,404064,403776,0,0,4295,3051
4.278,18.182,75.936,1.604,0,0,57344,381312,381312,0,0,4432,2921
1.775,11.834,84.615,1.775,0,0,12288,379008,379008,0,0,4344,2877
3.297,13.736,82.967,0,0,0,0,415008,415008,0,0,4437,3143
2.151,19.355,78.495,0,0,0,0,385632,385920,0,0,4446,2924
2.732,18.033,79.235,0,0,0,0,383040,382752,0,0,4436,2924
4.813,17.112,78.075,0,0,0,2629632,384480,384768,0,0,4452,2960
2.186,18.033,78.689,1.093,0,0,32768,376704,376416,0,0,4367,2900
2.841,13.636,83.523,0,0,0,0,396576,396864,0,0,4392,3026
2.890,12.139,84.971,0,0,0,0,396000,395712,0,0,4522,3000
2.941,11.176,85.882,0,0,0,0,406656,406656,0,0,4652,3102
3.390,12.994,83.616,0,0,0,0,428544,428544,0,0,4920,3280
2.809,14.607,82.022,0.562,0,0,12288,430272,430272,0,0,4911,3261
4.469,13.966,81.564,0,0,0,0,655026,655570,0,0,4203,2995
1.724,14.943,83.333,0,0,0,0,680544,680000,0,0,4097,2711
3.977,12.500,83.523,0,0,0,0,697408,697952,0,0,4205,2748
3.488,12.209,84.302,0,0,0,0,673472,673472,0,0,4069,2680
3.867,16.022,79.558,0.552,0,0,16384,670208,669664,0,0,4075,2661
3.846,16.484,79.670,0,0,0,0,682720,683264,0,0,4154,2722
3.468,12.139,84.393,0,0,0,0,683264,682720,0,0,4110,2684
4,13.143,82.857,0,0,0,0,665312,665312,0,0,4051,2647
2.688,19.355,77.957,0,0,0,0,680000,680000,0,0,4149,2692
5.085,12.429,81.921,0.565,0,0,12288,689330,689330,0,0,4166,2710
4.891,15.761,79.348,0,0,0,0,678912,678912,0,0,4148,2709
3.352,15.642,81.006,0,0,0,0,679456,680000,0,0,4127,2719
3.509,11.111,85.380,0,0,0,0,687072,686528,0,0,4139,2706
3.911,15.084,81.006,0,0,0,0,663680,664224,0,0,4053,2639
2.907,12.209,83.721,1.163,0,0,12288,665856,665856,0,0,4031,2667
5,13.889,81.111,0,0,0,0,689792,689792,0,0,4190,2735
3.429,15.429,81.143,0,0,0,0,632128,631584,0,0,3872,2534
3.175,20.106,76.720,0,0,0,0,669120,669120,0,0,4114,2668
5.056,13.483,81.461,0,0,0,0,668032,668032,0,0,4064,2646
3.371,14.607,80.899,1.124,0,0,12288,678912,678912,0,0,4105,2665
4.945,14.835,80.220,0,0,0,0,683808,684352,0,0,4171,2726
2.793,16.201,81.006,0,0,0,0,676192,676192,0,0,4113,2677
4.624,12.139,83.237,0,0,0,0,657152,656608,0,0,4008,2636
2.247,16.292,81.461,0,0,0,2469888,665312,665856,0,0,4058,2659
3.390,14.689,80.226,1.695,0,0,20480,653888,653344,0,0,3996,2631
4.545,13.636,81.818,0,0,0,0,674016,674016,0,0,4109,2734
2.890,13.873,83.237,0,0,0,0,667488,668032,0,0,4049,2681
2.841,14.205,82.955,0,0,0,0,710464,709920,0,0,4274,2897
3.209,19.786,77.005,0,0,0,0,722432,722432,0,0,4420,2933
2.299,13.793,82.184,1.724,0,0,40960,709920,709920,0,0,4326,2886
4.688,19.792,75.521,0,0,0,0,720800,720800,0,0,4407,2915
3.743,18.182,78.075,0,0,0,0,737120,737664,0,0,4504,2969
3.743,19.251,77.005,0,0,0,0,725152,725152,0,0,4443,2953
2.174,19.022,78.804,0,0,0,0,722976,722432,0,0,4435,2928
2.674,17.647,78.610,1.070,0,0,36864,785700,786244,0,0,4364,3165
5.319,17.553,77.128,0,0,0,0,739296,739296,0,0,4536,3003
3.297,16.484,80.220,0,0,0,0,743104,742560,0,0,4513,3003
2.747,17.582,79.670,0,0,0,0,733856,734400,0,0,4484,2975
3.784,18.378,77.838,0,0,0,0,727328,726784,0,0,4454,2939
7.216,19.588,72.165,1.031,0,0,16384,898144,898144,0,0,3922,2621
4.545,25.758,69.697,0,0,0,0,1075008,1076064,0,0,3521,2291
3.409,18.750,77.841,0,0,0,0,1071840,1071840,0,0,3444,2240
7.104,17.486,75.410,0,0,0,0,1070784,1069728,0,0,3470,2293
5.348,20.856,73.797,0,0,0,0,1069728,1070784,0,0,3471,2267
5.612,24.490,68.878,1.020,0,0,12288,1057056,1056000,0,0,3459,2261
4.286,30,65.714,0,0,0,0,1062336,1063392,0,0,3523,2276
3.865,29.952,66.184,0,0,0,0,1065504,1065504,0,0,3503,2262
8.293,24.390,67.317,0,0,0,0,1065504,1064448,0,0,3497,2248
2.970,29.208,67.822,0,0,0,0,1066560,1067616,0,0,3503,2256
3.398,29.126,66.505,0.971,0,0,12288,1059168,1059168,0,0,3462,2223
2.083,26.042,71.875,0,0,0,0,1063392,1063392,0,0,3452,2256
4.145,24.870,70.984,0,0,0,0,1063392,1062336,0,0,3440,2223
2.674,23.529,73.797,0,0,0,0,1060224,1060224,0,0,3437,2228
3.185,8.917,87.898,0,0,0,0,1065504,1066560,0,0,3371,2227
7.609,17.391,73.370,1.630,0,0,2269184,1044384,1044494,0,0,3400,2230
