"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aesgcm-e-frag-jumbo-1500-dstat.csv",,,,"Date:","01 Nov 2019 00:29:22 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.946,37.143,60.584,0.328,0,55448.762,77075.528,0,0,24.355,91.990,6521.942,928.845
2.247,14.607,83.146,0,0,0,0,251680,251680,0,0,4931,3428
1.176,12.353,86.471,0,0,0,0,249920,249920,0,0,5119,3444
2.841,13.636,83.523,0,0,0,0,246720,246880,0,0,5052,3402
3.390,13.559,83.051,0,0,0,0,246400,246400,0,0,5027,3362
2.222,15.556,81.667,0.556,0,0,36864,245600,245710,0,0,5049,3376
2.841,13.636,83.523,0,0,0,0,247442,247282,0,0,5064,3376
1.744,12.209,86.047,0,0,0,0,245920,245920,0,0,5025,3343
3.911,13.966,82.123,0,0,0,0,247840,248000,0,0,5089,3408
2.890,12.139,84.971,0,0,0,0,246560,246400,0,0,5041,3372
2.841,11.932,74.432,10.795,0,0,135168,230400,230400,0,0,4747,3173
3.448,12.069,84.483,0,0,0,0,247200,247200,0,0,5053,3371
3.867,14.917,81.215,0,0,0,0,246400,246400,0,0,5060,3356
3.448,12.069,84.483,0,0,0,0,247680,247680,0,0,5072,3385
2.890,11.561,85.549,0,0,0,0,245920,246080,0,0,5020,3337
3.371,12.921,81.461,2.247,0,0,57344,243200,243040,0,0,5011,3359
3.279,16.393,80.328,0,0,0,0,245440,245440,0,0,5050,3326
2.793,12.849,84.358,0,0,0,0,260480,260480,0,0,4667,3499
3.409,12.500,84.091,0,0,0,0,245760,245920,0,0,5037,3371
2.841,13.636,83.523,0,0,0,0,244800,244800,0,0,5010,3330
1.667,16.111,81.667,0.556,0,0,20480,245600,245600,0,0,5055,3369
3.955,12.429,83.616,0,0,0,20480,247360,247200,0,0,5071,3390
5.028,12.849,82.123,0,0,0,0,247200,247360,0,0,5080,3397
3.867,14.365,81.768,0,0,0,0,241280,241390,0,0,4955,3290
3.371,13.483,83.146,0,0,0,0,246240,246080,0,0,5027,3351
4.023,10.920,82.759,2.299,0,0,49152,242720,242720,0,0,4960,3323
3.911,13.408,82.682,0,0,0,4096,245600,245600,0,0,5028,3351
1.705,14.205,84.091,0,0,0,0,245760,245920,0,0,5014,3339
2.809,14.607,82.584,0,0,0,0,244160,244160,0,0,5014,3337
1.765,11.176,87.059,0,0,0,0,243680,243520,0,0,4954,3319
2.890,11.561,84.393,1.156,0,0,12288,239200,239360,0,0,4901,3285
1.667,15.556,82.778,0,0,0,2887680,240480,240320,0,0,4949,3296
3.911,13.408,82.682,0,0,0,0,238240,238240,0,0,4889,3265
3.315,16.022,80.663,0,0,0,0,302816,302816,0,0,4597,3084
3.955,14.124,81.921,0,0,0,0,393984,393984,0,0,4540,3025
3.867,12.155,82.320,1.657,0,0,36864,439488,439488,0,0,4281,3325
3.429,13.143,83.429,0,0,0,0,401760,401760,0,0,4638,3095
3.889,15.556,80.556,0,0,0,0,387360,387648,0,0,4482,2996
3.723,18.617,77.660,0,0,0,0,389664,389664,0,0,4513,2993
2.924,11.696,85.380,0,0,0,0,400032,400032,0,0,4583,3059
3.315,16.022,80.110,0.552,0,0,12288,390816,390816,0,0,4521,2998
3.390,14.124,82.486,0,0,0,0,396576,396288,0,0,4557,3032
3.955,13.559,82.486,0,0,0,0,399538,399826,0,0,4599,3073
3.933,14.607,81.461,0,0,0,0,391968,391968,0,0,4522,2997
4.444,14.444,81.111,0,0,0,0,389952,389952,0,0,4516,2997
2.273,15.341,81.818,0.568,0,0,12288,387072,386784,0,0,4465,2974
3.409,13.636,82.955,0,0,0,53248,396000,396000,0,0,4569,3037
3.371,15.169,81.461,0,0,0,0,388512,388512,0,0,4480,2976
3.911,8.939,87.151,0,0,0,0,479232,479232,0,0,4052,3548
4.348,16.848,78.804,0,0,0,0,385344,385632,0,0,4452,2952
4.762,15.873,77.778,1.587,0,0,12288,418752,418752,0,0,4176,3183
1.724,14.368,83.908,0,0,0,1810432,396658,396370,0,0,4563,3048
3.390,13.559,83.051,0,0,0,0,397440,397440,0,0,4355,3039
3.804,9.783,86.413,0,0,0,0,479808,480096,0,0,3932,3564
2.210,17.127,80.663,0,0,0,0,393984,393984,0,0,4547,3053
2.162,18.919,77.838,1.081,0,0,20480,388800,388512,0,0,4508,2990
3.846,15.934,80.220,0,0,0,0,394848,395136,0,0,4561,3021
3.371,15.169,81.461,0,0,0,0,386496,386208,0,0,4451,2941
2.793,13.966,83.240,0,0,0,0,412128,412238,0,0,4316,3127
2.762,12.707,84.530,0,0,0,0,429696,429696,0,0,4060,3197
3.261,14.130,80.978,1.630,0,0,12288,422496,422496,0,0,4245,3223
2.198,17.033,80.769,0,0,0,0,403776,403776,0,0,4566,3075
3.352,15.084,81.564,0,0,0,0,385920,385920,0,0,4462,2969
2.717,18.478,78.804,0,0,0,0,385344,385344,0,0,4472,2953
3.297,17.033,79.670,0,0,0,0,388224,388512,0,0,4495,2971
3.846,15.934,79.670,0.549,0,0,12288,384768,384480,0,0,4442,2956
3.977,13.636,82.386,0,0,0,0,389952,390240,0,0,4494,2993
3.911,12.291,83.799,0,0,0,0,410976,410688,0,0,4341,3114
2.717,18.478,78.804,0,0,0,0,386208,386208,0,0,4491,2972
6.111,14.444,79.444,0,0,0,0,560576,560576,0,0,4246,2825
4.023,12.644,82.184,1.149,0,0,16384,675104,675104,0,0,4137,2752
3.390,15.819,80.791,0,0,0,0,670752,671296,0,0,4139,2752
3.448,13.793,82.759,0,0,0,0,674560,674560,0,0,4127,2745
6.077,14.365,79.558,0,0,0,0,680544,680544,0,0,4156,2743
3.933,14.607,81.461,0,0,0,0,679456,679456,0,0,4133,2717
3.352,16.201,79.888,0.559,0,0,12288,680000,679456,0,0,4147,2736
3.429,13.143,83.429,0,0,0,0,695776,695776,0,0,4224,2803
3.846,17.582,78.571,0,0,0,0,661504,661504,0,0,4038,2646
4.545,13.636,81.818,0,0,0,0,670208,670208,0,0,4077,2681
3.763,18.280,77.957,0,0,0,0,683346,683346,0,0,4169,2705
5.236,19.895,74.346,0.524,0,0,12288,652256,652800,0,0,4049,2647
2.747,18.132,79.121,0,0,0,0,673472,672928,0,0,4114,2672
3.371,16.292,80.337,0,0,0,2572288,663136,663680,0,0,4063,2664
4.372,17.486,78.142,0,0,0,0,655520,654976,0,0,4042,2642
5.946,17.297,76.757,0,0,0,0,631040,631040,0,0,3895,2547
4,13.714,81.143,1.143,0,0,28672,646354,646354,0,0,3957,2610
2.286,16,81.714,0,0,0,0,664224,663680,0,0,4067,2685
2.260,16.384,81.356,0,0,0,20480,659872,660416,0,0,4036,2632
2.924,12.865,84.211,0,0,0,0,664224,664224,0,0,4035,2641
3.297,17.582,79.121,0,0,0,0,665856,665856,0,0,4054,2620
5.319,17.553,75.532,1.596,0,0,12288,654432,653888,0,0,4034,2645
3.763,19.355,76.882,0,0,0,0,657152,657696,0,0,4036,2636
2.139,21.390,76.471,0,0,0,0,653344,652800,0,0,4039,2641
3.279,18.579,78.142,0,0,0,0,654976,654976,0,0,4018,2621
3.889,16.111,80,0,0,0,0,653344,653344,0,0,3997,2613
3.867,17.680,77.901,0.552,0,0,12288,637024,637024,0,0,3919,2567
4.372,13.115,82.514,0,0,0,0,768128,768128,0,0,3932,3035
2.778,10.556,86.667,0,0,0,0,924800,925344,0,0,3837,3618
5.348,17.647,77.005,0,0,0,0,656608,656064,0,0,4048,2657
1.613,22.043,76.344,0,0,0,0,628320,628864,0,0,3887,2568
2.924,12.865,83.626,0.585,0,0,12288,670752,670208,0,0,4046,2669
4.324,17.297,78.378,0,0,0,0,669120,669664,0,0,4076,2652
4.372,18.033,77.596,0,0,0,4096,640832,640832,0,0,3939,2598
5.028,15.084,79.888,0,0,0,0,648992,648448,0,0,3964,2593
4.469,15.084,80.447,0,0,0,0,652800,652800,0,0,3975,2568
2.793,16.760,79.330,1.117,0,0,12288,651712,652256,0,0,3986,2601
3.390,15.254,81.356,0,0,0,0,654976,654976,0,0,3993,2613
