"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aesgcm-we-1500-dstat.csv",,,,"Date:","31 Oct 2019 21:39:09 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.048,31.480,66.067,0.405,0,93895.428,114922.093,0,0,38.790,155.999,5258.816,997.967
2.825,11.299,80.226,5.650,0,0,135168,256640,256640,0,0,4632,3493
2.273,11.364,86.364,0,0,0,0,257280,257280,0,0,4814,3491
2.857,12,85.143,0,0,0,0,247360,247200,0,0,4870,3350
2.286,12.571,85.143,0,0,0,0,245760,245760,0,0,5035,3358
2.260,13.559,84.181,0,0,0,0,245600,245870,0,0,5026,3377
3.977,11.364,83.523,1.136,0,0,647168,241202,241042,0,0,4954,3322
2.273,13.068,84.659,0,0,0,0,245440,245440,0,0,5018,3367
2.260,14.124,83.616,0,0,0,0,243360,243360,0,0,4992,3331
2.793,13.966,83.240,0,0,0,0,240480,240640,0,0,4927,3257
2.247,14.045,83.708,0,0,0,0,245280,245120,0,0,5026,3356
2.825,12.994,83.051,1.130,0,0,45056,242560,242560,0,0,4963,3315
1.676,15.084,83.240,0,0,0,0,242400,242400,0,0,4957,3295
2.747,9.341,87.912,0,0,0,0,289120,289120,0,0,4063,3829
3.846,12.637,83.516,0,0,0,0,260480,260480,0,0,4698,3511
1.676,11.732,86.592,0,0,0,0,272800,272800,0,0,4428,3669
2.762,13.812,81.215,2.210,0,0,12288,244000,244000,0,0,4898,3338
3.352,13.408,83.240,0,0,0,0,243520,243680,0,0,5009,3339
4.494,11.798,83.708,0,0,0,0,245760,245600,0,0,5027,3355
2.299,12.069,85.632,0,0,0,0,244320,244320,0,0,4980,3310
3.390,12.429,84.181,0,0,0,0,244000,244110,0,0,5014,3367
3.763,15.591,79.032,1.613,0,0,12288,238720,238880,0,0,4930,3282
3.867,13.812,82.320,0,0,0,0,241120,240960,0,0,4950,3286
3.825,11.475,84.699,0,0,0,0,270400,270400,0,0,4422,3626
3.889,13.333,82.778,0,0,0,0,240480,240640,0,0,4943,3280
2.874,10.345,86.782,0,0,0,0,250720,250720,0,0,4788,3416
2.273,13.068,82.955,1.705,0,0,12288,233120,232960,0,0,4790,3183
2.825,12.994,84.181,0,0,0,2007040,238080,238080,0,0,4913,3295
3.889,12.778,83.333,0,0,0,0,238240,238400,0,0,4912,3270
3.333,13.889,82.778,0,0,0,0,236000,236000,0,0,4848,3229
2.299,11.494,86.207,0,0,0,0,236800,236640,0,0,4862,3264
3.977,11.364,83.523,1.136,0,0,20480,228800,228960,0,0,4717,3174
2.825,12.994,84.181,0,0,0,0,231922,231762,0,0,4771,3185
4.396,14.835,80.769,0,0,0,0,326720,327008,0,0,4619,3111
2.841,14.205,82.955,0,0,0,0,390240,390240,0,0,4475,2963
3.704,17.989,78.307,0,0,0,0,400608,400608,0,0,4598,3080
4.918,13.115,79.781,2.186,0,0,16384,406368,406080,0,0,4440,3161
4.420,14.365,81.215,0,0,0,0,396288,396288,0,0,4556,3060
2.778,15.556,81.667,0,0,0,0,388800,389088,0,0,4467,2962
4.324,16.216,79.459,0,0,0,0,389952,389952,0,0,4501,3012
4.945,14.286,80.769,0,0,0,0,388800,388512,0,0,4491,3000
2.198,13.736,82.967,1.099,0,0,12288,449280,449354,0,0,4179,3392
4.865,11.892,83.243,0,0,0,0,463104,463392,0,0,4295,3467
4.444,14.444,81.111,0,0,0,0,387360,387072,0,0,4467,2976
3.371,14.045,82.584,0,0,0,0,384480,384480,0,0,4423,2932
2.809,11.798,85.393,0,0,0,0,439488,439488,0,0,4202,3317
3.279,12.568,82.514,1.639,0,0,12288,427680,427680,0,0,4171,3228
3.297,10.440,86.264,0,0,0,0,531360,531648,0,0,4130,3904
