"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aesgcm-we-frag-1500-dstat.csv",,,,"Date:","31 Oct 2019 22:42:56 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.985,34.343,63.300,0.372,0,74478.065,95822.978,0,0,30.768,123.738,5795.118,963.677
3.297,12.637,84.066,0,0,0,0,333920,333920,0,0,4630,4390
3.804,12.500,77.174,6.522,0,0,307200,305600,305760,0,0,4609,4059
2.273,11.932,85.795,0,0,0,0,315200,315040,0,0,5026,4162
1.105,13.812,85.083,0,0,0,0,306240,306400,0,0,4631,4041
3.825,13.115,81.967,1.093,0,0,45056,287520,287470,0,0,4669,3844
3.297,14.286,82.418,0,0,0,0,262002,262002,0,0,4945,3543
2.747,15.934,81.319,0,0,0,0,248000,248160,0,0,5114,3419
1.685,12.360,85.955,0,0,0,0,276320,276160,0,0,4637,3720
2.747,12.088,85.165,0,0,0,0,280800,280960,0,0,4564,3750
1.734,10.405,86.127,1.734,0,0,12288,255520,255360,0,0,4750,3455
3.846,14.835,81.319,0,0,0,0,246880,246880,0,0,5068,3375
2.247,14.607,83.146,0,0,0,0,248320,248480,0,0,5099,3402
1.695,13.559,84.746,0,0,0,0,252640,252480,0,0,4890,3418
2.907,11.047,86.047,0,0,0,0,248480,248480,0,0,5063,3373
3.825,14.754,80.328,1.093,0,0,12288,242560,242720,0,0,4962,3317
2.260,14.124,83.616,0,0,0,0,246720,246720,0,0,5041,3371
2.299,12.069,85.632,0,0,0,0,246560,246400,0,0,5041,3365
2.793,14.525,82.682,0,0,0,0,247840,248000,0,0,5071,3375
3.448,10.920,85.632,0,0,0,0,249440,249280,0,0,5093,3387
3.846,14.286,79.670,2.198,0,0,12288,243840,243840,0,0,5004,3340
2.273,13.636,84.091,0,0,0,0,244640,244750,0,0,5030,3343
2.186,16.393,81.421,0,0,0,0,244000,244000,0,0,5018,3347
3.297,15.385,81.319,0,0,0,0,246560,246720,0,0,5057,3360
1.685,15.169,83.146,0,0,0,0,245120,245120,0,0,5014,3326
1.117,14.525,83.240,1.117,0,0,12288,253600,253440,0,0,4825,3451
2.235,15.084,82.682,0,0,0,0,245600,245600,0,0,5035,3355
2.235,14.525,83.240,0,0,0,0,248160,248160,0,0,5087,3419
4.545,11.364,84.091,0,0,0,0,246240,246240,0,0,5068,3406
2.809,13.483,83.708,0,0,0,0,247680,247680,0,0,5070,3400
2.778,14.444,81.111,1.667,0,0,12288,241600,241600,0,0,4963,3321
4.571,11.429,84,0,0,0,0,299936,299936,0,0,4886,3356
2.247,14.607,83.146,0,0,0,0,445536,445536,0,0,5085,3398
3.448,11.494,85.057,0,0,0,3026944,443808,443808,0,0,5051,3369
2.841,13.636,83.523,0,0,0,0,443026,443314,0,0,5040,3355
1.149,13.218,83.908,1.724,0,0,24576,438048,437760,0,0,4994,3338
2.326,11.628,86.047,0,0,0,0,444960,444960,0,0,5049,3385
4,12,84,0,0,0,0,443520,443520,0,0,5030,3362
1.124,15.730,83.146,0,0,0,32768,441504,441792,0,0,5036,3358
3.448,11.494,85.057,0,0,0,0,442656,442368,0,0,5013,3343
2.235,12.849,82.682,2.235,0,0,16384,463968,464256,0,0,4670,3511
4.444,13.333,82.222,0,0,0,0,440640,440640,0,0,5036,3380
3.889,13.889,82.222,0,0,0,0,444672,444384,0,0,5062,3398
