"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","01 Nov 2019 00:07:46 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.950,36.716,60.998,0.336,0,58494.452,80050.352,0,0,25.693,97.043,6662.286,935.164
3.468,12.139,84.393,0,0,0,0,245280,245280,0,0,5027,3355
1.744,12.791,85.465,0,0,0,0,246720,246880,0,0,5068,3408
2.841,13.636,83.523,0,0,0,0,245600,245600,0,0,5017,3356
2.809,14.045,83.146,0,0,0,0,245280,245280,0,0,5017,3349
2.299,13.218,82.759,1.724,0,0,569344,243602,243552,0,0,5005,3363
5.056,12.360,82.584,0,0,0,0,242400,242400,0,0,4969,3318
4.023,11.494,84.483,0,0,0,0,243200,243200,0,0,4994,3332
2.841,13.636,83.523,0,0,0,0,242880,242880,0,0,4974,3308
2.299,12.644,85.057,0,0,0,0,240640,240640,0,0,4922,3272
3.911,13.408,81.564,1.117,0,0,12288,238560,238560,0,0,4906,3285
1.685,14.607,83.708,0,0,0,0,240640,240640,0,0,4960,3306
3.429,12.571,84,0,0,0,0,238560,238720,0,0,4920,3296
3.333,14.444,82.222,0,0,0,0,235200,235040,0,0,4859,3257
2.874,11.494,85.632,0,0,0,0,235520,235680,0,0,4847,3229
3.911,13.408,82.123,0.559,0,0,12288,233920,233760,0,0,4826,3231
3.488,10.465,86.047,0,0,0,0,233120,233120,0,0,4792,3198
3.911,12.849,83.240,0,0,0,0,241440,241440,0,0,4720,3300
3.315,14.365,82.320,0,0,0,0,233600,233760,0,0,4837,3235
4.046,10.405,85.549,0,0,0,0,230240,230240,0,0,4731,3137
3.911,13.966,81.564,0.559,0,0,12288,226560,226560,0,0,4675,3113
3.371,13.483,83.146,0,0,0,0,226560,226510,0,0,4685,3138
3.911,13.408,82.682,0,0,0,0,232000,232160,0,0,4788,3195
3.352,13.966,82.682,0,0,0,0,227200,227200,0,0,4684,3108
1.724,13.218,85.057,0,0,0,0,227122,226962,0,0,4681,3118
2.778,15,81.111,1.111,0,0,12288,224960,224960,0,0,4651,3120
2.299,13.218,84.483,0,0,0,0,222400,222400,0,0,4584,3062
3.867,14.917,81.215,0,0,0,0,221120,221120,0,0,4565,3044
5.405,15.676,78.919,0,0,0,0,219040,219040,0,0,4541,3048
2.793,15.084,82.123,0,0,0,0,220320,220320,0,0,4547,3025
3.889,14.444,81.111,0.556,0,0,12288,218720,218720,0,0,4534,3038
4.945,14.286,80.769,0,0,0,2301952,221600,221760,0,0,4599,3113
3.371,14.607,82.022,0,0,0,0,216960,216960,0,0,4500,3002
3.209,18.717,78.075,0,0,0,0,215040,215040,0,0,4482,2952
3.243,17.838,78.919,0,0,0,0,214880,214880,0,0,4470,2945
4.891,15.761,78.261,1.087,0,0,28672,315808,315648,0,0,4274,2974
4.211,18.947,75.263,1.579,0,0,61440,388224,388224,0,0,4526,3030
3.468,12.139,84.393,0,0,0,0,388224,388512,0,0,4458,2985
4.444,14.444,81.111,0,0,0,0,385920,385632,0,0,4456,2958
4.348,16.848,78.804,0,0,0,0,383616,383904,0,0,4433,2918
5.946,15.135,77.838,1.081,0,0,12288,375840,375840,0,0,4358,2886
2.778,16.111,81.111,0,0,0,0,385344,385056,0,0,4439,2946
5.618,12.360,82.022,0,0,0,0,395712,396000,0,0,4554,3030
2.260,15.254,82.486,0,0,0,0,389088,389088,0,0,4477,2960
2.210,17.680,80.110,0,0,0,0,387360,387360,0,0,4466,2942
3.352,14.525,81.006,1.117,0,0,12288,387072,387072,0,0,4474,2998
5.914,16.129,77.957,0,0,0,0,385056,385056,0,0,4457,2960
3.743,17.112,79.144,0,0,0,0,402336,402336,0,0,4287,3056
3.846,15.385,80.769,0,0,0,0,391762,391474,0,0,4512,2989
2.747,17.582,79.670,0,0,0,0,387442,387154,0,0,4448,2935
3.315,16.022,79.558,1.105,0,0,12288,384192,384480,0,0,4430,2950
3.763,17.742,78.495,0,0,0,0,385920,385920,0,0,4448,2946
5.291,17.989,76.720,0,0,0,0,381888,381888,0,0,4419,2908
4.918,15.301,79.781,0,0,0,0,381600,381600,0,0,4381,2899
3.429,13.714,82.857,0,0,0,0,382752,382464,0,0,4377,2888
4.372,15.847,79.235,0.546,0,0,12288,382176,382286,0,0,4428,2954
1.685,16.292,82.022,0,0,0,0,389088,389088,0,0,4484,2971
2.825,13.559,83.616,0,0,0,0,402624,402624,0,0,4482,3088
5,14.444,80.556,0,0,0,0,379584,379584,0,0,4388,2915
2.174,18.478,79.348,0,0,0,0,386208,386496,0,0,4448,2937
3.977,13.068,81.818,1.136,0,0,12288,378432,378144,0,0,4352,2888
5.464,14.754,79.781,0,0,0,2588672,389088,389376,0,0,4509,3004
3.846,16.484,79.670,0,0,0,0,384192,383904,0,0,4438,2943
3.209,18.717,78.075,0,0,0,0,383328,383328,0,0,4428,2910
3.867,16.022,80.110,0,0,0,0,382464,382464,0,0,4409,2918
3.889,15,80,1.111,0,0,20480,377856,378144,0,0,4361,2888
3.390,14.124,82.486,0,0,0,4096,385056,385056,0,0,4434,2951
3.297,17.033,79.670,0,0,0,0,385344,385344,0,0,4451,2953
4.324,16.757,78.919,0,0,0,0,390528,390240,0,0,4517,3009
1.744,13.372,84.884,0,0,0,0,386208,386208,0,0,4413,2925
2.326,12.209,83.721,1.744,0,0,12288,377568,377856,0,0,4344,2914
3.390,12.429,84.181,0,0,0,0,407232,406944,0,0,4332,3105
4.348,16.848,78.804,0,0,0,8192,476832,477664,0,0,4317,2892
4.494,13.483,82.022,0,0,0,0,694226,694226,0,0,4211,2775
4.972,14.365,80.663,0,0,0,0,691968,691968,0,0,4212,2781
5.495,14.286,79.121,1.099,0,0,24576,682720,682176,0,0,4151,2733
3.390,14.689,81.921,0,0,0,0,690880,691424,0,0,4205,2761
2.907,9.884,87.209,0,0,0,0,952000,951456,0,0,4459,3735
3.390,14.689,81.921,0,0,0,0,713728,714272,0,0,4347,2867
3.846,15.934,80.220,0,0,0,0,683264,683264,0,0,4152,2698
5.914,15.591,77.419,1.075,0,0,12288,672384,671840,0,0,4121,2710
2.778,13.333,83.889,0,0,0,0,777376,777920,0,0,4125,3095
3.911,15.084,81.006,0,0,0,0,677824,677280,0,0,4140,2716
3.933,14.045,82.022,0,0,0,0,687616,688160,0,0,4165,2727
3.911,15.084,81.006,0,0,0,0,666944,666944,0,0,4058,2674
4.444,15,79.444,1.111,0,0,12288,666400,665856,0,0,4071,2679
3.784,17.297,78.919,0,0,0,0,692512,692512,0,0,4207,2746
6.417,15.508,78.075,0,0,0,0,682720,682720,0,0,4162,2702
3.977,13.636,82.386,0,0,0,0,675648,676192,0,0,4108,2688
5.464,12.568,81.967,0,0,0,0,743104,743104,0,0,3911,2945
2.312,14.451,82.659,0.578,0,0,12288,655520,654976,0,0,3995,2631
4.762,18.519,76.720,0,0,0,0,677280,677824,0,0,4157,2702
4.865,17.297,77.838,0,0,0,2527232,646272,645728,0,0,3970,2582
