"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-chachapoly-e-1500-1500-dstat.csv",,,,"Date:","01 Nov 2019 02:58:39 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.871,39.140,58.695,0.294,0,42363.007,62671.016,0,0,17.910,67.647,6137.265,897.336
3.911,8.380,86.034,1.676,0,0,36864,272960,272960,0,0,4331,3668
2.762,11.050,86.188,0,0,0,0,274400,274240,0,0,4452,3679
3.933,11.798,84.270,0,0,0,0,242880,242880,0,0,4974,3294
2.299,12.069,85.632,0,0,0,0,239200,239360,0,0,4902,3258
3.333,10.556,86.111,0,0,0,0,270080,270190,0,0,4512,3642
2.674,11.765,83.957,1.604,0,0,12288,283442,283442,0,0,4161,3778
2.793,13.408,83.799,0,0,0,0,244000,243840,0,0,5025,3333
5.556,11.667,82.778,0,0,0,0,242080,242080,0,0,4969,3329
1.676,14.525,83.799,0,0,0,0,242720,242720,0,0,4977,3309
4.839,15.054,80.108,0,0,0,0,243840,243840,0,0,5016,3353
3.261,15.217,80.978,0.543,0,0,12288,242720,242720,0,0,4997,3365
2.762,12.707,84.530,0,0,0,24576,261600,261760,0,0,4657,3569
3.297,14.286,82.418,0,0,0,0,238880,238880,0,0,4912,3263
3.279,15.301,81.421,0,0,0,0,240800,240640,0,0,4957,3278
3.352,13.408,83.240,0,0,0,0,241120,241280,0,0,4944,3308
3.333,13.333,82.222,1.111,0,0,36864,236160,236000,0,0,4837,3223
2.210,14.917,79.558,3.315,0,0,65536,241120,241120,0,0,4961,3305
2.778,14.444,82.778,0,0,0,0,241920,242080,0,0,4952,3313
2.222,14.444,83.333,0,0,0,0,238880,238720,0,0,4900,3273
4.972,12.707,82.320,0,0,0,0,240320,240480,0,0,4940,3298
2.222,14.444,82.222,1.111,0,0,12288,239360,239200,0,0,4921,3276
3.911,12.849,83.240,0,0,0,24576,238880,238990,0,0,4919,3284
3.784,15.135,81.081,0,0,0,0,240160,240320,0,0,4960,3288
2.778,14.444,82.778,0,0,0,0,243200,243200,0,0,4999,3324
2.809,12.921,84.270,0,0,0,0,238720,238720,0,0,4886,3276
3.867,12.707,81.768,1.657,0,0,45056,242400,242240,0,0,4876,3336
1.667,15,83.333,0,0,0,2600960,242802,242962,0,0,5015,3357
2.841,12.500,84.659,0,0,0,0,240160,240000,0,0,4930,3301
3.333,12.222,84.444,0,0,0,0,252000,252160,0,0,4683,3441
1.657,14.365,83.978,0,0,0,0,250720,250720,0,0,4736,3408
1.695,10.169,87.006,1.130,0,0,32768,269440,269280,0,0,4384,3601
3.261,11.413,85.326,0,0,0,0,275520,275520,0,0,4453,3693
2.778,12.222,85,0,0,0,0,451840,451840,0,0,4457,3554
2.747,12.088,85.165,0,0,0,0,481248,481536,0,0,4503,3587
4.469,12.291,83.240,0,0,0,0,428832,428832,0,0,4905,3298
2.273,12.500,84.659,0.568,0,0,16384,426816,426528,0,0,4866,3247
3.333,13.333,83.333,0,0,0,0,429120,429408,0,0,4902,3289
3.297,14.286,82.418,0,0,0,0,428544,428544,0,0,4889,3264
2.273,12.500,85.227,0,0,0,0,423360,423072,0,0,4828,3210
3.315,14.365,82.320,0,0,0,0,419616,419616,0,0,4801,3208
2.857,11.429,84.571,1.143,0,0,12288,411840,411840,0,0,4695,3132
2.247,13.483,84.270,0,0,0,0,417024,417024,0,0,4767,3200
4.444,12.222,83.333,0,0,0,0,422290,422290,0,0,4821,3234
2.778,14.444,82.778,0,0,0,0,426528,426816,0,0,4874,3246
3.933,10.112,85.955,0,0,0,0,480960,480672,0,0,4773,3641
3.933,12.921,82.584,0.562,0,0,12288,448992,449280,0,0,5112,3407
2.273,13.636,84.091,0,0,0,0,457344,457344,0,0,5186,3469
3.409,11.932,84.659,0,0,0,0,492768,492768,0,0,5018,3682
3.784,14.595,81.622,0,0,0,0,530784,530784,0,0,4886,3935
3.448,11.494,85.057,0,0,0,0,479808,479808,0,0,5124,3613
3.468,10.983,84.393,1.156,0,0,12288,459648,459360,0,0,5207,3489
2.924,11.696,85.380,0,0,0,0,460512,460512,0,0,5215,3491
2.874,12.069,85.057,0,0,0,0,460512,460512,0,0,5213,3477
1.724,13.793,84.483,0,0,0,0,459154,459154,0,0,5209,3465
2.825,11.864,85.311,0,0,0,0,527904,527904,0,0,4884,3962
2.809,14.607,82.022,0.562,0,0,12288,463104,463104,0,0,5254,3517
4.444,14.444,81.111,0,0,0,0,465696,466094,0,0,5311,3611
2.273,14.205,83.523,0,0,0,3055616,464832,464544,0,0,5285,3548
2.890,11.561,85.549,0,0,0,0,457920,458208,0,0,5185,3469
1.714,14.286,84,0,0,0,0,454464,454176,0,0,5172,3454
2.299,12.069,83.908,1.724,0,0,20480,444672,444960,0,0,5069,3388
