"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-morus640-e-1500-1500-dstat.csv",,,,"Date:","01 Nov 2019 04:01:16 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.849,39.724,58.143,0.284,0,38217.245,58691.254,0,0,16.121,68.077,5911.760,891.828
1.648,13.187,84.066,1.099,0,0,40960,264000,264000,0,0,4406,3573
2.703,12.973,84.324,0,0,0,0,269280,269280,0,0,4490,3611
2.210,15.470,82.320,0,0,0,0,239680,239680,0,0,4929,3263
3.209,13.369,83.422,0,0,0,0,272960,273070,0,0,4439,3657
3.825,13.115,83.060,0,0,0,0,254560,254560,0,0,4707,3449
4.787,15.957,78.723,0.532,0,0,12288,241522,241362,0,0,4989,3320
1.648,15.934,82.418,0,0,0,0,240000,240000,0,0,4936,3276
2.247,12.921,84.831,0,0,0,0,250400,250400,0,0,4810,3409
2.273,13.068,84.659,0,0,0,0,243200,243360,0,0,5004,3350
3.279,14.754,81.967,0,0,0,0,239360,239200,0,0,4920,3284
2.703,16.757,78.378,2.162,0,0,69632,231840,232000,0,0,4800,3196
3.297,14.286,82.418,0,0,0,0,238080,237920,0,0,4886,3258
3.315,14.365,82.320,0,0,0,0,239680,239680,0,0,4913,3292
3.390,12.429,84.181,0,0,0,0,237920,237920,0,0,4879,3261
2.825,12.429,84.746,0,0,0,0,240480,240640,0,0,4927,3292
2.198,15.385,76.374,6.044,0,0,1609728,237760,237760,0,0,4914,3290
3.889,13.333,82.778,0,0,0,0,237600,237600,0,0,4875,3241
4.301,15.054,80.645,0,0,0,0,239680,239680,0,0,4930,3282
4.372,14.208,81.421,0,0,0,0,237600,237710,0,0,4898,3268
2.260,13.559,84.181,0,0,0,0,243680,243680,0,0,4999,3331
4.348,15.217,80.435,0,0,0,12288,236800,236800,0,0,4888,3253
3.279,14.754,81.967,0,0,0,0,239520,239520,0,0,4932,3278
3.297,14.835,81.868,0,0,0,0,239680,239520,0,0,4925,3267
2.222,15,82.778,0,0,0,0,237042,237042,0,0,4873,3238
3.226,11.290,85.484,0,0,0,0,283840,284000,0,0,4179,3767
1.705,13.068,84.091,1.136,0,0,12288,238880,238720,0,0,4913,3295
4.324,15.135,80.541,0,0,0,0,238400,238400,0,0,4908,3254
3.333,13.333,83.333,0,0,0,0,238720,238720,0,0,4914,3290
3.297,14.835,81.868,0,0,0,0,238080,238080,0,0,4912,3278
2.762,14.365,82.873,0,0,0,0,242400,242400,0,0,4985,3304
2.762,12.707,82.320,2.210,0,0,1454080,251922,251922,0,0,4570,3460
2.174,11.413,86.413,0,0,0,0,286400,286400,0,0,4122,3804
