"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-morus640-e-frag-1500-dstat.csv",,,,"Date:","31 Oct 2019 23:24:56 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.971,35.723,61.954,0.352,0,65550.508,86998.890,0,0,27.080,108.905,6355.108,948.907
1.744,12.791,83.721,1.744,0,0,77824,260160,260000,0,0,5299,3555
2.976,8.929,88.095,0,0,0,0,274400,274560,0,0,5200,3716
2.299,13.218,84.483,0,0,0,0,262560,262670,0,0,5357,3575
1.136,13.636,85.227,0,0,0,0,288160,288000,0,0,5012,3859
2.907,11.628,85.465,0,0,0,0,261042,261202,0,0,5322,3561
2.326,12.791,84.884,0,0,0,16384,262080,262080,0,0,5344,3566
2.778,15.556,81.667,0,0,0,0,262720,262720,0,0,5376,3584
2.841,14.205,82.955,0,0,0,0,263840,263840,0,0,5389,3632
2.778,15.556,81.667,0,0,0,0,263840,263840,0,0,5376,3583
2.841,13.636,83.523,0,0,0,0,262560,262560,0,0,5350,3588
3.867,14.917,80.110,1.105,0,0,20480,261280,261280,0,0,5341,3562
2.247,15.169,82.584,0,0,0,0,263040,263040,0,0,5379,3607
2.286,12,85.714,0,0,0,0,284960,284960,0,0,4992,3813
2.260,9.605,88.136,0,0,0,0,313760,313600,0,0,4342,4127
2.841,13.636,83.523,0,0,0,0,262560,262720,0,0,5383,3600
3.977,12.500,82.955,0.568,0,0,16384,257440,257280,0,0,5258,3521
2.273,13.636,84.091,0,0,0,0,259360,259360,0,0,5307,3549
5.085,11.864,83.051,0,0,0,0,258080,258190,0,0,5294,3559
1.724,13.218,85.057,0,0,0,0,256960,257120,0,0,5256,3502
