"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","01 Nov 2019 04:22:20 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.846,39.880,57.992,0.281,0,36974.630,57515.161,0,0,15.912,69.340,6005.012,890.206
3.333,12.778,83.889,0,0,0,0,306880,306880,0,0,4928,4111
3.933,9.551,86.517,0,0,0,0,336800,336640,0,0,4637,4419
3.448,10.345,86.207,0,0,0,0,327360,327360,0,0,4976,4340
1.676,12.849,85.475,0,0,0,0,348320,348320,0,0,4792,4578
2.210,13.260,83.978,0.552,0,0,32768,335680,335680,0,0,4633,4427
4.494,12.921,82.584,0,0,0,0,276562,276672,0,0,5535,3768
2.235,15.084,82.682,0,0,0,0,288640,288800,0,0,5300,3867
3.315,13.260,83.425,0,0,0,0,319520,319360,0,0,4858,4231
2.688,15.591,81.720,0,0,0,0,316800,316960,0,0,4966,4200
3.371,14.045,81.461,1.124,0,0,12288,270720,270720,0,0,5513,3694
4.469,13.966,81.564,0,0,0,0,273760,273760,0,0,5586,3717
2.186,18.579,79.235,0,0,0,0,273920,273920,0,0,5593,3717
2.825,14.689,82.486,0,0,0,0,274240,274080,0,0,5579,3722
2.222,16.667,81.111,0,0,0,0,275200,275200,0,0,5599,3744
1.744,13.953,83.721,0.581,0,0,12288,271200,271200,0,0,5520,3680
2.857,13.714,83.429,0,0,0,0,273760,273760,0,0,5561,3730
4,12.571,83.429,0,0,0,0,271360,271360,0,0,5505,3669
3.333,15.556,81.111,0,0,0,0,271680,271680,0,0,5532,3688
2.809,14.607,82.584,0,0,0,0,269440,269600,0,0,5467,3640
1.714,14.857,82.857,0.571,0,0,12288,268160,268000,0,0,5462,3640
3.297,14.835,81.868,0,0,0,36864,283840,283840,0,0,5307,3859
3.261,16.304,80.435,0,0,0,0,283200,283200,0,0,5277,3802
3.825,15.847,80.328,0,0,0,0,265280,265440,0,0,5423,3617
3.846,15.934,80.220,0,0,0,0,267040,267150,0,0,5466,3646
1.130,14.689,82.486,1.695,0,0,32768,261440,261440,0,0,5334,3556
3.315,15.470,81.215,0,0,0,0,266720,266720,0,0,5471,3656
4.420,14.917,77.901,2.762,0,0,73728,265120,264960,0,0,5432,3620
5.495,14.286,80.220,0,0,0,0,285376,285376,0,0,5295,3588
2.260,14.124,83.616,0,0,0,0,453312,453312,0,0,5157,3440
1.667,15,81.667,1.667,0,0,24576,444960,444960,0,0,5062,3363
2.825,13.559,83.616,0,0,0,0,451584,451584,0,0,5143,3438
4.324,12.432,83.243,0,0,0,3411968,498528,498528,0,0,4553,3766
4.396,13.736,81.868,0,0,0,0,442738,442738,0,0,5073,3422
4.420,10.497,85.083,0,0,0,0,488736,488736,0,0,4573,3643
2.210,13.812,82.320,1.657,0,0,28672,463392,463680,0,0,4766,3488
4.372,14.208,81.421,0,0,0,0,447840,447552,0,0,5113,3405
2.247,14.045,83.708,0,0,0,0,445248,445248,0,0,5064,3362
3.315,14.365,82.320,0,0,0,0,444384,444672,0,0,5072,3370
4.372,14.208,81.421,0,0,0,0,447552,447264,0,0,5105,3395
2.247,14.045,82.022,1.685,0,0,12288,433728,434016,0,0,4945,3289
3.409,10.227,86.364,0,0,0,0,476640,476640,0,0,4721,3580
3.315,14.365,82.320,0,0,0,0,459648,459360,0,0,5203,3458
3.333,13.889,82.778,0,0,0,0,443232,443232,0,0,5048,3365
2.778,13.889,83.333,0,0,0,0,463104,463104,0,0,4886,3492
2.762,14.917,81.768,0.552,0,0,12288,442944,443232,0,0,5034,3352
2.247,14.045,83.708,0,0,0,0,445824,445536,0,0,5069,3382
1.657,16.022,82.320,0,0,0,0,446688,446688,0,0,5083,3368
2.809,13.483,83.708,0,0,0,0,443232,443232,0,0,5047,3377
3.261,15.761,80.978,0,0,0,0,442368,442656,0,0,5062,3357
2.312,11.561,84.971,1.156,0,0,12288,440722,440722,0,0,5028,3380
3.933,12.360,83.708,0,0,0,0,444384,444096,0,0,5051,3387
3.297,14.835,81.868,0,0,0,0,444384,444672,0,0,5063,3360
3.333,13.889,82.778,0,0,0,0,444096,443808,0,0,5063,3375
1.685,14.607,83.708,0,0,0,0,438912,439200,0,0,5004,3324
4.520,11.299,83.616,0.565,0,0,12288,435456,435168,0,0,4942,3284
2.809,13.483,83.708,0,0,0,0,440064,440352,0,0,5019,3347
3.390,12.429,84.181,0,0,0,0,440640,440640,0,0,5011,3330
2.273,13.068,84.659,0,0,0,0,444672,444672,0,0,5062,3386
2.747,15.385,81.868,0,0,0,0,443026,442848,0,0,5067,3374
3.279,15.301,80.328,1.093,0,0,12288,452256,452256,0,0,4934,3309
3.846,15.385,80.769,0,0,0,0,837760,838304,0,0,5079,3400
2.890,11.561,82.659,2.890,0,0,3035136,812736,812192,0,0,4890,3300
3.867,14.365,81.768,0,0,0,0,830688,831232,0,0,5019,3342
3.352,14.525,82.123,0,0,0,0,833952,833952,0,0,5046,3368
3.371,12.921,82.022,1.685,0,0,32768,815456,815456,0,0,4906,3289
3.409,12.500,84.091,0,0,0,0,830144,829600,0,0,5002,3350
2.841,13.068,84.091,0,0,0,0,826336,826880,0,0,4980,3325
3.352,13.966,82.682,0,0,0,8192,818720,818176,0,0,4939,3299
3.390,12.994,83.616,0,0,0,0,812736,812736,0,0,4905,3260
3.315,13.812,81.215,1.657,0,0,20480,800768,800768,0,0,4843,3228
3.297,14.286,82.418,0,0,0,0,830144,830144,0,0,4827,3366
3.315,14.365,82.320,0,0,0,0,801312,801856,0,0,4859,3249
1.714,13.714,84.571,0,0,0,0,795328,794784,0,0,4822,3215
3.333,13.889,82.778,0,0,0,0,793696,793696,0,0,4819,3209
3.352,12.291,83.240,1.117,0,0,12288,837216,837216,0,0,4507,3345
4.972,12.707,82.320,0,0,0,0,792608,793152,0,0,4816,3225
2.247,14.607,83.146,0,0,0,0,777920,777920,0,0,4721,3127
2.210,15.470,82.320,0,0,0,0,786080,786080,0,0,4782,3178
2.247,14.607,83.146,0,0,0,0,784992,784448,0,0,4756,3157
3.352,13.966,82.123,0.559,0,0,12288,767584,768128,0,0,4677,3109
3.297,14.286,82.418,0,0,0,90112,830144,829600,0,90112,4522,3358
3.743,13.904,82.353,0,0,0,0,886176,886176,0,0,4326,3500
4.918,14.208,80.874,0,0,0,0,777376,777376,0,0,4750,3171
3.352,13.966,82.682,0,0,0,0,770304,770304,0,0,4684,3112
2.809,10.674,84.270,2.247,0,0,12288,862784,863328,0,0,4204,3402
2.762,13.812,83.425,0,0,0,0,821522,821522,0,0,4406,3287
3.175,13.228,83.598,0,0,0,0,958528,958528,0,0,3966,3733
3.825,14.754,81.421,0,0,0,0,800768,800224,0,0,4462,3232
4.945,12.088,82.967,0,0,0,0,818720,818720,0,0,4323,3250
3.243,11.892,84.324,0.541,0,0,12288,907392,907936,0,0,4093,3560
4.420,14.365,81.215,0,0,0,0,843200,842656,0,0,4721,3399
2.186,14.208,83.607,0,0,0,0,833952,833952,0,0,4287,3339
4.918,15.301,79.781,0,0,0,2912256,733856,733312,0,0,4491,3029
6.542,28.037,65.421,0,0,0,0,1065248,1066304,0,0,3773,2543
