"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-no-macsec-2928-2928-dstat.csv",,,,"Date:","31 Oct 2019 18:48:57 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.026,10.733,85.383,0.858,0,308365.348,325121.645,0,0,127.496,512.735,4003.357,1334.015
3.784,11.892,83.784,0.541,0,0,32768,291152,291152,0,0,5170,4940
4.372,10.383,85.246,0,0,0,0,295864,295864,0,0,5219,4999
3.297,11.538,85.165,0,0,0,0,298096,298220,0,0,5236,5024
1.130,11.299,87.571,0,0,0,4096,301196,301196,0,0,5295,5098
3.784,12.432,83.784,0,0,0,0,304048,303924,0,0,5335,5123
3.846,10.989,84.066,1.099,0,0,12288,302064,302188,0,0,5312,5097
1.630,16.304,82.065,0,0,0,0,264988,264988,0,0,5858,4565
3.889,12.778,83.333,0,0,0,0,254200,254076,0,0,5994,4375
3.867,11.602,84.530,0,0,0,0,311984,311984,0,0,5478,5257
3.784,12.973,83.243,0,0,0,0,313348,313472,0,0,5502,5286
2.151,15.591,80.645,1.613,0,0,12288,308388,308388,0,0,5451,5222
4.918,11.475,83.607,0,0,0,0,313968,313844,0,0,5525,5279
2.732,13.661,83.607,0,0,0,0,316944,316944,0,0,5558,5327
3.297,12.637,84.066,0,0,0,0,316696,316820,0,0,5557,5337
2.778,12.778,84.444,0,0,0,0,319672,319548,0,0,5589,5379
3.825,13.115,81.967,1.093,0,0,12288,319920,320044,0,0,5624,5397
3.889,11.667,84.444,0,0,0,0,327484,327484,0,0,5769,5544
2.809,12.921,84.270,0,0,0,0,331452,331328,0,0,5795,5562
3.933,11.236,84.831,0,0,0,0,331948,331948,0,0,5817,5578
3.448,10.345,86.207,0,0,0,0,333064,333188,0,0,5799,5597
4.324,12.432,81.622,1.622,0,0,16384,526932,526808,0,0,5172,4595
3.804,12.500,83.696,0,0,0,0,595476,595728,0,0,5201,4963
3.825,11.475,84.699,0,0,0,0,587664,587412,0,0,5102,4879
3.911,11.732,84.358,0,0,0,16384,587664,587916,0,0,5719,4902
3.804,12.500,83.696,0,0,0,0,605052,604800,0,0,5244,5035
3.352,10.615,84.916,1.117,0,0,12288,596232,596232,0,0,5177,4962
2.841,9.659,87.500,0,0,0,0,597556,597808,0,0,5197,4983
3.352,10.615,86.034,0,0,0,0,600516,600264,0,0,5193,4974
4.396,12.088,83.516,0,0,0,8192,593964,593964,0,0,5424,4957
3.429,15.429,81.143,0,0,0,0,574308,574308,0,0,7185,4862
3.867,16.022,78.453,1.657,0,0,20480,564984,565236,0,0,6585,4780
5.085,15.819,79.096,0,0,0,0,576388,576388,0,0,7319,4883
3.448,15.517,81.034,0,0,0,0,575316,575064,0,0,7293,4861
1.724,13.793,84.483,0,0,0,5201920,583380,583632,0,0,6095,4915
1.657,13.260,85.083,0,0,0,0,601272,601272,0,0,5218,5003
2.809,12.921,83.146,1.124,0,0,28672,581616,581616,0,0,5912,4866
4.494,16.292,79.213,0,0,0,0,563724,563472,0,0,7136,4787
3.488,13.953,82.558,0,0,0,0,559692,559692,0,0,7094,4730
4.420,17.127,78.453,0,0,0,0,555660,555912,0,0,7068,4707
3.955,15.254,80.791,0,0,0,0,552888,552888,0,0,7020,4662
2.260,13.559,82.486,1.695,0,0,12288,573804,573552,0,0,5972,4813
5.114,14.205,80.682,0,0,0,0,605428,605428,0,0,6817,4576
4.070,11.628,84.302,0,0,0,0,1031748,1031748,0,0,6526,4355
