"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","crawler5",,,,"User:","root"
"Cmdline:","dstat -N enp2s0f1,macsec0--noheaders --output final3/ping-1572541814-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","31 Oct 2019 20:13:09 CET"
"total cpu usage",,,,,"dsk/total",,"net/enp2s0f1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.278,24.342,72.869,0.510,0,144808.908,164918.127,0,0,59.824,240.588,5458.961,1103.283
2.890,12.139,84.971,0,0,0,0,232908,232908,0,0,4898,3266
4.444,13.333,82.222,0,0,0,0,230724,230568,0,0,4874,3247
3.468,10.983,85.549,0,0,0,0,230724,230724,0,0,4846,3223
2.273,13.068,84.659,0,0,0,0,229164,229320,0,0,4821,3205
2.299,12.644,83.908,1.149,0,0,32768,227058,227008,0,0,4810,3252
2.778,14.444,82.778,0,0,0,0,230100,230256,0,0,4864,3251
3.315,14.917,81.768,0,0,0,0,227136,226980,0,0,4798,3184
1.117,16.201,82.682,0,0,0,0,228228,228228,0,0,4812,3219
2.809,14.045,83.146,0,0,0,0,223548,223548,0,0,4725,3127
2.793,13.966,82.123,1.117,0,0,16384,221988,221988,0,0,4697,3156
2.273,13.636,84.091,0,0,0,0,224328,224484,0,0,4738,3165
3.333,14.444,82.222,0,0,0,0,220740,220740,0,0,4661,3100
3.911,13.966,82.123,0,0,0,0,218400,218400,0,0,4642,3094
2.793,14.525,82.682,0,0,0,0,218868,218712,0,0,4628,3071
3.955,11.864,70.621,13.559,0,0,1564672,205608,205764,0,0,4428,2960
4.444,13.333,82.222,0,0,0,0,220272,220116,0,0,4696,3153
2.874,12.644,84.483,0,0,0,0,220116,220116,0,0,4645,3084
4.918,14.208,80.874,0,0,0,0,219024,219180,0,0,4654,3107
2.235,15.642,82.123,0,0,0,0,216372,216372,0,0,4583,3047
3.279,16.393,79.235,1.093,0,0,12288,209664,209664,0,0,4465,2978
3.804,11.957,84.239,0,0,0,0,260364,260314,0,0,4260,3604
5.056,11.798,83.146,0,0,0,0,219180,219336,0,0,4643,3095
