"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570544002-1-macsec-aegis128l-e-1500-1464-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:43:08 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.947,1.831,94.790,0.432,0,188329.378,9487917.557,0,0,0,0,16245.328,17299.247
0,0,100,0,0,0,0,0,0,0,0,162,103
0,0,100,0,0,0,0,0,0,0,0,46,34
0.249,0,99.751,0,0,0,0,0,0,0,0,56,42
0,0,100,0,0,0,0,0,0,0,0,42,14
3.750,4.250,92,0,0,0,61440,87912383,1526720,0,0,15162,28607
4.798,5.051,90.152,0,0,0,0,122454024,1791930,0,0,17269,33576
2.538,3.046,94.416,0,0,0,0,122452506,519294,0,0,4349,8110
2.036,3.053,94.911,0,0,0,0,122454151,523534,0,0,4332,8090
2.290,3.053,94.656,0,0,0,0,122451135,526820,0,0,4368,8115
2.036,3.308,94.656,0,0,0,405504,122454024,520807,0,0,4477,8023
2.030,3.299,94.670,0,0,0,0,122452506,517704,0,0,4339,8104
2.532,3.291,94.177,0,0,0,0,122454024,520464,0,0,4343,8108
2.030,3.299,94.670,0,0,0,0,122454024,525548,0,0,4340,8125
1.781,3.562,94.656,0,0,0,0,122454024,529364,0,0,4324,8105
2.778,3.030,94.192,0,0,0,16384,122454024,533604,0,0,4346,8143
2.302,2.558,95.141,0,0,0,2244608,122454024,538126,0,0,4391,8005
2.036,3.308,94.656,0,0,0,0,122454024,542190,0,0,4356,8112
2.785,3.038,94.177,0,0,0,0,122452506,546006,0,0,4340,8099
3.030,3.283,87.879,5.808,0,4096,134238208,120227118,534346,0,0,4465,7940
3.030,3.535,91.162,2.273,0,0,109096960,120702252,551942,0,0,4432,8345
2.545,2.799,94.148,0.509,0,4096,50339840,122452506,550458,0,0,4411,8117
3.291,4.810,88.861,3.038,0,12288,440401920,119138712,521520,0,0,4775,7763
2.771,4.282,89.169,3.778,0,12288,440401920,92260073,405132,0,0,3836,6065
