"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570544002-1-macsec-aegis128l-we-1500-1464-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:44:28 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.883,1.818,94.875,0.425,0,181193.197,9712231.691,0,0,0,0,15945.877,16984.361
0.250,0,99.750,0,0,0,0,0,0,0,0,168,108
0,0,100,0,0,0,0,0,0,0,0,53,37
0.249,0,99.751,0,0,0,0,0,0,0,0,45,26
0,0,100,0,0,0,0,0,0,0,0,54,43
3.250,4.250,92.500,0,0,0,69632,87760510,1516542,0,0,15094,28422
5.750,4.750,89.500,0,0,0,0,122452506,2118410,0,0,20595,40109
2.792,3.807,93.401,0,0,0,0,122447952,766274,0,0,6628,12573
2.771,3.023,94.207,0,0,0,0,122455669,547172,0,0,4412,8176
2.771,3.023,94.207,0,0,0,0,122458578,554450,0,0,4407,8000
1.781,3.053,94.911,0.254,0,0,417792,122455689,557919,0,0,4446,8188
1.527,3.308,95.165,0,0,0,0,122452506,561482,0,0,4333,8101
2.532,2.785,94.684,0,0,0,0,122455542,564344,0,0,4339,8114
2.030,3.046,94.924,0,0,0,0,122454024,568160,0,0,4351,8130
2.525,3.030,94.444,0,0,0,0,122450988,573460,0,0,4343,8113
2.025,3.291,94.684,0,0,0,2277376,122455542,578442,0,0,4350,8139
2.290,2.799,94.911,0,0,0,0,122454024,579800,0,0,4413,7992
2.525,3.030,94.444,0,0,0,0,122458578,575792,0,0,4358,8124
1.786,2.806,95.408,0,0,0,0,122455542,572188,0,0,4331,8092
2.036,3.562,87.532,6.870,0,16384,134238208,122381160,564768,0,0,4485,8066
2.041,3.061,88.265,6.633,0,12288,113307648,121491612,554910,0,0,4450,8403
1.777,4.061,91.117,3.046,0,4096,56631296,121553850,550352,0,0,4390,8009
2.558,5.371,68.031,24.041,0,12288,429916160,120006456,532968,0,0,4759,7937
2.278,9.873,69.873,17.975,0,8192,339738624,89487418,392518,0,0,3695,5965
